ID	t	A0	notFoundBySE
0	0.00000	0.315466	
0	1.00000	0.305250	
0	3.00000	0.286199	
0	5.00000	0.254530	
0	7.00000	0.261629	
0	10.0000	0.235424	
0	14.0000	0.216520	
1	0.00000	0.543615	
1	1.00000	0.516517	
1	3.00000	0.328254	
1	10.0000	0.234559	
1	14.0000	0.212767	
2	0.00000	0.572086	
2	1.00000	0.548998	
2	3.00000	0.441910	
2	5.00000	0.955009	
2	7.00000	0.0372891	
2	10.0000	0.369741	
2	14.0000	0.324779	
3	0.00000	0.505881	
3	1.00000	0.371206	
3	3.00000	0.366911	
3	5.00000	0.371208	
3	7.00000	0.314547	
3	10.0000	0.184733	
3	14.0000	0.280048	
4	1.00000	0.235711	
4	3.00000	0.349946	
4	7.00000	0.151015	
4	10.0000	0.247597	
4	14.0000	0.191288	
5	1.00000	0.467237	
5	3.00000	0.238958	
5	5.00000	0.244134	
5	7.00000	0.223586	
5	14.0000	0.141945	
6	1.00000	0.485344	
6	3.00000	0.435202	
6	10.0000	0.669085	
6	14.0000	0.139580	
7	1.00000	0.411562	
7	3.00000	0.383721	
7	7.00000	0.287445	
7	10.0000	0.195901	
8	0.00000	0.325723	
8	1.00000	0.472266	
8	3.00000	0.0583641	
8	5.00000	0.183794	
8	14.0000	0.137148	
9	0.00000	0.420469	
9	1.00000	0.360987	
9	3.00000	0.289392	
9	10.0000	0.192773	
9	14.0000	0.204470	
10	3.00000	0.451181	
10	5.00000	0.324934	
10	7.00000	0.321465	
10	10.0000	0.513419	
10	14.0000	0.283036	
11	0.00000	0.527910	
11	1.00000	0.220356	
11	3.00000	0.515558	
11	10.0000	0.428411	
11	14.0000	0.396286	
12	1.00000	0.343747	
12	3.00000	0.213773	
12	7.00000	0.194650	
12	10.0000	0.243467	
13	0.00000	0.391766	
13	1.00000	0.332843	
13	3.00000	0.246317	
13	5.00000	0.203972	
13	7.00000	0.127196	
13	14.0000	0.0945883	
14	0.00000	0.396316	
14	1.00000	0.277787	
14	3.00000	0.192743	
14	5.00000	0.155539	
14	7.00000	0.139833	
14	10.0000	0.130070	
14	14.0000	0.130136	
15	0.00000	0.537967	
15	1.00000	0.420524	
15	3.00000	0.402270	
15	5.00000	0.320141	
15	7.00000	0.264059	
15	10.0000	0.219724	
15	14.0000	0.160138	
16	0.00000	0.430768	
16	1.00000	0.687447	
16	3.00000	0.194607	
16	10.0000	0.143091	
16	14.0000	0.127200	
17	0.00000	0.418990	
17	1.00000	0.491517	
17	5.00000	0.377427	
17	10.0000	0.299415	
17	14.0000	0.304520	
18	0.00000	0.391761	
18	1.00000	0.325471	
18	5.00000	0.109692	
18	7.00000	0.195154	
19	0.00000	0.414519	
19	1.00000	0.386526	
19	3.00000	0.255915	
19	5.00000	0.174566	
19	7.00000	0.203007	
19	14.0000	0.180539	
20	0.00000	0.332099	
20	3.00000	0.257581	
20	5.00000	0.203437	
20	14.0000	0.159075	
21	1.00000	0.185569	
21	3.00000	0.167968	
21	7.00000	0.174658	
21	10.0000	0.124827	
21	14.0000	0.122765	
22	1.00000	0.301606	
22	3.00000	0.526735	
22	5.00000	0.469304	
22	7.00000	0.458668	
22	10.0000	0.688395	
22	14.0000	0.428709	
23	0.00000	0.551206	
23	1.00000	0.214273	
23	3.00000	0.208449	
23	10.0000	0.309983	
24	0.00000	0.404035	
24	1.00000	0.126550	
24	3.00000	0.114063	
24	5.00000	0.0705012	
24	10.0000	0.189303	
24	14.0000	0.486802	
25	1.00000	0.495716	
25	3.00000	0.289913	
25	5.00000	0.224704	
25	7.00000	0.204513	
25	10.0000	0.198175	
25	14.0000	0.664396	
26	1.00000	0.170498	
26	3.00000	0.158731	
26	5.00000	0.0937277	
26	14.0000	0.115634	
27	0.00000	0.353261	
27	1.00000	0.0791388	
27	7.00000	0.278827	
27	10.0000	0.139606	
28	1.00000	0.374581	
28	3.00000	0.239188	
28	5.00000	0.251003	
28	10.0000	0.145575	
29	0.00000	0.444437	
29	1.00000	0.394942	
29	3.00000	0.343095	
29	7.00000	0.338977	
29	10.0000	0.143083	
29	14.0000	0.258270	
30	0.00000	0.387327	
30	1.00000	0.327013	
30	3.00000	0.262915	
30	5.00000	0.203157	
30	7.00000	0.212064	
30	14.0000	0.133990	
31	0.00000	0.419760	
31	1.00000	0.453259	
31	3.00000	0.408337	
31	5.00000	0.358476	
31	10.0000	0.373585	
31	14.0000	0.264871	
32	0.00000	0.400333	
32	1.00000	0.400026	
32	3.00000	0.344853	
32	5.00000	0.348103	
32	7.00000	0.317614	
32	10.0000	0.283259	
32	14.0000	0.245167	
33	0.00000	0.272271	
33	1.00000	0.223353	
33	3.00000	0.235292	
33	5.00000	0.269287	
33	7.00000	0.225120	
33	10.0000	0.165729	
33	14.0000	0.180614	
34	0.00000	0.218377	
34	3.00000	0.129391	
34	5.00000	0.316592	
34	7.00000	0.190797	
34	14.0000	0.122911	
35	0.00000	0.224821	
35	1.00000	0.225351	
35	3.00000	0.199527	
35	5.00000	0.150713	
35	7.00000	0.173286	
35	10.0000	0.133313	
36	0.00000	0.488011	
36	1.00000	0.490153	
36	3.00000	0.366439	
36	5.00000	0.358433	
36	7.00000	0.293453	
36	14.0000	0.195443	
37	1.00000	0.422803	
37	3.00000	0.392131	
37	5.00000	0.427529	
37	7.00000	0.368851	
37	10.0000	0.327888	
37	14.0000	0.410812	
38	0.00000	0.443598	
38	1.00000	0.373057	
38	7.00000	0.317807	
38	10.0000	0.278523	
39	0.00000	0.417457	
39	1.00000	0.497978	
39	3.00000	0.473414	
39	5.00000	0.449584	
39	7.00000	0.406789	
39	10.0000	0.390586	
39	14.0000	0.356752	
40	0.00000	0.479197	
40	3.00000	0.706644	
40	5.00000	0.469413	
40	10.0000	0.175001	
41	0.00000	0.344915	
41	1.00000	0.395694	
41	3.00000	0.363407	
41	7.00000	0.284709	
41	10.0000	0.142629	
41	14.0000	0.232308	
42	0.00000	0.427637	
42	1.00000	0.394236	
42	3.00000	0.446344	
42	10.0000	0.344579	
43	0.00000	0.407476	
43	1.00000	0.543923	
43	3.00000	0.523475	
43	5.00000	0.517123	
43	7.00000	0.456423	
43	10.0000	0.470352	
43	14.0000	0.437511	
44	0.00000	0.427187	
44	1.00000	0.465603	
44	3.00000	0.390810	
44	5.00000	0.378334	
44	10.0000	0.310338	
44	14.0000	0.293047	
45	0.00000	0.468010	
45	1.00000	0.725641	
45	3.00000	0.441413	
45	5.00000	0.390364	
45	7.00000	0.379260	
45	10.0000	0.362571	
45	14.0000	0.286794	
46	1.00000	0.577985	
46	3.00000	0.545749	
46	5.00000	0.566506	
46	7.00000	0.648516	
46	10.0000	0.466832	
47	1.00000	0.381440	
47	3.00000	0.404718	
47	5.00000	0.344620	
47	10.0000	0.300102	
47	14.0000	0.265289	
48	0.00000	0.489186	
48	1.00000	0.396316	
48	3.00000	0.416219	
48	5.00000	0.333454	
48	7.00000	0.303188	
48	10.0000	0.280108	
48	14.0000	0.254717	
49	0.00000	0.307086	
49	3.00000	0.382850	
49	5.00000	0.996763	
49	7.00000	0.999838	
49	10.0000	0.307183	
49	14.0000	0.175792	
50	0.00000	0.206356	
50	1.00000	0.117068	
50	3.00000	0.0753193	
50	7.00000	0.147408	
50	10.0000	0.358041	
51	1.00000	0.363384	
51	5.00000	0.406620	
51	7.00000	0.258750	
51	10.0000	0.465026	
51	14.0000	0.193567	
52	0.00000	0.362643	
52	1.00000	0.351767	
52	3.00000	0.282136	
52	5.00000	0.235982	
52	10.0000	0.178627	
53	0.00000	0.315428	
53	1.00000	0.303958	
53	3.00000	0.215272	
53	5.00000	0.167084	
53	7.00000	0.136249	
53	14.0000	0.0965975	
54	1.00000	0.463566	
54	3.00000	0.331478	
54	5.00000	0.182385	
54	7.00000	0.283938	
54	10.0000	0.241281	
54	14.0000	0.140826	
55	0.00000	0.222740	
55	3.00000	0.103260	
55	5.00000	0.0665881	
55	7.00000	0.0574021	
56	1.00000	0.774224	
56	5.00000	0.422664	
56	10.0000	0.345175	
56	14.0000	0.288576	
57	0.00000	0.431289	
57	1.00000	0.386469	
57	3.00000	0.337034	
57	5.00000	0.302539	
57	7.00000	0.276586	
57	10.0000	0.370844	
58	0.00000	0.298205	
58	1.00000	1.00000	
58	3.00000	0.129376	
58	5.00000	0.105462	
59	1.00000	0.339698	
59	7.00000	0.700195	
59	10.0000	0.143819	
59	14.0000	0.0861320	
60	0.00000	0.317742	
60	1.00000	0.199205	
60	3.00000	0.137771	
60	5.00000	0.104398	
60	14.0000	0.0790222	
61	1.00000	0.235299	
61	3.00000	0.182352	
61	5.00000	0.235049	
61	10.0000	0.115516	
62	1.00000	0.228663	
62	3.00000	0.122827	
62	5.00000	0.160956	
62	7.00000	0.134306	
62	10.0000	0.0822287	
63	0.00000	0.411124	
63	1.00000	0.430843	
63	3.00000	0.352036	
63	5.00000	0.191769	
63	10.0000	0.140810	
63	14.0000	0.168310	
64	0.00000	0.279377	
64	1.00000	0.191314	
64	5.00000	0.0268280	
64	7.00000	0.0294786	
65	0.00000	0.572429	
65	3.00000	0.448215	
65	5.00000	0.354586	
65	10.0000	0.413943	
65	14.0000	0.364443	
66	0.00000	0.733929	
66	1.00000	0.361107	
66	3.00000	0.394347	
66	5.00000	0.606665	
66	7.00000	0.211739	
66	10.0000	0.545973	
66	14.0000	0.138259	
67	0.00000	0.502424	
67	1.00000	0.291546	
67	3.00000	0.279615	
67	5.00000	0.203918	
67	7.00000	0.311803	
68	0.00000	0.415681	
68	1.00000	0.345323	
68	3.00000	0.276875	
68	5.00000	0.236057	
68	7.00000	0.193185	
68	10.0000	1.00011	
68	14.0000	0.0804553	
69	0.00000	0.416359	
69	1.00000	0.307362	
69	3.00000	0.194825	
69	7.00000	0.113446	
69	10.0000	0.117506	
70	0.00000	0.256908	
70	1.00000	0.212177	
70	3.00000	0.154455	
70	5.00000	0.121015	
70	7.00000	0.0964683	
71	0.00000	0.330900	
71	1.00000	0.210343	
71	3.00000	0.146581	
71	7.00000	0.0448059	
72	0.00000	0.532055	
72	1.00000	0.493685	
72	3.00000	0.326695	
72	5.00000	0.474117	
72	7.00000	0.479009	
72	10.0000	0.438641	
72	14.0000	0.435465	
73	1.00000	0.467737	
73	3.00000	0.367590	
73	5.00000	0.340169	
73	7.00000	0.335851	
73	10.0000	0.278959	
73	14.0000	0.243465	
74	0.00000	0.564026	
74	1.00000	0.341528	
74	3.00000	0.339337	
74	5.00000	0.283025	
74	7.00000	0.254153	
74	10.0000	0.168020	
74	14.0000	0.123682	
75	3.00000	0.242765	
75	5.00000	0.333799	
75	7.00000	0.364554	
75	10.0000	0.170685	
75	14.0000	0.169953	
76	0.00000	0.269615	
76	1.00000	0.276150	
76	5.00000	0.195961	
76	7.00000	0.150895	
77	0.00000	0.274634	
77	1.00000	0.223549	
77	3.00000	0.172189	
77	5.00000	0.123829	
77	7.00000	0.111480	
77	14.0000	0.0642764	
78	0.00000	0.535589	
78	1.00000	0.488961	
78	3.00000	0.421750	
78	5.00000	0.311520	
78	7.00000	0.274293	
78	10.0000	0.294461	
78	14.0000	0.266484	
79	1.00000	0.0998435	
79	7.00000	0.245956	
79	10.0000	0.213249	
79	14.0000	0.169791	
80	0.00000	0.274816	
80	1.00000	0.246177	
80	3.00000	0.163504	
80	10.0000	0.103835	
81	1.00000	0.363849	
81	3.00000	0.334105	
81	5.00000	0.241998	
81	7.00000	0.0978493	
81	10.0000	0.172717	
81	14.0000	0.114351	
82	1.00000	0.166411	
82	5.00000	0.116682	
82	7.00000	0.0918650	
82	14.0000	0.118714	
83	0.00000	0.309771	
83	1.00000	0.312546	
83	3.00000	0.198169	
83	5.00000	0.172281	
83	7.00000	0.283871	
84	0.00000	0.552228	
84	1.00000	0.218602	
84	3.00000	0.160456	
84	5.00000	0.0983248	
84	7.00000	0.0885261	
84	10.0000	0.116425	
85	0.00000	0.348085	
85	1.00000	0.475246	
85	3.00000	0.217924	
85	5.00000	0.165258	
85	7.00000	0.164948	
85	10.0000	0.368934	
85	14.0000	0.105392	
86	0.00000	0.690785	
86	1.00000	0.650126	
86	3.00000	0.586781	
86	5.00000	0.554166	
86	7.00000	0.538406	
86	10.0000	0.227680	
86	14.0000	0.466400	
87	5.00000	0.306199	
87	7.00000	0.287430	
87	10.0000	0.260903	
87	14.0000	0.237858	
88	3.00000	0.469750	
88	7.00000	0.345155	
88	10.0000	0.330988	
88	14.0000	0.334526	
89	1.00000	0.0731992	
89	3.00000	0.294487	
89	5.00000	0.0530936	
89	7.00000	0.0356975	
89	10.0000	0.917201	
89	14.0000	0.421765	
90	0.00000	0.292151	
90	1.00000	0.229846	
90	3.00000	0.202678	
90	5.00000	0.180432	
90	7.00000	0.158726	
90	10.0000	0.142039	
91	0.00000	0.215771	
91	1.00000	0.166861	
91	3.00000	0.122903	
91	7.00000	0.0813639	
92	0.00000	0.334083	
92	1.00000	0.244580	
92	3.00000	0.182417	
92	5.00000	0.194989	
92	7.00000	0.0964417	
92	14.0000	0.0750071	
93	0.00000	0.250195	
93	1.00000	0.0858505	
93	3.00000	0.0526985	
93	7.00000	0.0611582	
94	0.00000	0.425473	
94	1.00000	0.460384	
94	3.00000	0.293444	
94	5.00000	0.222671	
94	7.00000	0.215078	
94	10.0000	0.178890	
94	14.0000	0.144200	
95	0.00000	0.337449	
95	1.00000	0.269952	
95	3.00000	0.236752	
95	5.00000	0.139812	
95	7.00000	0.154357	
96	0.00000	0.223169	
96	1.00000	0.273739	
96	3.00000	0.216468	
96	5.00000	0.168419	
96	7.00000	0.162698	
97	0.00000	0.464198	
97	1.00000	0.398570	
97	3.00000	0.345321	
97	5.00000	0.279521	
97	7.00000	0.263212	
97	10.0000	0.239802	
97	14.0000	0.210409	
98	0.00000	0.343829	
98	1.00000	0.290711	
98	3.00000	0.220382	
98	7.00000	0.162220	
98	10.0000	0.126643	
98	14.0000	0.0995127	
99	0.00000	0.369008	
99	1.00000	0.304061	
99	3.00000	0.222998	
99	5.00000	0.160751	
99	7.00000	0.151048	
99	10.0000	0.125107	
99	14.0000	0.0966874	
100	1.00000	0.364750	
100	3.00000	0.299069	
100	5.00000	0.192167	
100	7.00000	0.243927	
100	10.0000	0.314766	
100	14.0000	0.107722	
101	0.00000	0.506529	
101	1.00000	0.487694	
101	3.00000	0.282309	
101	5.00000	0.342537	
102	0.00000	0.486296	
102	1.00000	0.358357	
102	3.00000	0.121834	
102	5.00000	0.321015	
102	7.00000	0.201966	
102	10.0000	0.159980	
102	14.0000	0.181338	
103	0.00000	0.471444	
103	1.00000	0.311446	
103	3.00000	0.253099	
103	5.00000	0.151496	
103	7.00000	0.156565	
103	10.0000	0.118188	
103	14.0000	0.0961449	
104	0.00000	0.322920	
104	3.00000	0.152643	
104	10.0000	0.171833	
104	14.0000	0.400758	
105	0.00000	0.505320	
105	1.00000	0.457826	
105	3.00000	0.436625	
105	5.00000	0.351243	
105	7.00000	0.338300	
105	10.0000	0.201849	
105	14.0000	0.185670	
106	0.00000	0.690416	
106	1.00000	0.325210	
106	3.00000	0.423067	
106	5.00000	0.163566	
106	7.00000	0.237446	
106	14.0000	0.0944580	
107	0.00000	0.248729	
107	1.00000	0.249364	
107	3.00000	0.164096	
107	5.00000	0.104579	
107	10.0000	0.0715665	
108	0.00000	0.471692	
108	1.00000	0.246729	
108	3.00000	0.269474	
108	5.00000	0.392608	
108	7.00000	0.423736	
108	10.0000	0.100390	
109	0.00000	0.455912	
109	3.00000	0.346315	
109	5.00000	0.276547	
109	10.0000	0.186883	
110	0.00000	0.323341	
110	1.00000	0.274357	
110	3.00000	0.225434	
110	5.00000	0.172600	
110	7.00000	0.136629	
110	10.0000	0.133207	
110	14.0000	0.0882393	
111	0.00000	0.376637	
111	1.00000	0.393590	
111	5.00000	0.330383	
111	14.0000	0.300368	
112	0.00000	0.562777	
112	1.00000	0.522988	
112	3.00000	0.530904	
112	5.00000	0.458031	
112	7.00000	0.692277	
112	10.0000	0.472816	
112	14.0000	0.371495	
113	1.00000	0.518150	
113	3.00000	0.374277	
113	7.00000	1.00001	
113	10.0000	0.355587	
113	14.0000	0.341800	
114	5.00000	0.281083	
114	7.00000	0.368142	
114	10.0000	0.0562877	
114	14.0000	0.217937	
115	0.00000	0.624620	
115	1.00000	0.576893	
115	3.00000	0.532222	
115	5.00000	0.516623	
115	7.00000	0.0219744	
115	10.0000	0.491133	
115	14.0000	0.351598	
116	1.00000	0.255716	
116	3.00000	0.199401	
116	5.00000	0.144600	
116	7.00000	0.113665	
117	0.00000	0.317356	
117	1.00000	0.263730	
117	3.00000	0.209080	
117	5.00000	0.136770	
117	7.00000	0.105328	
118	0.00000	0.394786	
118	1.00000	0.342809	
