ID,t,A0,notFoundBySE
0,0.0,,
0,1.0,,
0,3.0,,
0,5.0,0.25453,
0,7.0,0.261629,
0,10.0,0.235424,
0,14.0,0.21652,
2,0.0,0.572086,
2,1.0,,
2,3.0,0.44191,
2,5.0,0.955009,
2,7.0,,
2,10.0,,
2,14.0,0.324779,
3,0.0,0.505881,
3,1.0,,
3,3.0,0.366911,
3,5.0,,
3,7.0,,
3,10.0,0.184733,
3,14.0,0.280048,
14,0.0,,
14,1.0,0.277787,
14,3.0,0.192743,
14,5.0,0.155539,
14,7.0,,
14,10.0,,
14,14.0,0.130136,
15,0.0,0.537967,
15,1.0,,
15,3.0,0.40227,
15,5.0,,
15,7.0,0.264059,
15,10.0,0.219724,
15,14.0,,
32,0.0,,
32,1.0,0.400026,
32,3.0,0.344853,
32,5.0,,
32,7.0,0.317614,
32,10.0,0.283259,
32,14.0,,
33,0.0,,
33,1.0,0.223353,
33,3.0,,
33,5.0,0.269287,
33,7.0,0.22512,
33,10.0,,
33,14.0,0.180614,
39,0.0,0.417457,
39,1.0,,
39,3.0,0.473414,
39,5.0,0.449584,
39,7.0,,
39,10.0,,
39,14.0,0.356752,
43,0.0,,
43,1.0,0.543923,
43,3.0,0.523475,
43,5.0,,
43,7.0,0.456423,
43,10.0,,
43,14.0,0.437511,
45,0.0,,
45,1.0,,
45,3.0,0.441413,
45,5.0,0.390364,
45,7.0,0.37926,
45,10.0,,
45,14.0,0.286794,
48,0.0,0.489186,
48,1.0,,
48,3.0,0.416219,
48,5.0,,
48,7.0,0.303188,
48,10.0,0.280108,
48,14.0,,
66,0.0,0.733929,
66,1.0,0.361107,
66,3.0,0.394347,
66,5.0,,
66,7.0,,
66,10.0,,
66,14.0,0.138259,
68,0.0,0.415681,
68,1.0,,
68,3.0,0.276875,
68,5.0,,
68,7.0,,
68,10.0,1.00011,
68,14.0,0.0804553,
72,0.0,0.532055,
72,1.0,0.493685,
72,3.0,,
72,5.0,0.474117,
72,7.0,,
72,10.0,,
72,14.0,0.435465,
74,0.0,0.564026,
74,1.0,0.341528,
74,3.0,0.339337,
74,5.0,0.283025,
74,7.0,,
74,10.0,,
74,14.0,,
78,0.0,0.535589,
78,1.0,,
78,3.0,0.42175,
78,5.0,0.31152,
78,7.0,0.274293,
78,10.0,,
78,14.0,,
85,0.0,,
85,1.0,0.475246,
85,3.0,,
85,5.0,0.165258,
85,7.0,0.164948,
85,10.0,,
85,14.0,0.105392,
86,0.0,,
86,1.0,0.650126,
86,3.0,0.586781,
86,5.0,0.554166,
86,7.0,0.538406,
86,10.0,,
86,14.0,,
94,0.0,0.425473,
94,1.0,0.460384,
94,3.0,,
94,5.0,,
94,7.0,0.215078,
94,10.0,,
94,14.0,0.1442,
97,0.0,0.464198,
97,1.0,,
97,3.0,0.345321,
97,5.0,0.279521,
97,7.0,,
97,10.0,0.239802,
97,14.0,,
99,0.0,,
99,1.0,0.304061,
99,3.0,0.222998,
99,5.0,,
99,7.0,0.151048,
99,10.0,,
99,14.0,0.0966874,
102,0.0,0.486296,
102,1.0,,
102,3.0,0.121834,
102,5.0,,
102,7.0,,
102,10.0,0.15998,
102,14.0,0.181338,
103,0.0,,
103,1.0,0.311446,
103,3.0,0.253099,
103,5.0,,
103,7.0,,
103,10.0,0.118188,
103,14.0,0.0961449,
105,0.0,,
105,1.0,0.457826,
105,3.0,0.436625,
105,5.0,,
105,7.0,,
105,10.0,0.201849,
105,14.0,0.18567,
110,0.0,0.323341,
110,1.0,,
110,3.0,0.225434,
110,5.0,0.1726,
110,7.0,0.136629,
110,10.0,,
110,14.0,,
112,0.0,0.562777,
112,1.0,,
112,3.0,0.530904,
112,5.0,,
112,7.0,0.692277,
112,10.0,,
112,14.0,0.371495,
115,0.0,0.62462,
115,1.0,0.576893,
115,3.0,,
115,5.0,,
115,7.0,,
115,10.0,0.491133,
115,14.0,0.351598,
119,0.0,0.339021,
119,1.0,0.230233,
119,3.0,,
119,5.0,0.0914976,
119,7.0,,
119,10.0,,
119,14.0,0.0471318,
129,0.0,,
129,1.0,0.600466,
129,3.0,0.505596,
129,5.0,0.281731,
129,7.0,,
129,10.0,,
129,14.0,0.306225,
132,0.0,0.394374,
132,1.0,,
132,3.0,0.294853,
132,5.0,,
132,7.0,0.700618,
132,10.0,0.300194,
132,14.0,,
133,0.0,,
133,1.0,0.476779,
133,3.0,0.419632,
133,5.0,,
133,7.0,0.441935,
133,10.0,0.368364,
133,14.0,,
135,0.0,,
135,1.0,0.397397,
135,3.0,0.402973,
135,5.0,0.346666,
135,7.0,,
135,10.0,0.300271,
135,14.0,,
136,0.0,,
136,1.0,0.390405,
136,3.0,,
136,5.0,,
136,7.0,0.529743,
136,10.0,0.245576,
136,14.0,0.251068,
137,0.0,0.423454,
137,1.0,,
137,3.0,0.523602,
137,5.0,,
137,7.0,0.847968,
137,10.0,0.468205,
137,14.0,,
138,0.0,,
138,1.0,0.554371,
138,3.0,0.493416,
138,5.0,0.977546,
138,7.0,0.639271,
138,10.0,,
138,14.0,,
139,0.0,,
139,1.0,0.410887,
139,3.0,,
139,5.0,,
139,7.0,0.333972,
139,10.0,0.338121,
139,14.0,0.34062,
140,0.0,0.318687,
140,1.0,0.327577,
140,3.0,,
140,5.0,0.254868,
140,7.0,,
140,10.0,,
140,14.0,0.193332,
144,0.0,,
144,1.0,0.321759,
144,3.0,0.29006,
144,5.0,0.285401,
144,7.0,,
144,10.0,,
144,14.0,0.222395,
145,0.0,,
145,1.0,,
145,3.0,0.313055,
145,5.0,,
145,7.0,0.267862,
145,10.0,0.268022,
145,14.0,0.321509,
146,0.0,0.519989,
146,1.0,,
146,3.0,0.47416,
146,5.0,0.47468,
146,7.0,,
146,10.0,0.455752,
146,14.0,,
148,0.0,0.457607,
148,1.0,0.593196,
148,3.0,0.408125,
148,5.0,,
148,7.0,0.320279,
148,10.0,,
148,14.0,,
152,0.0,0.565396,
152,1.0,,
152,3.0,,
152,5.0,0.313543,
152,7.0,,
152,10.0,0.488875,
152,14.0,0.562002,
153,0.0,,
153,1.0,0.290695,
153,3.0,0.279899,
153,5.0,,
153,7.0,,
153,10.0,0.224111,
153,14.0,0.222362,
154,0.0,,
154,1.0,0.268197,
154,3.0,0.28049,
154,5.0,,
154,7.0,,
154,10.0,0.10781,
154,14.0,0.240018,
155,0.0,0.611661,
155,1.0,0.268066,
155,3.0,,
155,5.0,,
155,7.0,0.406419,
155,10.0,0.469751,
155,14.0,,
156,0.0,0.400212,
156,1.0,0.404377,
156,3.0,0.294168,
156,5.0,,
156,7.0,0.183314,
156,10.0,,
156,14.0,,
159,0.0,0.436581,
159,1.0,,
159,3.0,0.371873,
159,5.0,0.393396,
159,7.0,0.278084,
159,10.0,,
159,14.0,,
161,0.0,,
161,1.0,,
161,3.0,0.120173,
161,5.0,0.108484,
161,7.0,0.38148,
161,10.0,,
161,14.0,0.0609882,
172,0.0,0.366801,
172,1.0,,
172,3.0,0.321277,
172,5.0,0.260565,
172,7.0,,
172,10.0,0.469548,
172,14.0,,
174,0.0,0.378511,
174,1.0,,
174,3.0,,
174,5.0,0.202112,
174,7.0,,
174,10.0,0.278401,
174,14.0,0.104165,
175,0.0,0.345036,
175,1.0,0.349799,
175,3.0,,
175,5.0,0.311755,
175,7.0,0.261339,
175,10.0,,
175,14.0,,
177,0.0,0.366509,
177,1.0,0.337084,
177,3.0,0.2793,
177,5.0,0.236582,
