ID,t,A0,notFoundBySE
0,0.0,,
0,1.0,,
0,3.0,0.286199,
0,5.0,,
0,7.0,,
0,10.0,,
0,14.0,,
2,0.0,,
2,1.0,,
2,3.0,,
2,5.0,,
2,7.0,,
2,10.0,,
2,14.0,0.324779,
3,0.0,,
3,1.0,,
3,3.0,,
3,5.0,,
3,7.0,,
3,10.0,,
3,14.0,0.280048,
14,0.0,,
14,1.0,,
14,3.0,,
14,5.0,,
14,7.0,,
14,10.0,,
14,14.0,0.130136,
15,0.0,0.537967,
15,1.0,,
15,3.0,,
15,5.0,,
15,7.0,,
15,10.0,,
15,14.0,,
32,0.0,,
32,1.0,,
32,3.0,,
32,5.0,,
32,7.0,0.317614,
32,10.0,,
32,14.0,,
33,0.0,,
33,1.0,,
33,3.0,,
33,5.0,0.269287,
33,7.0,,
33,10.0,,
33,14.0,,
39,0.0,,
39,1.0,,
39,3.0,0.473414,
39,5.0,,
39,7.0,,
39,10.0,,
39,14.0,,
43,0.0,,
43,1.0,,
43,3.0,,
43,5.0,,
43,7.0,,
43,10.0,,
43,14.0,0.437511,
45,0.0,,
45,1.0,,
45,3.0,,
45,5.0,0.390364,
45,7.0,,
45,10.0,,
45,14.0,,
48,0.0,,
48,1.0,,
48,3.0,,
48,5.0,,
48,7.0,,
48,10.0,0.280108,
48,14.0,,
66,0.0,0.733929,
66,1.0,,
66,3.0,,
66,5.0,,
66,7.0,,
66,10.0,,
66,14.0,,
68,0.0,,
68,1.0,,
68,3.0,0.276875,
68,5.0,,
68,7.0,,
68,10.0,,
68,14.0,,
72,0.0,,
72,1.0,,
72,3.0,,
72,5.0,,
72,7.0,,
72,10.0,,
72,14.0,0.435465,
74,0.0,,
74,1.0,,
74,3.0,0.339337,
74,5.0,,
74,7.0,,
74,10.0,,
74,14.0,,
78,0.0,,
78,1.0,,
78,3.0,0.42175,
78,5.0,,
78,7.0,,
78,10.0,,
78,14.0,,
85,0.0,,
85,1.0,,
85,3.0,,
85,5.0,0.165258,
85,7.0,,
85,10.0,,
85,14.0,,
86,0.0,0.690785,
86,1.0,,
86,3.0,,
86,5.0,,
86,7.0,,
86,10.0,,
86,14.0,,
94,0.0,,
94,1.0,,
94,3.0,,
94,5.0,,
94,7.0,,
94,10.0,,
94,14.0,0.1442,
97,0.0,,
97,1.0,,
97,3.0,0.345321,
97,5.0,,
97,7.0,,
97,10.0,,
97,14.0,,
99,0.0,,
99,1.0,,
99,3.0,,
99,5.0,,
99,7.0,,
99,10.0,,
99,14.0,0.0966874,
102,0.0,,
102,1.0,,
102,3.0,,
102,5.0,,
102,7.0,,
102,10.0,,
102,14.0,0.181338,
103,0.0,,
103,1.0,,
103,3.0,,
103,5.0,0.151496,
103,7.0,,
103,10.0,,
103,14.0,,
105,0.0,,
105,1.0,0.457826,
105,3.0,,
105,5.0,,
105,7.0,,
105,10.0,,
105,14.0,,
110,0.0,,
110,1.0,,
110,3.0,,
110,5.0,,
110,7.0,0.136629,
110,10.0,,
110,14.0,,
112,0.0,,
112,1.0,,
112,3.0,,
112,5.0,,
112,7.0,,
112,10.0,0.472816,
112,14.0,,
115,0.0,,
115,1.0,,
115,3.0,,
115,5.0,,
115,7.0,0.0219744,
115,10.0,,
115,14.0,,
119,0.0,,
119,1.0,,
119,3.0,,
119,5.0,0.0914976,
119,7.0,,
119,10.0,,
119,14.0,,
129,0.0,,
129,1.0,0.600466,
129,3.0,,
129,5.0,,
129,7.0,,
129,10.0,,
129,14.0,,
132,0.0,0.394374,
132,1.0,,
132,3.0,,
132,5.0,,
132,7.0,,
132,10.0,,
132,14.0,,
133,0.0,0.460362,
133,1.0,,
133,3.0,,
133,5.0,,
133,7.0,,
133,10.0,,
133,14.0,,
135,0.0,,
135,1.0,,
135,3.0,,
135,5.0,0.346666,
135,7.0,,
135,10.0,,
135,14.0,,
136,0.0,,
136,1.0,,
136,3.0,,
136,5.0,,
136,7.0,,
136,10.0,0.245576,
136,14.0,,
137,0.0,,
137,1.0,,
137,3.0,0.523602,
137,5.0,,
137,7.0,,
137,10.0,,
137,14.0,,
138,0.0,,
138,1.0,0.554371,
138,3.0,,
138,5.0,,
138,7.0,,
138,10.0,,
138,14.0,,
139,0.0,,
139,1.0,,
139,3.0,,
139,5.0,0.548397,
139,7.0,,
139,10.0,,
139,14.0,,
140,0.0,,
140,1.0,,
140,3.0,0.295656,
140,5.0,,
140,7.0,,
140,10.0,,
140,14.0,,
144,0.0,,
144,1.0,0.321759,
144,3.0,,
144,5.0,,
144,7.0,,
144,10.0,,
144,14.0,,
145,0.0,,
145,1.0,,
145,3.0,0.313055,
145,5.0,,
145,7.0,,
145,10.0,,
145,14.0,,
146,0.0,0.519989,
146,1.0,,
146,3.0,,
146,5.0,,
146,7.0,,
146,10.0,,
146,14.0,,
148,0.0,,
148,1.0,,
148,3.0,,
148,5.0,,
148,7.0,,
148,10.0,0.139179,
148,14.0,,
152,0.0,,
152,1.0,,
152,3.0,0.540079,
152,5.0,,
152,7.0,,
152,10.0,,
152,14.0,,
153,0.0,,
153,1.0,,
153,3.0,,
153,5.0,,
153,7.0,0.252639,
153,10.0,,
153,14.0,,
154,0.0,,
154,1.0,,
154,3.0,,
154,5.0,,
154,7.0,,
154,10.0,,
154,14.0,0.240018,
155,0.0,,
155,1.0,0.268066,
155,3.0,,
155,5.0,,
155,7.0,,
155,10.0,,
155,14.0,,
156,0.0,0.400212,
156,1.0,,
156,3.0,,
156,5.0,,
156,7.0,,
156,10.0,,
156,14.0,,
159,0.0,,
159,1.0,,
159,3.0,,
159,5.0,0.393396,
159,7.0,,
159,10.0,,
159,14.0,,
161,0.0,,
161,1.0,,
161,3.0,,
161,5.0,,
161,7.0,0.38148,
161,10.0,,
161,14.0,,
172,0.0,,
172,1.0,,
172,3.0,0.321277,
172,5.0,,
172,7.0,,
172,10.0,,
172,14.0,,
174,0.0,0.378511,
174,1.0,,
174,3.0,,
174,5.0,,
174,7.0,,
174,10.0,,
174,14.0,,
175,0.0,,
175,1.0,,
175,3.0,0.355883,
175,5.0,,
175,7.0,,
175,10.0,,
175,14.0,,
177,0.0,,
177,1.0,,
177,3.0,,
177,5.0,0.236582,
177,7.0,,
177,10.0,,
177,14.0,,
178,0.0,,
178,1.0,,
178,3.0,,
178,5.0,,
178,7.0,0.274592,
178,10.0,,
178,14.0,,
181,0.0,,
181,1.0,0.485076,
181,3.0,,
181,5.0,,
181,7.0,,
181,10.0,,
181,14.0,,
184,0.0,0.655818,
184,1.0,,
184,3.0,,
184,5.0,,
184,7.0,,
184,10.0,,
184,14.0,,
187,0.0,,
187,1.0,,
187,3.0,,
187,5.0,,
187,7.0,,
187,10.0,0.45768,
187,14.0,,
192,0.0,,
192,1.0,,
192,3.0,,
192,5.0,,
192,7.0,,
192,10.0,0.0853281,
192,14.0,,
195,0.0,,
195,1.0,,
195,3.0,,
195,5.0,0.209316,
195,7.0,,
195,10.0,,
195,14.0,,
199,0.0,,
199,1.0,,
199,3.0,,
199,5.0,,
199,7.0,,
199,10.0,,
199,14.0,0.20626,
200,0.0,,
200,1.0,,
200,3.0,,
200,5.0,,
200,7.0,0.1437,
200,10.0,,
200,14.0,,
201,0.0,,
201,1.0,0.460277,
201,3.0,,
201,5.0,,
201,7.0,,
201,10.0,,
201,14.0,,
207,0.0,,
207,1.0,,
207,3.0,,
207,5.0,,
207,7.0,,
207,10.0,0.343321,
207,14.0,,
