"","d0","d1","d3","d5","d7","d10","d14"
"1",0.315466,0.30525,0.286199,0.155539,0.0372891,0.165729,0.21652
"2",0.572086,0.548998,0.44191,0.155539,0.0372891,0.165729,0.21652
"3",0.315466,0.371206,0.366911,0.155539,0.314547,0.165729,0.280048
"4",0.396316,0.30525,0.286199,0.155539,0.139833,0.165729,0.130136
"5",0.315466,0.420524,0.40227,0.155539,0.264059,0.165729,0.160138
"6",0.315466,0.30525,0.344853,0.348103,0.317614,0.165729,0.245167
"7",0.272271,0.30525,0.286199,0.269287,0.0372891,0.165729,0.180614
"8",0.417457,0.497978,0.286199,0.449584,0.0372891,0.390586,0.21652
"9",0.407476,0.30525,0.523475,0.155539,0.456423,0.165729,0.437511
"10",0.315466,0.30525,0.441413,0.155539,0.37926,0.362571,0.286794
"11",0.489186,0.396316,0.286199,0.155539,0.0372891,0.280108,0.254717
"12",0.733929,0.361107,0.394347,0.155539,0.0372891,0.545973,0.21652
"13",0.315466,0.345323,0.276875,0.155539,0.193185,1.00011,0.21652
"14",0.532055,0.493685,0.286199,0.155539,0.479009,0.438641,0.21652
"15",0.277442,0.341528,0.339337,0.283025,0.185905,0.165729,0.123682
"16",0.315466,0.30525,0.42175,0.31152,0.274293,0.294461,0.21652
"17",0.348085,0.475246,0.286199,0.155539,0.164948,0.165729,0.105392
"18",0.690785,0.30525,0.586781,0.155539,0.0372891,0.22768,0.4664
"19",0.425473,0.460384,0.293444,0.155539,0.0372891,0.165729,0.1442
"20",0.464198,0.30525,0.286199,0.155539,0.263212,0.239802,0.210409
"21",0.315466,0.304061,0.222998,0.155539,0.0372891,0.125107,0.0966874
"22",0.486296,0.30525,0.121834,0.155539,0.0372891,0.15998,0.181338
"23",0.315466,0.311446,0.253099,0.151496,0.0372891,0.118188,0.21652
"24",0.50532,0.30525,0.436625,0.155539,0.3383,0.201849,0.21652
"25",0.323341,0.30525,0.225434,0.155539,0.136629,0.165729,0.0882393
"26",0.315466,0.30525,0.530904,0.458031,0.692277,0.165729,0.371495
"27",0.62462,0.576893,0.286199,0.155539,0.0219744,0.165729,0.351598
"28",0.339021,0.30525,0.115148,0.155539,0.0842605,0.165729,0.0471318
"29",0.315466,0.600466,0.505596,0.155539,0.338762,0.503372,0.21652
"30",0.394374,0.321225,0.294853,0.155539,0.700618,0.165729,0.21652
"31",0.315466,0.30525,0.419632,0.371791,0.0372891,0.368364,0.332264
"32",0.456133,0.30525,0.402973,0.155539,0.354874,0.300271,0.21652
"33",0.315466,0.30525,0.35485,0.334347,0.529743,0.245576,0.21652
"34",0.315466,0.999857,0.523602,0.155539,0.0372891,0.468205,0.340904
"35",0.682832,0.30525,0.286199,0.155539,0.639271,0.446766,0.395436
"36",0.229312,0.410887,0.462375,0.155539,0.0372891,0.338121,0.21652
"37",0.318687,0.30525,0.295656,0.254868,0.188013,0.165729,0.21652
"38",0.269208,0.30525,0.286199,0.285401,0.265448,0.253835,0.21652
"39",0.331189,0.30525,0.286199,0.310561,0.0372891,0.268022,0.321509
"40",0.519989,0.512415,0.47416,0.155539,0.0372891,0.455752,0.21652
"41",0.315466,0.593196,0.408125,0.155539,0.0372891,0.139179,0.310519
"42",0.315466,0.565851,0.540079,0.155539,0.0372891,0.488875,0.562002
"43",0.315466,0.290695,0.286199,0.155539,0.252639,0.224111,0.222362
"44",0.315466,0.30525,0.28049,0.28955,0.0372891,0.10781,0.240018
"45",0.611661,0.30525,0.535935,0.520969,0.0372891,0.165729,0.422185
"46",0.315466,0.404377,0.294168,0.308578,0.0372891,0.165729,0.174874
"47",0.436581,0.30525,0.165048,0.393396,0.278084,0.186536,0.21652
"48",0.351985,0.30525,0.120173,0.108484,0.0372891,0.165729,0.0609882
"49",0.315466,0.382544,0.286199,0.260565,0.24994,0.469548,0.21652
"50",0.315466,0.0917692,0.356722,0.202112,0.334531,0.165729,0.21652
"51",0.315466,0.349799,0.355883,0.311755,0.0372891,0.165729,0.228245
"52",0.366509,0.30525,0.286199,0.236582,0.0372891,0.198876,0.398227
"53",0.434804,0.395852,0.341025,0.155539,0.0372891,0.165729,0.1552
"54",0.315466,0.485076,0.434652,0.155539,0.358119,0.349514,0.21652
"55",0.315466,0.450064,0.286199,0.185591,0.0372891,0.280393,0.277908
"56",0.372019,0.375058,0.306882,0.253007,0.0372891,0.165729,0.21652
"57",0.254381,0.249695,0.184739,0.158246,0.0372891,0.165729,0.21652
"58",0.315466,0.30525,0.287461,0.209316,0.0372891,0.103752,0.152077
"59",0.443674,0.30525,0.37101,0.220708,0.0372891,0.22851,0.21652
"60",0.315466,0.218306,0.199725,0.157695,0.0372891,0.106872,0.21652
"61",0.315466,0.460277,0.286199,0.364949,0.361852,0.165729,0.258763
"62",0.519294,0.30525,0.460831,0.155539,0.384975,0.165729,0.2996
"63",0.315466,0.607464,0.286199,0.522446,0.496446,0.423059,0.21652
"64",0.336017,0.329328,0.302398,0.155539,0.230366,0.165729,0.21652
"65",0.360497,0.30525,0.310915,0.155539,0.262822,0.165729,0.205906
"66",0.315466,0.366273,0.286199,0.282767,0.0372891,0.267717,0.195714
"67",0.37081,0.511002,0.319422,0.28588,0.267153,0.165729,0.203121
"68",0.391927,0.30525,0.355539,0.155539,0.0372891,0.215062,0.228604
"69",0.315466,0.30525,0.226953,0.155539,0.170831,0.297983,0.272084
"70",0.315466,0.30525,0.439266,0.155539,0.361414,0.454106,0.279529
"71",0.315466,0.428188,0.0572951,0.354957,0.335303,0.165729,0.21652
"72",0.315466,0.426896,0.381826,0.155539,0.326678,0.165729,0.249936
"73",0.315466,0.548389,0.518792,0.46631,0.0372891,0.39875,0.21652
"74",0.24844,0.442911,0.206498,0.212803,0.0372891,0.149544,0.123593
"75",0.315466,0.505849,0.462346,0.155539,0.356817,0.315763,0.21652
"76",0.611903,0.30525,0.286199,0.155539,0.48998,0.451013,0.440983
"77",0.315466,0.30525,0.42538,0.388743,0.0372891,0.346092,0.245289
"78",0.57493,0.735571,0.286199,0.491099,0.476674,0.165729,0.21652
"79",0.315466,0.260157,0.224268,0.200198,0.0372891,0.165729,0.127956
"80",0.301643,0.383388,0.366908,0.155539,0.222255,0.165729,0.21652
"81",0.455639,0.435363,0.406908,0.155539,0.0372891,0.165729,0.258141
"82",0.456554,0.30525,0.383923,0.349396,0.0372891,0.165729,0.25078
"83",0.24844,0.442911,0.206498,0.212803,0.0372891,0.149544,0.110605
"84",0.315466,0.34039,0.281679,0.270381,0.0372891,0.213512,0.21652
"85",0.315466,0.269985,0.286199,0.274736,0.0372891,0.11356,0.401991
"86",0.315466,0.467865,0.453468,0.424315,0.386248,0.165729,0.21652
"87",0.37081,0.511002,0.455675,0.28588,0.267153,0.165729,0.203121
"88",0.315466,0.542494,0.446404,0.373853,0.0372891,0.165729,0.291606
