"","d0","d1","d3","d5","d7","d10","d14"
"1",0.315466,0.30525,0.44191,0.25453,0.0372891,0.369741,0.280048
"2",0.315466,0.30525,0.44191,0.25453,0.0372891,0.369741,0.280048
"3",0.315466,0.371206,0.44191,0.25453,0.0372891,0.184733,0.280048
"4",0.315466,0.277787,0.192743,0.25453,0.0372891,0.369741,0.130136
"5",0.537967,0.30525,0.40227,0.320141,0.0372891,0.369741,0.280048
"6",0.315466,0.400026,0.344853,0.25453,0.0372891,0.369741,0.245167
"7",0.315466,0.30525,0.44191,0.269287,0.22512,0.165729,0.280048
"8",0.417457,0.497978,0.473414,0.25453,0.0372891,0.369741,0.280048
"9",0.407476,0.543923,0.44191,0.25453,0.456423,0.369741,0.280048
"10",0.315466,0.30525,0.44191,0.390364,0.0372891,0.362571,0.286794
"11",0.315466,0.30525,0.416219,0.25453,0.0372891,0.280108,0.254717
"12",0.315466,0.361107,0.394347,0.25453,0.0372891,0.545973,0.280048
"13",0.415681,0.30525,0.44191,0.236057,0.0372891,1.00011,0.280048
"14",0.532055,0.30525,0.44191,0.25453,0.0372891,0.438641,0.435465
"15",0.315466,0.341528,0.44191,0.25453,0.254153,0.369741,0.123682
"16",0.535589,0.30525,0.44191,0.31152,0.0372891,0.369741,0.266484
"17",0.348085,0.475246,0.44191,0.25453,0.164948,0.369741,0.280048
"18",0.690785,0.650126,0.44191,0.25453,0.0372891,0.22768,0.280048
"19",0.425473,0.30525,0.293444,0.25453,0.215078,0.369741,0.280048
"20",0.315466,0.39857,0.44191,0.25453,0.263212,0.369741,0.210409
"21",0.315466,0.30525,0.222998,0.25453,0.151048,0.125107,0.280048
"22",0.315466,0.30525,0.121834,0.25453,0.0372891,0.15998,0.181338
"23",0.315466,0.311446,0.44191,0.151496,0.0372891,0.118188,0.280048
"24",0.50532,0.30525,0.44191,0.25453,0.3383,0.369741,0.18567
"25",0.315466,0.274357,0.225434,0.25453,0.0372891,0.369741,0.0882393
"26",0.315466,0.30525,0.44191,0.458031,0.692277,0.472816,0.280048
"27",0.315466,0.576893,0.532222,0.516623,0.0372891,0.369741,0.280048
"28",0.339021,0.230233,0.44191,0.25453,0.0842605,0.369741,0.280048
"29",0.315466,0.600466,0.505596,0.25453,0.0372891,0.369741,0.306225
"30",0.315466,0.321225,0.44191,0.360077,0.700618,0.369741,0.280048
"31",0.315466,0.30525,0.419632,0.25453,0.441935,0.369741,0.332264
"32",0.456133,0.30525,0.44191,0.346666,0.354874,0.369741,0.280048
"33",0.315466,0.390405,0.35485,0.334347,0.0372891,0.369741,0.280048
"34",0.315466,0.999857,0.523602,0.25453,0.847968,0.369741,0.280048
"35",0.315466,0.30525,0.493416,0.25453,0.639271,0.446766,0.280048
"36",0.229312,0.30525,0.462375,0.548397,0.0372891,0.369741,0.280048
"37",0.315466,0.30525,0.295656,0.254868,0.0372891,0.369741,0.193332
"38",0.269208,0.321759,0.44191,0.25453,0.265448,0.369741,0.280048
"39",0.331189,0.30525,0.44191,0.25453,0.267862,0.369741,0.321509
"40",0.315466,0.30525,0.47416,0.25453,0.0372891,0.455752,0.425312
"41",0.315466,0.593196,0.44191,0.25453,0.320279,0.139179,0.280048
"42",0.315466,0.565851,0.44191,0.25453,0.0729241,0.488875,0.280048
"43",0.315466,0.30525,0.279899,0.25453,0.252639,0.224111,0.280048
"44",0.365735,0.268197,0.44191,0.25453,0.263381,0.369741,0.280048
"45",0.611661,0.30525,0.44191,0.520969,0.0372891,0.369741,0.422185
"46",0.400212,0.404377,0.44191,0.308578,0.0372891,0.369741,0.280048
"47",0.436581,0.316563,0.371873,0.25453,0.0372891,0.186536,0.280048
"48",0.315466,0.30525,0.44191,0.25453,0.38148,0.0804841,0.0609882
"49",0.315466,0.382544,0.44191,0.25453,0.24994,0.469548,0.280048
"50",0.378511,0.30525,0.44191,0.25453,0.334531,0.369741,0.104165
"51",0.345036,0.349799,0.355883,0.25453,0.0372891,0.369741,0.280048
"52",0.366509,0.337084,0.44191,0.25453,0.0372891,0.198876,0.280048
"53",0.315466,0.30525,0.44191,0.277566,0.0372891,0.203731,0.1552
"54",0.497103,0.30525,0.44191,0.401238,0.0372891,0.349514,0.280048
"55",0.315466,0.30525,0.609636,0.25453,0.0372891,0.280393,0.277908
"56",0.315466,0.30525,0.306882,0.253007,0.243535,0.369741,0.280048
"57",0.254381,0.249695,0.184739,0.25453,0.0372891,0.369741,0.280048
"58",0.413087,0.30525,0.287461,0.25453,0.0372891,0.369741,0.152077
"59",0.315466,0.421626,0.44191,0.220708,0.0372891,0.369741,0.20626
"60",0.315466,0.30525,0.199725,0.157695,0.0372891,0.369741,0.0788477
"61",0.315466,0.460277,0.408678,0.25453,0.0372891,0.369741,0.258763
"62",0.315466,0.30525,0.460831,0.40659,0.384975,0.369741,0.280048
"63",0.315466,0.30525,0.556867,0.522446,0.0372891,0.369741,0.404695
"64",0.315466,0.329328,0.302398,0.2599,0.0372891,0.369741,0.280048
"65",0.315466,0.344649,0.44191,0.25453,0.262822,0.266386,0.280048
"66",0.315466,0.30525,0.44191,0.25453,0.260241,0.267717,0.195714
"67",0.382318,0.382211,0.44191,0.28588,0.0372891,0.369741,0.280048
"68",0.315466,0.30525,0.355539,0.429618,0.267802,0.369741,0.280048
"69",0.472324,0.30525,0.388186,0.25453,0.170831,0.297983,0.280048
"70",0.530426,0.481415,0.439266,0.25453,0.0372891,0.369741,0.280048
"71",0.315466,0.428188,0.0572951,0.25453,0.0372891,0.369741,0.251766
"72",0.315466,0.30525,0.381826,0.351675,0.0372891,0.369741,0.249936
"73",0.574931,0.548389,0.518792,0.25453,0.0372891,0.369741,0.280048
"74",0.24844,0.251947,0.44191,0.25453,0.0847303,0.369741,0.280048
"75",0.315466,0.505849,0.44191,0.25453,0.0372891,0.315763,0.286051
"76",0.611903,0.591794,0.44191,0.25453,0.48998,0.369741,0.280048
"77",0.498169,0.471767,0.44191,0.25453,0.296354,0.369741,0.280048
"78",0.57493,0.30525,0.44191,0.491099,0.0372891,0.369741,0.405398
