ID,t,A0,notFoundBySE
0,0.0,,
0,1.0,0.550501,
0,3.0,0.234606,
0,5.0,,
0,7.0,,
0,10.0,,
0,14.0,,
1,0.0,0.324439,
1,1.0,,
1,3.0,0.300497,
1,5.0,,
1,7.0,,
1,10.0,,
1,14.0,,
6,0.0,0.452703,
6,1.0,0.7947,
6,3.0,,
6,5.0,,
6,7.0,,
6,10.0,,
6,14.0,,
11,0.0,,
11,1.0,0.661543,
11,3.0,,
11,5.0,,
11,7.0,,
11,10.0,0.530009,
11,14.0,,
12,0.0,,
12,1.0,0.273733,
12,3.0,,
12,5.0,,
12,7.0,,
12,10.0,0.148498,
12,14.0,,
19,0.0,,
19,1.0,,
19,3.0,,
19,5.0,,
19,7.0,0.147161,
19,10.0,,
19,14.0,0.115847,
21,0.0,,
21,1.0,,
21,3.0,0.384171,
21,5.0,,
21,7.0,,
21,10.0,,
21,14.0,0.21804,
28,0.0,,
28,1.0,0.184647,
28,3.0,,
28,5.0,,
28,7.0,0.143869,
28,10.0,,
28,14.0,,
32,0.0,0.415774,
32,1.0,,
32,3.0,,
32,5.0,0.345362,
32,7.0,,
32,10.0,,
32,14.0,,
33,0.0,0.362872,
33,1.0,,
33,3.0,,
33,5.0,,
33,7.0,,
33,10.0,,
33,14.0,0.193704,
34,0.0,,
34,1.0,,
34,3.0,,
34,5.0,0.347202,
34,7.0,,
34,10.0,0.275035,
34,14.0,,
35,0.0,,
35,1.0,,
35,3.0,,
35,5.0,0.207455,
35,7.0,,
35,10.0,0.161701,
35,14.0,,
36,0.0,0.213674,
36,1.0,,
36,3.0,0.189834,
36,5.0,,
36,7.0,,
36,10.0,,
36,14.0,,
41,0.0,,
41,1.0,,
41,3.0,0.443626,
41,5.0,,
41,7.0,,
41,10.0,0.408755,
41,14.0,,
42,0.0,,
42,1.0,0.321959,
42,3.0,,
42,5.0,0.214124,
42,7.0,,
42,10.0,,
42,14.0,,
43,0.0,,
43,1.0,,
43,3.0,,
43,5.0,,
43,7.0,0.264305,
43,10.0,0.504313,
43,14.0,,
44,0.0,,
44,1.0,0.439868,
44,3.0,,
44,5.0,,
44,7.0,,
44,10.0,,
44,14.0,0.291349,
45,0.0,,
45,1.0,,
45,3.0,0.401914,
45,5.0,,
45,7.0,,
45,10.0,,
45,14.0,0.295651,
46,0.0,,
46,1.0,0.414715,
46,3.0,,
46,5.0,0.349315,
46,7.0,,
46,10.0,,
46,14.0,,
47,0.0,,
47,1.0,0.43392,
47,3.0,,
47,5.0,,
47,7.0,,
47,10.0,,
47,14.0,0.261176,
48,0.0,,
48,1.0,0.237026,
48,3.0,,
48,5.0,,
48,7.0,,
48,10.0,,
48,14.0,0.104976,
49,0.0,,
49,1.0,,
49,3.0,,
49,5.0,,
49,7.0,,
49,10.0,0.211571,
49,14.0,0.146184,
58,0.0,0.415475,
58,1.0,,
58,3.0,,
58,5.0,,
58,7.0,0.218145,
58,10.0,,
58,14.0,,
64,0.0,,
64,1.0,0.435836,
64,3.0,,
64,5.0,,
64,7.0,0.0644816,
64,10.0,,
64,14.0,,
65,0.0,0.538834,
65,1.0,,
65,3.0,,
65,5.0,,
65,7.0,,
65,10.0,,
65,14.0,0.249627,
70,0.0,,
70,1.0,,
70,3.0,0.227413,
70,5.0,0.163047,
