"","d0","d1","d3","d5","d7","d10","d14"
"1",0.0901205,0.550501,0.300497,0.268112,0.289811,0.267403,0.0319706
"2",0.324439,0.3126,0.300497,0.268112,0.263287,0.267403,0.0319706
"3",0.452703,0.7947,0.300497,0.346048,0.418802,0.267403,0.254291
"4",0.0901205,0.661543,0.0643746,0.268112,0.077678,0.530009,0.0797947
"5",0.316742,0.273733,0.193356,0.162254,0.176845,0.267403,0.101004
"6",0.0901205,0.288563,0.183713,0.163496,0.147161,0.172939,0.115847
"7",0.447919,0.438191,0.384171,0.276326,0.289811,0.267403,0.21804
"8",0.0901205,0.550501,0.1871,0.12087,0.143869,0.133408,0.10147
"9",0.0901205,0.550501,0.402456,0.345362,0.331815,0.325378,0.25849
"10",0.362872,0.239435,0.300497,0.286946,0.289811,0.234626,0.193704
"11",0.414758,0.40324,0.376892,0.268112,0.32,0.275035,0.0319706
"12",0.0901205,0.371587,0.291868,0.207455,0.168378,0.161701,0.0319706
"13",0.213674,0.163988,0.189834,0.268112,0.179374,0.267403,0.0620019
"14",0.0901205,0.499831,0.443626,0.4418,0.424423,0.267403,0.369575
"15",0.134263,0.321959,0.338694,0.268112,0.289811,0.256319,0.248303
"16",0.452316,0.533137,0.499408,0.268112,0.264305,0.267403,0.447692
"17",0.42898,0.439868,0.300497,0.372593,0.319466,0.267403,0.291349
"18",0.491517,0.550501,0.401914,0.454526,0.376625,0.410672,0.0319706
"19",0.432491,0.414715,0.389052,0.268112,0.289811,0.331151,0.255404
"20",0.0901205,0.43392,0.477522,0.346683,0.310423,0.366838,0.0319706
"21",0.0686915,0.550501,0.237294,0.190482,0.289811,0.148193,0.104976
"22",0.0901205,0.338932,0.282018,0.268112,0.216153,0.211571,0.146184
"23",0.415475,0.34868,0.309487,0.268112,0.289811,0.198135,0.107443
"24",0.286968,0.435836,0.282501,0.32126,0.289811,0.271623,0.0319706
"25",0.0901205,0.505055,0.434316,0.268112,0.346628,0.341511,0.249627
"26",0.399338,0.254577,0.227413,0.163047,0.289811,0.176978,0.0319706
"27",0.679728,0.663451,0.594437,0.268112,0.515107,0.267403,0.477694
"28",0.438595,0.395728,0.300497,0.268999,0.203539,0.196151,0.0319706
"29",0.473035,0.469454,0.204013,0.268112,0.289811,0.25736,0.30593
"30",0.35569,0.550501,0.254104,0.19988,0.161866,0.149054,0.0319706
"31",0.360841,0.326759,0.246747,0.268112,0.150026,0.267403,0.103732
"32",0.0901205,0.312735,0.252281,0.186233,0.159109,0.121009,0.0319706
"33",0.484735,0.440257,0.436521,0.268112,0.289811,0.369358,0.318978
