"","d0","d1","d3","d5","d7","d10","d14"
"1",0.0901205,0.550501,0.234606,0.268112,0.289811,0.150531,0.248587
"2",0.324439,0.3126,0.300497,0.268112,0.263287,0.267403,0.248587
"3",0.452703,0.7947,0.374126,0.268112,0.418802,0.315768,0.254291
"4",0.108245,0.661543,0.0643746,0.680203,0.077678,0.530009,0.248587
"5",0.316742,0.273733,0.193356,0.198326,0.176845,0.123609,0.101004
"6",0.373002,0.288563,0.183713,0.137762,0.289811,0.172939,0.115847
"7",0.447919,0.438191,0.384171,0.276326,0.220839,0.300619,0.248587
"8",0.358968,0.184647,0.1871,0.12087,0.143869,0.133408,0.248587
"9",0.415774,0.441023,0.234606,0.345362,0.331815,0.325378,0.25849
"10",0.362872,0.239435,0.303907,0.286946,0.288881,0.150531,0.193704
"11",0.414758,0.40324,0.376892,0.268112,0.32,0.275035,0.241127
"12",0.273687,0.371587,0.291868,0.207455,0.168378,0.161701,0.248587
"13",0.213674,0.163988,0.189834,0.164636,0.179374,0.150531,0.0620019
"14",0.500459,0.499831,0.443626,0.4418,0.424423,0.408755,0.248587
"15",0.134263,0.321959,0.234606,0.214124,0.217192,0.256319,0.248303
"16",0.452316,0.533137,0.499408,0.482922,0.264305,0.504313,0.248587
"17",0.42898,0.439868,0.234606,0.372593,0.319466,0.309217,0.291349
"18",0.491517,0.448557,0.401914,0.454526,0.289811,0.410672,0.295651
"19",0.432491,0.414715,0.234606,0.349315,0.306137,0.331151,0.255404
"20",0.433527,0.550501,0.477522,0.346683,0.310423,0.366838,0.261176
"21",0.0686915,0.237026,0.234606,0.190482,0.165503,0.148193,0.104976
"22",0.385102,0.338932,0.282018,0.229988,0.289811,0.211571,0.146184
"23",0.415475,0.34868,0.309487,0.22987,0.218145,0.150531,0.107443
"24",0.286968,0.435836,0.282501,0.268112,0.0644816,0.271623,0.183939
"25",0.0901205,0.505055,0.434316,0.383447,0.346628,0.341511,0.249627
"26",0.399338,0.254577,0.227413,0.163047,0.165794,0.176978,0.12401
"27",0.679728,0.663451,0.594437,0.5224,0.515107,0.256396,0.248587
"28",0.438595,0.550501,0.309055,0.268999,0.203539,0.196151,0.151508
"29",0.473035,0.469454,0.204013,0.299274,0.289811,0.25736,0.30593
"30",0.35569,0.341946,0.254104,0.19988,0.289811,0.149054,0.0976951
"31",0.360841,0.550501,0.246747,0.210505,0.150026,0.14551,0.103732
"32",0.397227,0.312735,0.252281,0.186233,0.159109,0.121009,0.248587
"33",0.484735,0.550501,0.436521,0.286417,0.235077,0.369358,0.318978
"34",0.335538,0.263341,0.234606,0.136196,0.104911,0.113171,0.0734598
"35",0.459208,0.428876,0.361374,0.307221,0.289647,0.258726,0.248587
"36",0.0901205,0.27604,0.234718,0.178687,0.138981,0.140014,0.10421
"37",0.0901205,0.564858,0.468007,0.563154,0.47757,0.336082,0.457953
"38",0.334038,0.550501,0.186195,0.132885,0.119848,0.0918309,0.0603305
"39",0.531604,0.517695,0.519881,0.329215,0.289811,0.461143,0.265965
"40",0.258912,0.341757,0.257172,0.198794,0.0320197,0.199612,0.0527215
"41",0.354548,0.34524,0.11242,0.261269,0.289811,0.0868184,0.190241
