"","x"
"1",0
"2",1
"3",6
"4",10
"5",12
"6",21
"7",24
"8",29
"9",30
"10",31
"11",36
"12",37
"13",38
"14",39
"15",40
"16",41
"17",43
"18",45
"19",47
"20",57
"21",64
"22",72
"23",75
"24",77
"25",93
"26",100
"27",102
"28",106
"29",108
"30",110
"31",118
"32",120
"33",121
"34",128
"35",141
"36",143
"37",149
"38",151
"39",152
"40",153
"41",154
"42",155
"43",156
"44",157
"45",158
"46",165
"47",167
"48",171
"49",172
"50",174
"51",175
"52",176
"53",179
"54",182
"55",188
"56",194
"57",195
"58",198
"59",199
"60",201
"61",202
"62",203
"63",206
"64",207
"65",208
"66",213
"67",218
"68",219
"69",220
"70",224
"71",226
"72",228
"73",231
"74",232
"75",233
"76",235
"77",237
"78",241
"79",247
"80",249
"81",252
"82",254
"83",256
"84",257
"85",259
"86",261
"87",262
"88",265
"89",268
"90",270
"91",271
"92",273
"93",282
"94",287
"95",290
"96",291
"97",296
"98",297
"99",299
"100",310
"101",311
"102",315
"103",316
"104",317
"105",318
"106",320
"107",332
"108",339
"109",341
"110",344
"111",345
"112",346
"113",347
"114",349
"115",350
"116",355
"117",356
"118",358
"119",359
"120",362
"121",363
"122",365
"123",367
"124",368
"125",371
"126",373
"127",377
"128",378
"129",379
"130",380
"131",385
"132",386
"133",387
"134",390
"135",391
"136",400
"137",409
"138",413
"139",416
"140",422
"141",423
"142",424
"143",425
"144",426
"145",429
"146",432
"147",437
"148",438
"149",439
"150",440
"151",444
"152",446
"153",448
"154",449
"155",452
"156",454
"157",457
"158",462
"159",463
"160",468
"161",469
"162",471
"163",472
"164",473
"165",474
"166",475
"167",476
"168",478
"169",479
"170",483
"171",491
"172",492
"173",493
"174",498
"175",499
"176",500
"177",506
"178",507
"179",510
"180",513
"181",515
"182",516
"183",517
"184",519
"185",521
"186",523
"187",527
"188",528
"189",529
"190",530
"191",531
"192",532
"193",534
"194",535
"195",536
"196",537
"197",538
"198",539
"199",542
"200",545
"201",548
"202",553
"203",554
"204",555
"205",556
"206",557
"207",559
"208",562
"209",565
"210",566
"211",567
"212",569
"213",574
"214",580
"215",581
"216",588
"217",590
"218",591
"219",592
"220",593
"221",594
"222",599
"223",601
"224",606
"225",608
"226",609
"227",611
"228",613
"229",616
"230",617
"231",621
"232",624
"233",625
"234",626
"235",628
"236",629
"237",630
"238",632
"239",633
"240",636
"241",637
"242",639
"243",640
"244",643
"245",645
"246",646
"247",647
"248",659
"249",661
"250",662
"251",665
"252",667
"253",669
"254",670
"255",679
"256",680
"257",682
"258",702
"259",703
"260",721
"261",730
"262",735
"263",740
"264",741
"265",742
"266",743
"267",747
"268",750
"269",753
"270",759
"271",762
"272",765
"273",766
"274",767
"275",768
"276",769
"277",773
"278",781
"279",783
"280",787
"281",788
"282",791
"283",793
"284",794
"285",797
"286",799
"287",800
"288",801
"289",802
"290",803
"291",805
"292",807
"293",810
"294",813
"295",822
"296",823
"297",827
"298",832
"299",850
"300",854
"301",857
"302",858
"303",864
"304",870
"305",872
"306",876
"307",888
"308",889
"309",890
"310",891
"311",894
"312",903
"313",904
"314",916
"315",926
"316",931
"317",940
"318",945
"319",947
"320",948
"321",949
"322",953
"323",954
"324",956
"325",959
"326",963
"327",964
"328",965
"329",966
"330",967
"331",970
"332",985
"333",989
"334",992
"335",1009
