ID,t,A0,notFoundBySE
0,0.0,0.324439,
0,1.0,0.310431,
0,3.0,,
0,5.0,,
0,7.0,0.254792,
0,10.0,,
0,14.0,0.247452,
1,0.0,0.317317,
1,1.0,,
1,3.0,,
1,5.0,0.268295,
1,7.0,0.248555,
1,10.0,0.209309,
1,14.0,,
6,0.0,0.329902,
6,1.0,0.359065,
6,3.0,,
6,5.0,,
6,7.0,0.179248,
6,10.0,0.14888,
6,14.0,,
10,0.0,,
10,1.0,0.316135,
10,3.0,0.491099,
10,5.0,0.172875,
10,7.0,0.150834,
10,10.0,,
10,14.0,,
12,0.0,0.549702,
12,1.0,0.529735,
12,3.0,,
12,5.0,0.394695,
12,7.0,,
12,10.0,0.0894244,
12,14.0,,
21,0.0,0.576816,
21,1.0,0.409753,
21,3.0,,
21,5.0,,
21,7.0,0.199177,
21,10.0,,
21,14.0,0.161276,
24,0.0,,
24,1.0,,
24,3.0,,
24,5.0,0.228337,
24,7.0,0.216406,
24,10.0,0.197283,
24,14.0,0.401123,
29,0.0,,
29,1.0,0.397494,
29,3.0,,
29,5.0,0.356063,
29,7.0,,
29,10.0,0.26274,
29,14.0,0.246064,
30,0.0,0.414758,
30,1.0,,
30,3.0,0.37908,
30,5.0,0.249517,
30,7.0,0.297183,
30,10.0,,
30,14.0,,
31,0.0,0.273687,
31,1.0,0.498192,
31,3.0,,
31,5.0,0.169293,
31,7.0,,
31,10.0,,
31,14.0,0.0817915,
36,0.0,0.500459,
36,1.0,,
36,3.0,,
36,5.0,0.445376,
36,7.0,,
36,10.0,0.370205,
36,14.0,0.376074,
37,0.0,0.452316,
37,1.0,,
37,3.0,0.526846,
37,5.0,,
37,7.0,,
37,10.0,0.345837,
37,14.0,0.447254,
38,0.0,0.42898,
38,1.0,0.44741,
38,3.0,0.555436,
38,5.0,,
38,7.0,,
38,10.0,,
38,14.0,0.279565,
39,0.0,,
39,1.0,0.427983,
39,3.0,,
39,5.0,0.240869,
39,7.0,0.340843,
39,10.0,0.319594,
39,14.0,,
40,0.0,0.432491,
40,1.0,0.435792,
40,3.0,,
40,5.0,0.34982,
40,7.0,,
40,10.0,0.307576,
40,14.0,,
41,0.0,0.433527,
41,1.0,0.412861,
41,3.0,,
41,5.0,,
41,7.0,0.333238,
41,10.0,0.306322,
41,14.0,,
43,0.0,,
43,1.0,,
43,3.0,0.229329,
43,5.0,0.225609,
43,7.0,0.28438,
43,10.0,,
43,14.0,0.30593,
45,0.0,0.378174,
45,1.0,,
45,3.0,0.263886,
45,5.0,,
45,7.0,,
45,10.0,0.163518,
45,14.0,0.221911,
47,0.0,,
47,1.0,0.324208,
47,3.0,,
47,5.0,0.209911,
47,7.0,0.159344,
47,10.0,0.143428,
47,14.0,,
57,0.0,0.466244,
57,1.0,0.442218,
57,3.0,,
57,5.0,0.235446,
57,7.0,0.181128,
57,10.0,,
57,14.0,,
64,0.0,0.415475,
64,1.0,,
64,3.0,,
64,5.0,0.279562,
64,7.0,,
64,10.0,0.165174,
64,14.0,0.160867,
72,0.0,0.538834,
72,1.0,,
72,3.0,,
72,5.0,0.320963,
72,7.0,0.314028,
72,10.0,0.123691,
72,14.0,,
75,0.0,0.382161,
75,1.0,0.25477,
75,3.0,,
75,5.0,,
75,7.0,,
75,10.0,0.105587,
75,14.0,0.112884,
77,0.0,0.399338,
77,1.0,,
77,3.0,0.260446,
77,5.0,0.150087,
77,7.0,0.12255,
77,10.0,,
77,14.0,,
93,0.0,0.438595,
93,1.0,0.365454,
93,3.0,,
93,5.0,0.199988,
93,7.0,,
93,10.0,0.145998,
93,14.0,,
100,0.0,0.451805,
100,1.0,,
100,3.0,,
100,5.0,0.181038,
100,7.0,0.17326,
100,10.0,0.125277,
100,14.0,,
102,0.0,0.397227,
102,1.0,0.33543,
102,3.0,,
102,5.0,,
102,7.0,0.115597,
102,10.0,,
102,14.0,0.110211,
106,0.0,0.311089,
106,1.0,,
106,3.0,0.201462,
106,5.0,0.144268,
106,7.0,,
106,10.0,0.102802,
106,14.0,,
108,0.0,,
108,1.0,,
108,3.0,,
108,5.0,0.168669,
108,7.0,0.095738,
108,10.0,0.130658,
108,14.0,0.116598,
110,0.0,0.481037,
110,1.0,,
110,3.0,0.151483,
110,5.0,0.198427,
110,7.0,,
110,10.0,,
110,14.0,0.0701036,
118,0.0,0.334038,
118,1.0,0.262567,
118,3.0,,
118,5.0,,
118,7.0,0.11196,
118,10.0,,
118,14.0,0.0879365,
120,0.0,0.531604,
120,1.0,0.435354,
120,3.0,0.201377,
120,5.0,,
120,7.0,,
120,10.0,0.548135,
120,14.0,,
121,0.0,0.323105,
121,1.0,0.275551,
121,3.0,0.194971,
121,5.0,,
121,7.0,0.114575,
121,10.0,,
121,14.0,,
128,0.0,0.748123,
128,1.0,0.229649,
128,3.0,0.185761,
128,5.0,,
128,7.0,0.0622217,
128,10.0,,
128,14.0,,
141,0.0,0.456133,
141,1.0,0.561338,
141,3.0,,
141,5.0,,
141,7.0,0.407057,
141,10.0,,
141,14.0,0.166942,
143,0.0,0.393437,
143,1.0,,
143,3.0,,
143,5.0,0.206058,
143,7.0,,
143,10.0,0.151034,
143,14.0,0.157533,
149,0.0,0.354548,
149,1.0,0.349917,
149,3.0,,
149,5.0,,
149,7.0,,
149,10.0,0.216696,
149,14.0,0.2072,
151,0.0,0.409868,
151,1.0,,
151,3.0,,
151,5.0,0.319826,
151,7.0,0.297914,
151,10.0,,
151,14.0,0.242805,
152,0.0,0.395746,
152,1.0,,
152,3.0,,
152,5.0,0.32676,
152,7.0,0.291398,
152,10.0,,
152,14.0,0.259854,
153,0.0,0.600036,
153,1.0,0.549542,
153,3.0,,
153,5.0,0.477015,
153,7.0,,
153,10.0,0.446001,
153,14.0,,
154,0.0,,
154,1.0,,
154,3.0,0.426203,
154,5.0,0.971946,
154,7.0,,
154,10.0,0.267436,
154,14.0,0.244293,
155,0.0,0.361976,
155,1.0,0.45096,
155,3.0,0.343486,
155,5.0,,
155,7.0,,
155,10.0,0.332677,
155,14.0,,
156,0.0,,
156,1.0,0.298415,
156,3.0,0.318195,
156,5.0,,
156,7.0,,
156,10.0,0.300692,
156,14.0,0.270719,
157,0.0,,
157,1.0,0.468046,
157,3.0,0.316958,
157,5.0,,
157,7.0,0.170318,
157,10.0,,
157,14.0,0.322679,
158,0.0,0.441578,
158,1.0,,
158,3.0,0.528153,
158,5.0,,
158,7.0,0.454931,
158,10.0,,
158,14.0,0.348762,
165,0.0,0.486593,
165,1.0,,
165,3.0,0.403694,
165,5.0,,
165,7.0,0.305793,
165,10.0,,
165,14.0,0.291175,
167,0.0,0.515494,
167,1.0,0.510157,
167,3.0,,
167,5.0,0.464063,
167,7.0,0.452409,
167,10.0,,
167,14.0,,
171,0.0,0.315127,
171,1.0,,
171,3.0,0.283615,
171,5.0,,
171,7.0,0.253824,
171,10.0,,
171,14.0,0.235793,
172,0.0,0.34891,
172,1.0,,
172,3.0,0.320813,
172,5.0,0.274439,
172,7.0,,
172,10.0,0.238447,
172,14.0,,
174,0.0,0.51125,
174,1.0,0.517905,
174,3.0,,
174,5.0,,
174,7.0,0.596174,
174,10.0,0.437217,
174,14.0,,
175,0.0,,
175,1.0,0.56587,
175,3.0,0.539546,
175,5.0,,
175,7.0,0.559428,
175,10.0,,
175,14.0,0.469795,
176,0.0,,
176,1.0,0.292156,
176,3.0,,
176,5.0,,
176,7.0,0.199617,
176,10.0,0.210751,
176,14.0,0.213964,
179,0.0,,
179,1.0,0.379881,
179,3.0,0.276106,
179,5.0,,
179,7.0,0.332369,
179,10.0,,
179,14.0,0.276374,
182,0.0,,
182,1.0,0.436613,
182,3.0,0.413759,
182,5.0,,
182,7.0,0.306038,
182,10.0,,
182,14.0,0.316458,
188,0.0,0.254993,
188,1.0,,
188,3.0,0.237698,
188,5.0,,
188,7.0,0.155938,
188,10.0,0.138609,
188,14.0,,
194,0.0,0.363348,
194,1.0,,
194,3.0,0.302701,
194,5.0,0.260495,
194,7.0,,
194,10.0,0.182735,
194,14.0,,
195,0.0,,
195,1.0,0.380892,
195,3.0,0.338202,
195,5.0,0.331429,
195,7.0,0.661211,
195,10.0,,
195,14.0,,
198,0.0,0.373005,
198,1.0,0.426233,
198,3.0,,
198,5.0,,
198,7.0,,
198,10.0,0.199006,
198,14.0,0.190301,
199,0.0,0.54329,
199,1.0,0.475643,
199,3.0,,
199,5.0,,
199,7.0,0.341277,
199,10.0,,
199,14.0,0.277361,
201,0.0,,
201,1.0,,
201,3.0,0.352332,
201,5.0,0.312655,
201,7.0,0.460369,
201,10.0,0.205006,
201,14.0,,
202,0.0,,
202,1.0,0.426634,
202,3.0,0.311646,
202,5.0,0.321194,
202,7.0,,
202,10.0,,
202,14.0,0.215443,
203,0.0,0.41244,
203,1.0,,
203,3.0,0.10199,
203,5.0,,
203,7.0,,
203,10.0,0.237882,
203,14.0,0.0567274,
206,0.0,,
206,1.0,0.61033,
206,3.0,0.579976,
206,5.0,0.473533,
206,7.0,,
206,10.0,0.446881,
206,14.0,,
207,0.0,,
207,1.0,0.483008,
207,3.0,,
207,5.0,0.455867,
207,7.0,0.371809,
207,10.0,,
207,14.0,0.321954,
208,0.0,,
208,1.0,0.46066,
208,3.0,,
208,5.0,0.382807,
208,7.0,0.332139,
208,10.0,0.317423,
208,14.0,,
213,0.0,0.513098,
213,1.0,0.485137,
213,3.0,,
213,5.0,0.332297,
213,7.0,,
213,10.0,0.356725,
213,14.0,,
218,0.0,0.27677,
218,1.0,0.265896,
218,3.0,0.210693,
218,5.0,,
218,7.0,,
218,10.0,0.102285,
218,14.0,,
219,0.0,,
219,1.0,,
219,3.0,0.50212,
219,5.0,0.524503,
219,7.0,,
219,10.0,0.241084,
219,14.0,0.198692,
220,0.0,,
220,1.0,0.236079,
220,3.0,,
220,5.0,0.163004,
220,7.0,0.134023,
220,10.0,0.14433,
220,14.0,,
224,0.0,,
224,1.0,0.469304,
224,3.0,,
224,5.0,0.399899,
224,7.0,0.390164,
224,10.0,0.365265,
224,14.0,,
226,0.0,,
226,1.0,0.621967,
226,3.0,0.579639,
226,5.0,0.50828,
226,7.0,,
226,10.0,,
226,14.0,0.450123,
228,0.0,0.333895,
228,1.0,0.38704,
228,3.0,0.32884,
228,5.0,,
228,7.0,,
228,10.0,0.218987,
228,14.0,,
231,0.0,,
231,1.0,0.389433,
231,3.0,0.307501,
231,5.0,0.191716,
231,7.0,0.290526,
231,10.0,,
231,14.0,,
232,0.0,,
232,1.0,0.365324,
232,3.0,0.347989,
232,5.0,,
232,7.0,0.287232,
232,10.0,0.263673,
232,14.0,,
233,0.0,,
233,1.0,0.478797,
233,3.0,,
233,5.0,0.41333,
233,7.0,0.375043,
233,10.0,,
233,14.0,0.317867,
235,0.0,0.43962,
235,1.0,,
235,3.0,0.402203,
235,5.0,,
235,7.0,0.332994,
235,10.0,0.31383,
235,14.0,,
237,0.0,0.573228,
237,1.0,0.550279,
237,3.0,,
237,5.0,,
237,7.0,0.453169,
237,10.0,,
237,14.0,0.39381,
241,0.0,0.483931,
241,1.0,,
241,3.0,0.435786,
241,5.0,0.398315,
241,7.0,0.369796,
241,10.0,,
241,14.0,,
247,0.0,0.451325,
247,1.0,0.449794,
247,3.0,,
247,5.0,0.351297,
247,7.0,0.357016,
247,10.0,,
247,14.0,,
249,0.0,0.462399,
249,1.0,,
249,3.0,,
249,5.0,0.341614,
249,7.0,0.333933,
249,10.0,0.313343,
249,14.0,,
252,0.0,,
252,1.0,0.316496,
252,3.0,,
252,5.0,0.264359,
252,7.0,0.237682,
252,10.0,,
252,14.0,0.196679,
254,0.0,,
254,1.0,0.350861,
254,3.0,0.322848,
254,5.0,,
