"","d0","d1","d3","d5","d7","d10","d14"
"1",0.329902,0.306844,0.297184,0.268295,0.38371,0.240582,0.155411
"2",0.329902,0.306844,0.358723,0.268295,0.38371,0.240582,0.155411
"3",0.329902,0.306844,0.297184,0.622637,0.38371,0.240582,0.155411
"4",0.329902,0.306844,0.491099,0.268295,0.38371,0.240582,0.155411
"5",0.329902,0.306844,0.297184,0.268295,0.38371,0.240582,0.340079
"6",0.329902,0.306844,0.290379,0.268295,0.38371,0.240582,0.161276
"7",0.329902,0.308457,0.297184,0.228337,0.38371,0.240582,0.155411
"8",0.329902,0.306844,0.297184,0.268295,0.321717,0.26274,0.155411
"9",0.329902,0.306844,0.297184,0.268295,0.297183,0.240582,0.253103
"10",0.329902,0.306844,0.243813,0.268295,0.38371,0.240582,0.0817915
"11",0.329902,0.491303,0.297184,0.268295,0.41531,0.240582,0.155411
"12",0.329902,0.306844,0.526846,0.268295,0.471457,0.240582,0.155411
"13",0.329902,0.306844,0.297184,0.343705,0.33956,0.240582,0.155411
"14",0.491517,0.306844,0.297184,0.240869,0.38371,0.240582,0.155411
"15",0.432491,0.306844,0.297184,0.34982,0.38371,0.240582,0.155411
"16",0.329902,0.306844,0.389681,0.363957,0.38371,0.240582,0.155411
"17",0.134263,0.306844,0.297184,0.268295,0.28438,0.240582,0.155411
"18",0.329902,0.306844,0.263886,0.268295,0.38371,0.240582,0.221911
"19",0.329902,0.306844,0.297184,0.268295,0.38371,0.143428,0.147647
"20",0.329902,0.306844,0.297184,0.268295,0.38371,0.229855,0.204542
"21",0.329902,0.306844,0.289018,0.279562,0.38371,0.240582,0.155411
"22",0.329902,0.306844,0.297184,0.268295,0.38371,0.123691,0.274243
"23",0.329902,0.306844,0.297184,0.268295,0.38371,0.105587,0.112884
"24",0.329902,0.286995,0.260446,0.268295,0.38371,0.240582,0.155411
"25",0.329902,0.306844,0.297184,0.268295,0.38371,0.145998,0.153295
"26",0.329902,0.306844,0.297184,0.181038,0.38371,0.240582,0.103349
"27",0.329902,0.306844,0.297184,0.156813,0.38371,0.109039,0.155411
"28",0.329902,0.267407,0.201462,0.268295,0.38371,0.240582,0.155411
"29",0.329902,0.306844,0.297184,0.168669,0.38371,0.240582,0.116598
"30",0.329902,0.4554,0.151483,0.268295,0.38371,0.240582,0.155411
"31",0.329902,0.306844,0.297184,0.133097,0.38371,0.0941005,0.155411
"32",0.329902,0.435354,0.201377,0.268295,0.38371,0.240582,0.155411
"33",0.329902,0.306844,0.194971,0.268295,0.114575,0.240582,0.155411
"34",0.329902,0.306844,0.297184,0.0880676,0.38371,0.240582,0.0323084
"35",0.329902,0.306844,0.492623,0.404619,0.38371,0.240582,0.155411
"36",0.329902,0.306844,0.297184,0.206058,0.38371,0.151034,0.155411
"37",0.329902,0.349917,0.297184,0.268295,0.255347,0.240582,0.155411
"38",0.329902,0.306844,0.297184,0.319826,0.297914,0.240582,0.155411
"39",0.395746,0.306844,0.297184,0.268295,0.38371,0.240582,0.259854
"40",0.329902,0.549542,0.297184,0.268295,0.38371,0.240582,0.449606
"41",0.329902,0.737235,0.297184,0.971946,0.38371,0.240582,0.155411
"42",0.329902,0.45096,0.297184,0.237846,0.38371,0.240582,0.155411
"43",0.418421,0.306844,0.297184,0.337707,0.38371,0.240582,0.155411
"44",0.329902,0.306844,0.316958,0.268295,0.38371,0.353649,0.155411
"45",0.329902,0.504261,0.297184,0.268295,0.454931,0.240582,0.155411
"46",0.329902,0.441889,0.403694,0.268295,0.38371,0.240582,0.155411
"47",0.329902,0.306844,0.297184,0.268295,0.38371,0.438135,0.435406
"48",0.329902,0.306844,0.283615,0.268295,0.38371,0.230463,0.155411
