"","d0","d1","d3","d5","d7","d10","d14"
"1",0.317317,0.310431,0.291473,0.172875,0.254792,0.300151,0.247452
"2",0.317317,0.310431,0.291473,0.172875,0.254792,0.300151,0.247452
"3",0.329902,0.359065,0.132299,0.172875,0.254792,0.300151,0.247452
"4",0.317317,0.316135,0.291473,0.172875,0.150834,0.300151,0.247452
"5",0.317317,0.310431,0.483769,0.172875,0.38371,0.300151,0.340079
"6",0.317317,0.409753,0.290379,0.172875,0.254792,0.300151,0.161276
"7",0.362872,0.308457,0.216343,0.172875,0.254792,0.300151,0.247452
"8",0.317317,0.397494,0.405433,0.172875,0.254792,0.300151,0.246064
"9",0.317317,0.401654,0.37908,0.172875,0.254792,0.300151,0.253103
"10",0.317317,0.498192,0.291473,0.169293,0.254792,0.300151,0.247452
"11",0.500459,0.491303,0.470815,0.172875,0.254792,0.300151,0.247452
"12",0.452316,0.310431,0.291473,0.172875,0.254792,0.345837,0.447254
"13",0.42898,0.310431,0.291473,0.343705,0.33956,0.300151,0.247452
"14",0.317317,0.310431,0.291473,0.240869,0.254792,0.319594,0.310088
"15",0.432491,0.310431,0.291473,0.34982,0.254792,0.300151,0.271137
"16",0.317317,0.412861,0.291473,0.172875,0.333238,0.306322,0.247452
"17",0.317317,0.470628,0.291473,0.172875,0.28438,0.317874,0.247452
"18",0.317317,0.349472,0.291473,0.223906,0.254792,0.163518,0.247452
"19",0.317317,0.310431,0.291473,0.209911,0.254792,0.143428,0.147647
"20",0.317317,0.442218,0.291539,0.172875,0.254792,0.300151,0.204542
"21",0.415475,0.310431,0.289018,0.172875,0.215278,0.300151,0.247452
"22",0.317317,0.310431,0.291473,0.172875,0.314028,0.123691,0.274243
"23",0.317317,0.310431,0.199514,0.134108,0.254792,0.300151,0.112884
"24",0.317317,0.310431,0.291473,0.150087,0.12255,0.300151,0.0941493
"25",0.317317,0.310431,0.257611,0.172875,0.254792,0.145998,0.153295
"26",0.451805,0.284385,0.291473,0.181038,0.254792,0.300151,0.247452
"27",0.317317,0.310431,0.291473,0.156813,0.115597,0.300151,0.110211
"28",0.317317,0.267407,0.201462,0.172875,0.254792,0.102802,0.247452
"29",0.388685,0.310431,0.241,0.172875,0.095738,0.300151,0.247452
"30",0.481037,0.4554,0.291473,0.172875,0.254792,0.300151,0.0701036
"31",0.334038,0.310431,0.291473,0.172875,0.11196,0.300151,0.0879365
"32",0.317317,0.435354,0.291473,0.14096,0.254792,0.300151,0.286062
"33",0.317317,0.275551,0.194971,0.172875,0.254792,0.0934445,0.247452
"34",0.748123,0.310431,0.291473,0.0880676,0.0622217,0.300151,0.247452
"35",0.456133,0.310431,0.291473,0.172875,0.407057,0.448704,0.247452
"36",0.317317,0.330092,0.254873,0.172875,0.254792,0.300151,0.157533
"37",0.317317,0.349917,0.301487,0.172875,0.254792,0.216696,0.247452
"38",0.317317,0.396681,0.343372,0.316725,0.297914,0.279138,0.247452
"39",0.317317,0.405659,0.291473,0.172875,0.291398,0.275376,0.247452
"40",0.600036,0.549542,0.291473,0.172875,0.382194,0.300151,0.247452
"41",0.317317,0.737235,0.291473,0.971946,0.254792,0.300151,0.244293
"42",0.495335,0.45096,0.291473,0.237846,0.254792,0.332677,0.247452
"43",0.317317,0.310431,0.318195,0.172875,0.315857,0.300151,0.270719
"44",0.317317,0.310431,0.291473,0.412285,0.170318,0.353649,0.247452
"45",0.441578,0.504261,0.291473,0.172875,0.454931,0.300151,0.247452
"46",0.486593,0.310431,0.403694,0.172875,0.305793,0.300151,0.247452
"47",0.515494,0.310431,0.291473,0.464063,0.452409,0.300151,0.247452
"48",0.317317,0.310431,0.291473,0.271588,0.254792,0.230463,0.235793
"49",0.317317,0.356448,0.320813,0.172875,0.273886,0.300151,0.247452
"50",0.317317,0.517905,0.291473,0.172875,0.596174,0.437217,0.247452
"51",0.317317,0.56587,0.539546,0.172875,0.254792,0.300151,0.469795
"52",0.288893,0.310431,0.291473,0.243524,0.254792,0.210751,0.247452
"53",0.317317,0.310431,0.291473,0.272652,0.332369,0.192317,0.247452
"54",0.488707,0.310431,0.291473,0.390114,0.254792,0.321199,0.247452
"55",0.317317,0.293286,0.291473,0.197787,0.155938,0.300151,0.247452
"56",0.363348,0.288339,0.291473,0.172875,0.254792,0.182735,0.247452
"57",0.317317,0.380892,0.291473,0.331429,0.254792,0.300151,0.198226
"58",0.317317,0.310431,0.268053,0.172875,0.247891,0.199006,0.190301
"59",0.54329,0.310431,0.42838,0.172875,0.254792,0.300151,0.277361
"60",0.317317,0.310431,0.291473,0.312655,0.460369,0.205006,0.247452
"61",0.317317,0.426634,0.291473,0.321194,0.269868,0.300151,0.247452
"62",0.317317,0.310431,0.291473,0.172875,0.0875825,0.237882,0.0567274
"63",0.631171,0.61033,0.291473,0.473533,0.254792,0.300151,0.247452
"64",0.514497,0.310431,0.291473,0.455867,0.371809,0.300151,0.247452
"65",0.490068,0.46066,0.291473,0.382807,0.254792,0.300151,0.247452
"66",0.317317,0.310431,0.425892,0.172875,0.376158,0.356725,0.247452
"67",0.317317,0.265896,0.210693,0.172875,0.254792,0.300151,0.0994287
"68",0.488312,0.310431,0.291473,0.172875,0.252047,0.241084,0.247452
"69",0.317317,0.236079,0.291473,0.163004,0.134023,0.300151,0.247452
"70",0.317317,0.310431,0.291473,0.399899,0.390164,0.365265,0.247452
"71",0.632761,0.310431,0.579639,0.50828,0.254792,0.300151,0.247452
"72",0.333895,0.38704,0.291473,0.172875,0.254792,0.300151,0.192475
"73",0.317317,0.310431,0.307501,0.191716,0.254792,0.300151,0.232056
"74",0.38768,0.365324,0.291473,0.271194,0.754522,0.263673,0.247452
"75",0.317317,0.478797,0.291473,0.41333,0.375043,0.300151,0.247452
"76",0.43962,0.310431,0.291473,0.362959,0.332994,0.300151,0.247452
"77",0.573228,0.550279,0.291473,0.435556,0.254792,0.300151,0.247452
"78",0.317317,0.467058,0.291473,0.172875,0.254792,0.316852,0.317408
"79",0.451325,0.310431,0.291473,0.172875,0.357016,0.300151,0.308246
"80",0.317317,0.310431,0.399453,0.341614,0.333933,0.300151,0.247452
"81",0.317317,0.310431,0.291473,0.264359,0.237682,0.210533,0.247452
"82",0.317317,0.350861,0.291473,0.172875,0.254792,0.22568,0.210026
"83",0.317317,0.310431,0.474837,0.430667,0.254792,0.367436,0.247452
"84",0.317317,0.494875,0.291473,0.456622,0.433945,0.300151,0.247452
"85",0.374919,0.356428,0.291473,0.172875,0.26479,0.300151,0.247452
"86",0.363716,0.310431,0.291473,0.172875,0.271344,0.300151,0.231664
"87",0.317317,0.310431,0.291473,0.172875,0.276147,0.295781,0.234507
"88",0.451899,0.433082,0.291473,0.172875,0.254792,0.311394,0.247452
"89",0.317317,0.575615,0.291473,0.172875,0.495322,0.300151,0.437325
"90",0.317317,0.542064,0.291473,0.172875,0.487456,0.472082,0.247452
"91",0.317317,0.433809,0.24613,0.172875,0.254792,0.266586,0.247452
"92",0.28889,0.310431,0.291473,0.172875,0.254792,0.173846,0.151947
"93",0.335647,0.310431,0.349566,0.172875,0.273105,0.300151,0.247452
"94",0.467982,0.310431,0.36795,0.172875,0.254792,0.300151,0.286297
"95",0.536001,0.310431,0.291473,0.345176,0.254792,0.300151,0.273572
"96",0.637313,0.310431,0.291473,0.172875,0.355166,0.355359,0.247452
"97",0.358205,0.310431,0.291473,0.225147,0.190143,0.300151,0.247452
"98",0.317317,0.310431,0.140302,0.172875,0.47329,0.440981,0.247452
"99",0.444263,0.310431,0.291473,0.172875,0.254792,0.228844,0.565527
"100",0.317317,0.445971,0.291473,0.172875,0.285592,0.210307,0.247452
"101",0.447248,0.310431,0.291473,0.172875,0.229087,0.236377,0.247452
"102",0.317317,0.410597,0.353833,0.292356,0.254792,0.300151,0.247452
"103",0.317317,0.310431,0.229986,0.167617,0.254792,0.300151,0.0846542
"104",0.266458,0.310431,0.291473,0.172875,0.149223,0.300151,0.135382
"105",0.317317,0.533426,0.458077,0.377499,0.254792,0.300151,0.247452
"106",0.330244,0.310431,0.251452,0.172875,0.175281,0.300151,0.247452
"107",0.317317,0.374232,0.290167,0.172875,0.254792,0.300151,0.12553
"108",0.572629,0.310431,0.479349,0.172875,0.254792,0.385855,0.247452
"109",0.557021,0.310431,0.291473,0.172875,0.328442,0.300151,0.335889
"110",0.317317,0.455533,0.378003,0.346626,0.254792,0.300151,0.247452
"111",0.317317,0.527124,0.291473,0.454489,0.254792,0.300151,0.422972
"112",0.414774,0.310431,0.291473,0.648874,0.254792,0.300151,0.254558
"113",0.470755,0.310431,0.291473,0.327522,0.254792,0.306325,0.247452
"114",0.456886,0.310431,0.291473,0.172875,0.237984,0.194226,0.247452
"115",0.526753,0.310431,0.438587,0.403818,0.254792,0.300151,0.247452
"116",0.317317,0.459103,0.291473,0.172875,0.313587,0.296512,0.247452
"117",0.40752,0.378815,0.291473,0.172875,0.254792,0.209821,0.247452
"118",0.317317,0.422713,0.341711,0.172875,0.254792,0.300151,0.251152
"119",0.396562,0.310431,0.291473,0.30133,0.281566,0.300151,0.247452
"120",0.999066,0.310431,0.291473,0.425664,0.374706,0.300151,0.247452
"121",0.317317,0.310431,0.291473,0.466461,0.439692,0.300151,0.371271
"122",0.392354,0.368165,0.291473,0.172875,0.104443,0.300151,0.247452
"123",0.317317,0.310431,0.291473,0.171051,0.254792,0.114563,0.113436
"124",0.528525,0.310431,0.291473,0.317565,0.28301,0.300151,0.247452
"125",0.459337,0.441354,0.291473,0.172875,0.254792,0.29639,0.247452
"126",0.317317,0.280747,0.291473,0.172875,0.550335,0.270952,0.247452
"127",0.317317,0.310431,0.291473,0.246946,0.314948,0.207849,0.247452
"128",0.693188,0.310431,0.372281,0.172875,0.449724,0.300151,0.247452
"129",0.317317,0.992362,0.291473,0.382497,0.254792,0.337928,0.247452
"130",0.317317,0.548348,0.291473,0.254609,0.358825,0.300151,0.247452
"131",0.508575,0.44038,0.363401,0.172875,0.254792,0.300151,0.247452
"132",0.317317,0.472986,0.380409,0.172875,0.254792,0.340866,0.247452
"133",0.572477,0.310431,0.291473,0.172875,0.254792,0.404919,0.565534
"134",0.317317,0.502501,0.291473,0.172875,0.443117,0.300151,0.406451
"135",0.317317,0.159838,0.291473,0.172875,0.254792,0.325544,0.35146
"136",0.317317,0.310431,0.291473,0.26046,0.223483,0.300151,0.168285
"137",0.317317,0.310431,0.291473,0.45542,0.422798,0.402426,0.247452
"138",0.626174,0.310431,0.291473,0.591875,0.55275,0.300151,0.247452
"139",0.465224,0.310431,0.440755,0.172875,0.254792,0.300151,0.308962
"140",0.317317,0.310431,0.563504,0.520056,0.254792,0.455941,0.247452
"141",0.317317,0.631698,0.291473,0.499757,0.254792,0.300151,0.463611
"142",0.317317,0.310431,0.605782,0.172875,0.449187,0.537061,0.247452
"143",0.497076,0.310431,0.403436,0.172875,0.254792,0.375691,0.247452
"144",0.361122,0.310431,0.345391,0.339004,0.251629,0.300151,0.247452
"145",0.317317,0.530606,0.507532,0.172875,0.254792,0.300151,0.411742
"146",0.521296,0.531532,0.291473,0.491942,0.254792,0.300151,0.247452
"147",0.57009,0.310431,0.174846,0.0856654,0.254792,0.300151,0.247452
"148",0.464275,0.310431,0.420782,0.172875,0.254792,0.300151,0.32752
"149",0.317317,0.504531,0.291473,0.473384,0.44987,0.300151,0.247452
"150",0.427396,0.310431,0.291473,0.172875,0.350648,0.333578,0.247452
"151",0.317317,0.374742,0.261235,0.172875,0.254792,0.300151,0.27363
"152",0.591318,0.310431,0.291473,0.172875,0.254792,0.443836,0.421039
"153",0.317317,0.310431,0.291473,0.422513,0.254792,0.431461,0.399726
"154",0.445985,0.440204,0.291473,0.172875,0.254792,0.338269,0.247452
"155",0.424459,0.405403,0.291473,0.172875,0.254792,0.300151,0.264084
"156",0.317317,0.301487,0.291473,0.255256,0.254792,0.300151,0.194099
"157",0.317317,0.220811,0.225432,0.172875,0.183809,0.300151,0.247452
"158",0.317317,0.322854,0.291473,0.475502,0.254792,0.300151,0.441785
"159",0.317317,0.599179,0.600916,0.172875,0.254792,0.522327,0.247452
"160",0.317317,0.310431,0.268053,0.172875,0.224166,0.199006,0.247452
"161",0.317317,0.546693,0.521134,0.495724,0.254792,0.300151,0.247452
"162",0.30945,0.310431,0.291473,0.172875,0.221399,0.300151,0.184742
"163",0.317317,0.310431,0.265539,0.172875,0.230672,0.204278,0.178952
"164",0.290662,0.310431,0.268559,0.248476,0.254792,0.300151,0.247452
"165",0.317317,0.310431,0.250225,0.272552,0.187826,0.300151,0.247452
"166",0.216589,0.153726,0.291473,0.172875,0.254792,0.0669955,0.247452
"167",0.317317,0.288905,0.291473,0.172875,0.202163,0.300151,0.205543
"168",0.317317,0.310431,0.291473,0.586003,0.254792,0.526957,0.422519
"169",0.371319,0.310431,0.361308,0.384411,0.254792,0.300151,0.247452
"170",0.317317,0.310431,0.420045,0.383947,0.187026,0.300151,0.247452
"171",0.320618,0.310431,0.291473,0.25894,0.254792,0.300151,0.202688
"172",0.317317,0.385305,0.26079,0.463801,0.254792,0.300151,0.247452
"173",0.618211,0.310431,0.291473,0.252878,0.254792,0.300151,0.184732
