A0,ID,t
0.2708916666666667,0,0.0
0.310431,0,1.0
0.2708916666666667,0,3.0
0.2708916666666667,0,5.0
0.254792,0,7.0
0.2708916666666667,0,10.0
0.247452,0,14.0
0.317317,1,0.0
0.285414,1,1.0
0.291473,1,3.0
0.285414,1,5.0
0.285414,1,7.0
0.285414,1,10.0
0.247452,1,14.0
0.329902,6,0.0
0.359065,6,1.0
0.132299,6,3.0
0.27375533333333335,6,5.0
0.27375533333333335,6,7.0
0.27375533333333335,6,10.0
0.27375533333333335,6,14.0
0.21328133333333332,10,0.0
0.316135,10,1.0
0.21328133333333332,10,3.0
0.172875,10,5.0
0.150834,10,7.0
0.21328133333333332,10,10.0
0.21328133333333332,10,14.0
0.4025193333333334,12,0.0
0.4025193333333334,12,1.0
0.483769,12,3.0
0.4025193333333334,12,5.0
0.38371,12,7.0
0.4025193333333334,12,10.0
0.340079,12,14.0
0.287136,21,0.0
0.409753,21,1.0
0.290379,21,3.0
0.287136,21,5.0
0.287136,21,7.0
0.287136,21,10.0
0.161276,21,14.0
0.362872,24,0.0
0.308457,24,1.0
0.216343,24,3.0
0.2958906666666667,24,5.0
0.2958906666666667,24,7.0
0.2958906666666667,24,10.0
0.2958906666666667,24,14.0
0.34966366666666665,29,0.0
0.397494,29,1.0
0.405433,29,3.0
0.34966366666666665,29,5.0
0.34966366666666665,29,7.0
0.34966366666666665,29,10.0
0.246064,29,14.0
0.34461233333333335,30,0.0
0.401654,30,1.0
0.37908,30,3.0
0.34461233333333335,30,5.0
0.34461233333333335,30,7.0
0.34461233333333335,30,10.0
0.253103,30,14.0
0.3225453333333333,31,0.0
0.498192,31,1.0
0.3225453333333333,31,3.0
0.169293,31,5.0
0.3225453333333333,31,7.0
0.300151,31,10.0
0.3225453333333333,31,14.0
0.500459,36,0.0
0.491303,36,1.0
0.470815,36,3.0
0.4875256666666667,36,5.0
0.4875256666666667,36,7.0
0.4875256666666667,36,10.0
0.4875256666666667,36,14.0
0.452316,37,0.0
0.4151356666666666,37,1.0
0.4151356666666666,37,3.0
0.4151356666666666,37,5.0
0.4151356666666666,37,7.0
0.345837,37,10.0
0.447254,37,14.0
0.42898,38,0.0
0.3707483333333333,38,1.0
0.3707483333333333,38,3.0
0.343705,38,5.0
0.33956,38,7.0
0.3707483333333333,38,10.0
0.3707483333333333,38,14.0
0.2901836666666666,39,0.0
0.2901836666666666,39,1.0
0.2901836666666666,39,3.0
0.240869,39,5.0
0.2901836666666666,39,7.0
0.319594,39,10.0
0.310088,39,14.0
0.432491,40,0.0
0.3511493333333333,40,1.0
0.3511493333333333,40,3.0
0.34982,40,5.0
0.3511493333333333,40,7.0
0.3511493333333333,40,10.0
0.271137,40,14.0
0.3508069999999999,41,0.0
0.412861,41,1.0
0.3508069999999999,41,3.0
0.3508069999999999,41,5.0
0.333238,41,7.0
0.306322,41,10.0
0.3508069999999999,41,14.0
0.3576273333333333,43,0.0
0.470628,43,1.0
0.3576273333333333,43,3.0
0.3576273333333333,43,5.0
0.28438,43,7.0
0.317874,43,10.0
0.3576273333333333,43,14.0
0.245632,45,0.0
0.349472,45,1.0
0.245632,45,3.0
0.223906,45,5.0
0.245632,45,7.0
0.163518,45,10.0
0.245632,45,14.0
0.1669953333333333,47,0.0
0.1669953333333333,47,1.0
0.1669953333333333,47,3.0
0.209911,47,5.0
0.1669953333333333,47,7.0
0.143428,47,10.0
0.147647,47,14.0
0.3127663333333333,57,0.0
0.442218,57,1.0
0.291539,57,3.0
0.3127663333333333,57,5.0
0.3127663333333333,57,7.0
0.3127663333333333,57,10.0
0.204542,57,14.0
0.415475,64,0.0
0.30659033333333335,64,1.0
0.289018,64,3.0
0.30659033333333335,64,5.0
0.215278,64,7.0
0.30659033333333335,64,10.0
0.30659033333333335,64,14.0
0.23732066666666665,72,0.0
0.23732066666666665,72,1.0
0.23732066666666665,72,3.0
0.23732066666666665,72,5.0
0.314028,72,7.0
0.123691,72,10.0
0.274243,72,14.0
0.14883533333333332,75,0.0
0.14883533333333332,75,1.0
0.199514,75,3.0
0.134108,75,5.0
0.14883533333333332,75,7.0
0.14883533333333332,75,10.0
0.112884,75,14.0
0.1222621,77,0.0
0.1222621,77,1.0
0.1222621,77,3.0
0.150087,77,5.0
0.12255,77,7.0
0.1222621,77,10.0
0.0941493,77,14.0
0.18563466666666664,93,0.0
0.18563466666666664,93,1.0
0.257611,93,3.0
0.18563466666666664,93,5.0
0.18563466666666664,93,7.0
0.145998,93,10.0
0.153295,93,14.0
0.451805,100,0.0
0.284385,100,1.0
0.30574266666666666,100,3.0
0.181038,100,5.0
0.30574266666666666,100,7.0
0.30574266666666666,100,10.0
0.30574266666666666,100,14.0
0.12754033333333334,102,0.0
0.12754033333333334,102,1.0
0.12754033333333334,102,3.0
0.156813,102,5.0
0.115597,102,7.0
0.12754033333333334,102,10.0
0.110211,102,14.0
0.190557,106,0.0
0.267407,106,1.0
0.201462,106,3.0
0.190557,106,5.0
0.190557,106,7.0
0.102802,106,10.0
0.190557,106,14.0
0.388685,108,0.0
0.24180766666666667,108,1.0
0.241,108,3.0
0.24180766666666667,108,5.0
0.095738,108,7.0
0.24180766666666667,108,10.0
0.24180766666666667,108,14.0
0.481037,110,0.0
0.4554,110,1.0
0.3355135333333333,110,3.0
0.3355135333333333,110,5.0
0.3355135333333333,110,7.0
0.3355135333333333,110,10.0
0.0701036,110,14.0
0.334038,118,0.0
0.17797816666666666,118,1.0
0.17797816666666666,118,3.0
0.17797816666666666,118,5.0
0.11196,118,7.0
0.17797816666666666,118,10.0
0.0879365,118,14.0
0.2874586666666667,120,0.0
0.435354,120,1.0
0.2874586666666667,120,3.0
0.14096,120,5.0
0.2874586666666667,120,7.0
0.2874586666666667,120,10.0
0.286062,120,14.0
0.18798883333333335,121,0.0
0.275551,121,1.0
0.194971,121,3.0
0.18798883333333335,121,5.0
0.18798883333333335,121,7.0
0.0934445,121,10.0
0.18798883333333335,121,14.0
0.748123,128,0.0
0.29947076666666667,128,1.0
0.29947076666666667,128,3.0
0.0880676,128,5.0
0.0622217,128,7.0
0.29947076666666667,128,10.0
0.29947076666666667,128,14.0
0.456133,141,0.0
0.437298,141,1.0
0.437298,141,3.0
0.437298,141,5.0
0.407057,141,7.0
0.448704,141,10.0
0.437298,141,14.0
0.24749933333333332,143,0.0
0.330092,143,1.0
0.254873,143,3.0
0.24749933333333332,143,5.0
0.24749933333333332,143,7.0
0.24749933333333332,143,10.0
0.157533,143,14.0
0.28936666666666666,149,0.0
0.349917,149,1.0
0.301487,149,3.0
0.28936666666666666,149,5.0
0.28936666666666666,149,7.0
0.216696,149,10.0
0.28936666666666666,149,14.0
0.3245776666666667,151,0.0
0.396681,151,1.0
0.3245776666666667,151,3.0
0.3245776666666667,151,5.0
0.297914,151,7.0
0.279138,151,10.0
0.3245776666666667,151,14.0
0.32414433333333337,152,0.0
0.405659,152,1.0
0.32414433333333337,152,3.0
0.32414433333333337,152,5.0
0.291398,152,7.0
0.275376,152,10.0
0.32414433333333337,152,14.0
0.600036,153,0.0
0.549542,153,1.0
0.5105906666666666,153,3.0
0.5105906666666666,153,5.0
0.382194,153,7.0
0.5105906666666666,153,10.0
0.5105906666666666,153,14.0
0.651158,154,0.0
0.737235,154,1.0
0.651158,154,3.0
0.971946,154,5.0
0.651158,154,7.0
0.651158,154,10.0
0.244293,154,14.0
0.3404943333333333,155,0.0
0.45096,155,1.0
0.3404943333333333,155,3.0
0.237846,155,5.0
0.3404943333333333,155,7.0
0.332677,155,10.0
0.3404943333333333,155,14.0
0.30159033333333335,156,0.0
0.30159033333333335,156,1.0
0.318195,156,3.0
0.30159033333333335,156,5.0
0.315857,156,7.0
0.30159033333333335,156,10.0
0.270719,156,14.0
0.312084,157,0.0
0.312084,157,1.0
0.312084,157,3.0
0.412285,157,5.0
0.170318,157,7.0
0.353649,157,10.0
0.312084,157,14.0
0.441578,158,0.0
0.504261,158,1.0
0.46692333333333336,158,3.0
0.46692333333333336,158,5.0
0.454931,158,7.0
0.46692333333333336,158,10.0
0.46692333333333336,158,14.0
0.486593,165,0.0
0.39869333333333334,165,1.0
0.403694,165,3.0
0.39869333333333334,165,5.0
0.305793,165,7.0
0.39869333333333334,165,10.0
0.39869333333333334,165,14.0
0.515494,167,0.0
0.477322,167,1.0
0.477322,167,3.0
0.464063,167,5.0
0.452409,167,7.0
0.477322,167,10.0
0.477322,167,14.0
0.24594800000000003,171,0.0
0.24594800000000003,171,1.0
0.24594800000000003,171,3.0
0.271588,171,5.0
0.24594800000000003,171,7.0
0.230463,171,10.0
0.235793,171,14.0
0.31704899999999997,172,0.0
0.356448,172,1.0
0.320813,172,3.0
0.31704899999999997,172,5.0
0.273886,172,7.0
0.31704899999999997,172,10.0
0.31704899999999997,172,14.0
0.5170986666666666,174,0.0
0.517905,174,1.0
0.5170986666666666,174,3.0
0.5170986666666666,174,5.0
0.596174,174,7.0
0.437217,174,10.0
0.5170986666666666,174,14.0
0.5250703333333333,175,0.0
0.56587,175,1.0
0.539546,175,3.0
0.5250703333333333,175,5.0
0.5250703333333333,175,7.0
0.5250703333333333,175,10.0
0.469795,175,14.0
0.288893,176,0.0
0.24772266666666667,176,1.0
0.24772266666666667,176,3.0
0.243524,176,5.0
0.24772266666666667,176,7.0
0.210751,176,10.0
0.24772266666666667,176,14.0
0.2657793333333333,179,0.0
0.2657793333333333,179,1.0
0.2657793333333333,179,3.0
0.272652,179,5.0
0.332369,179,7.0
0.192317,179,10.0
0.2657793333333333,179,14.0
0.488707,182,0.0
0.4000066666666667,182,1.0
0.4000066666666667,182,3.0
0.390114,182,5.0
0.4000066666666667,182,7.0
0.321199,182,10.0
0.4000066666666667,182,14.0
0.21567033333333333,188,0.0
0.293286,188,1.0
0.21567033333333333,188,3.0
0.197787,188,5.0
0.155938,188,7.0
0.21567033333333333,188,10.0
0.21567033333333333,188,14.0
0.363348,194,0.0
0.288339,194,1.0
0.27814066666666665,194,3.0
0.27814066666666665,194,5.0
0.27814066666666665,194,7.0
0.182735,194,10.0
0.27814066666666665,194,14.0
0.3035156666666667,195,0.0
0.380892,195,1.0
0.3035156666666667,195,3.0
0.331429,195,5.0
0.3035156666666667,195,7.0
0.3035156666666667,195,10.0
0.198226,195,14.0
0.2123993333333333,198,0.0
0.2123993333333333,198,1.0
0.2123993333333333,198,3.0
0.2123993333333333,198,5.0
0.247891,198,7.0
0.199006,198,10.0
0.190301,198,14.0
0.54329,199,0.0
0.41634366666666667,199,1.0
0.42838,199,3.0
0.41634366666666667,199,5.0
0.41634366666666667,199,7.0
0.41634366666666667,199,10.0
0.277361,199,14.0
0.32600999999999997,201,0.0
0.32600999999999997,201,1.0
0.32600999999999997,201,3.0
0.312655,201,5.0
0.460369,201,7.0
0.205006,201,10.0
0.32600999999999997,201,14.0
0.339232,202,0.0
0.426634,202,1.0
0.339232,202,3.0
0.321194,202,5.0
0.269868,202,7.0
0.339232,202,10.0
0.339232,202,14.0
0.1273973,203,0.0
0.1273973,203,1.0
0.1273973,203,3.0
0.1273973,203,5.0
0.0875825,203,7.0
0.237882,203,10.0
0.0567274,203,14.0
0.631171,206,0.0
0.61033,206,1.0
0.571678,206,3.0
0.473533,206,5.0
0.571678,206,7.0
0.571678,206,10.0
0.571678,206,14.0
0.514497,207,0.0
0.44739100000000004,207,1.0
0.44739100000000004,207,3.0
0.455867,207,5.0
0.371809,207,7.0
0.44739100000000004,207,10.0
0.44739100000000004,207,14.0
0.490068,208,0.0
0.46066,208,1.0
0.44451166666666664,208,3.0
0.382807,208,5.0
0.44451166666666664,208,7.0
0.44451166666666664,208,10.0
0.44451166666666664,208,14.0
0.3862583333333333,213,0.0
0.3862583333333333,213,1.0
0.425892,213,3.0
0.3862583333333333,213,5.0
0.376158,213,7.0
0.356725,213,10.0
0.3862583333333333,213,14.0
0.19200590000000003,218,0.0
0.265896,218,1.0
0.210693,218,3.0
0.19200590000000003,218,5.0
0.19200590000000003,218,7.0
0.19200590000000003,218,10.0
0.0994287,218,14.0
0.488312,219,0.0
0.32714766666666667,219,1.0
0.32714766666666667,219,3.0
0.32714766666666667,219,5.0
0.252047,219,7.0
0.241084,219,10.0
0.32714766666666667,219,14.0
0.17770200000000003,220,0.0
0.236079,220,1.0
0.17770200000000003,220,3.0
0.163004,220,5.0
0.134023,220,7.0
0.17770200000000003,220,10.0
0.17770200000000003,220,14.0
0.3851093333333333,224,0.0
0.3851093333333333,224,1.0
0.3851093333333333,224,3.0
0.399899,224,5.0
0.390164,224,7.0
0.365265,224,10.0
0.3851093333333333,224,14.0
0.632761,226,0.0
0.5735600000000001,226,1.0
0.579639,226,3.0
0.50828,226,5.0
0.5735600000000001,226,7.0
0.5735600000000001,226,10.0
0.5735600000000001,226,14.0
0.333895,228,0.0
0.38704,228,1.0
0.30447,228,3.0
0.30447,228,5.0
0.30447,228,7.0
0.30447,228,10.0
0.192475,228,14.0
0.24375766666666668,231,0.0
0.24375766666666668,231,1.0
0.307501,231,3.0
0.191716,231,5.0
0.24375766666666668,231,7.0
0.24375766666666668,231,10.0
0.232056,231,14.0
0.38768,232,0.0
0.365324,232,1.0
0.33889233333333335,232,3.0
0.33889233333333335,232,5.0
0.33889233333333335,232,7.0
0.263673,232,10.0
0.33889233333333335,232,14.0
0.42239,233,0.0
0.478797,233,1.0
0.42239,233,3.0
0.41333,233,5.0
0.375043,233,7.0
0.42239,233,10.0
0.42239,233,14.0
0.43962,235,0.0
0.3785243333333333,235,1.0
0.3785243333333333,235,3.0
0.362959,235,5.0
0.332994,235,7.0
0.3785243333333333,235,10.0
0.3785243333333333,235,14.0
0.573228,237,0.0
0.550279,237,1.0
0.5196876666666667,237,3.0
0.435556,237,5.0
0.5196876666666667,237,7.0
0.5196876666666667,237,10.0
0.5196876666666667,237,14.0
0.367106,241,0.0
0.467058,241,1.0
0.367106,241,3.0
0.367106,241,5.0
0.367106,241,7.0
0.316852,241,10.0
0.317408,241,14.0
0.451325,247,0.0
0.37219566666666665,247,1.0
0.37219566666666665,247,3.0
0.37219566666666665,247,5.0
0.357016,247,7.0
0.37219566666666665,247,10.0
0.308246,247,14.0
0.35833333333333334,249,0.0
0.35833333333333334,249,1.0
0.399453,249,3.0
0.341614,249,5.0
0.333933,249,7.0
0.35833333333333334,249,10.0
0.35833333333333334,249,14.0
0.23752466666666663,252,0.0
0.23752466666666663,252,1.0
0.23752466666666663,252,3.0
0.264359,252,5.0
0.237682,252,7.0
0.210533,252,10.0
0.23752466666666663,252,14.0
0.262189,254,0.0
0.350861,254,1.0
0.262189,254,3.0
0.262189,254,5.0
0.262189,254,7.0
0.22568,254,10.0
0.210026,254,14.0
0.4243133333333334,256,0.0
0.4243133333333334,256,1.0
0.474837,256,3.0
0.430667,256,5.0
0.4243133333333334,256,7.0
0.367436,256,10.0
0.4243133333333334,256,14.0
0.461814,257,0.0
0.494875,257,1.0
0.461814,257,3.0
0.456622,257,5.0
0.433945,257,7.0
0.461814,257,10.0
0.461814,257,14.0
0.374919,259,0.0
0.356428,259,1.0
0.3320456666666667,259,3.0
0.3320456666666667,259,5.0
0.26479,259,7.0
0.3320456666666667,259,10.0
0.3320456666666667,259,14.0
0.363716,261,0.0
0.288908,261,1.0
0.288908,261,3.0
0.288908,261,5.0
0.271344,261,7.0
0.288908,261,10.0
0.231664,261,14.0
0.26881166666666667,262,0.0
0.26881166666666667,262,1.0
0.26881166666666667,262,3.0
0.26881166666666667,262,5.0
0.276147,262,7.0
0.295781,262,10.0
0.234507,262,14.0
0.451899,265,0.0
0.433082,265,1.0
0.39879166666666666,265,3.0
0.39879166666666666,265,5.0
0.39879166666666666,265,7.0
0.311394,265,10.0
0.39879166666666666,265,14.0
0.502754,268,0.0
0.575615,268,1.0
0.502754,268,3.0
0.502754,268,5.0
0.495322,268,7.0
0.502754,268,10.0
0.437325,268,14.0
0.500534,270,0.0
0.542064,270,1.0
0.500534,270,3.0
0.500534,270,5.0
0.487456,270,7.0
0.472082,270,10.0
0.500534,270,14.0
0.31550833333333334,271,0.0
0.433809,271,1.0
0.24613,271,3.0
0.31550833333333334,271,5.0
0.31550833333333334,271,7.0
0.266586,271,10.0
0.31550833333333334,271,14.0
0.28889,273,0.0
0.20489433333333332,273,1.0
0.20489433333333332,273,3.0
0.20489433333333332,273,5.0
0.20489433333333332,273,7.0
0.173846,273,10.0
0.151947,273,14.0
0.335647,282,0.0
0.31943933333333335,282,1.0
0.349566,282,3.0
0.31943933333333335,282,5.0
0.273105,282,7.0
0.31943933333333335,282,10.0
0.31943933333333335,282,14.0
0.467982,287,0.0
