"","x"
"1",5
"2",7
"3",8
"4",15
"5",17
"6",18
"7",21
"8",22
"9",29
"10",34
"11",36
"12",37
"13",39
"14",45
"15",47
"16",49
"17",50
"18",52
"19",53
"20",54
"21",55
"22",57
"23",59
"24",60
"25",61
"26",62
"27",63
"28",68
"29",74
"30",75
"31",78
"32",82
"33",83
"34",87
"35",98
"36",99
"37",101
"38",102
"39",103
"40",106
"41",108
"42",112
"43",118
"44",124
"45",129
"46",132
"47",133
"48",134
"49",140
"50",147
"51",154
"52",157
"53",159
"54",160
"55",161
"56",162
"57",163
"58",165
"59",167
"60",168
"61",169
"62",173
"63",175
"64",179
"65",180
"66",186
"67",190
"68",193
"69",202
"70",203
"71",207
"72",221
"73",223
"74",224
"75",227
"76",228
"77",229
"78",230
"79",231
"80",232
"81",237
"82",239
"83",240
"84",246
"85",249
"86",259
"87",260
"88",267
"89",269
"90",270
"91",271
"92",272
"93",273
"94",274
"95",276
"96",277
"97",279
"98",280
"99",282
"100",283
"101",284
"102",287
"103",289
"104",294
"105",298
"106",299
"107",301
"108",302
"109",306
"110",309
"111",315
"112",318
"113",319
"114",322
"115",327
"116",329
"117",330
"118",337
"119",339
"120",341
"121",351
"122",354
"123",355
"124",356
"125",358
"126",362
"127",363
"128",364
"129",369
"130",374
"131",376
"132",380
"133",381
"134",382
"135",383
"136",385
"137",389
"138",391
"139",393
"140",394
"141",396
"142",398
"143",399
"144",400
"145",405
"146",407
"147",408
"148",412
"149",415
"150",418
"151",419
"152",422
"153",423
"154",428
"155",436
"156",437
"157",440
"158",442
"159",443
"160",445
"161",448
"162",450
"163",452
"164",454
"165",456
"166",460
"167",461
"168",464
"169",468
"170",471
"171",478
"172",479
"173",480
"174",482
"175",483
"176",490
"177",491
"178",492
"179",496
"180",497
"181",500
"182",506
"183",508
"184",510
"185",511
"186",513
"187",518
"188",520
"189",521
"190",523
"191",525
"192",528
"193",529
"194",530
"195",531
"196",532
"197",535
"198",536
"199",537
"200",540
"201",544
"202",551
"203",552
"204",554
"205",557
"206",564
"207",566
"208",574
"209",577
"210",580
"211",581
"212",582
"213",583
"214",585
"215",598
"216",601
"217",602
"218",608
"219",609
"220",612
"221",614
"222",616
"223",617
"224",622
"225",628
"226",631
"227",632
"228",637
"229",659
"230",661
"231",662
"232",665
"233",666
"234",667
"235",675
"236",681
"237",686
"238",698
"239",703
"240",705
"241",710
"242",712
"243",719
"244",722
"245",723
"246",741
"247",743
"248",744
"249",746
"250",749
"251",756
"252",763
"253",764
"254",765
"255",768
"256",769
"257",772
"258",777
"259",778
"260",787
"261",795
"262",797
"263",798
"264",801
"265",802
"266",803
"267",804
"268",805
"269",810
"270",829
"271",831
"272",839
"273",841
"274",842
"275",843
"276",844
"277",845
"278",846
"279",847
"280",849
"281",851
"282",852
"283",853
"284",854
"285",856
"286",858
"287",860
"288",862
"289",864
"290",866
"291",867
"292",870
"293",871
"294",874
"295",887
"296",899
"297",900
"298",901
"299",903
"300",905
"301",906
"302",910
"303",912
"304",914
"305",916
"306",917
"307",918
"308",919
"309",920
"310",922
"311",923
"312",924
"313",927
"314",935
"315",945
"316",946
"317",949
"318",952
"319",953
"320",954
"321",957
"322",959
"323",961
"324",963
"325",964
"326",965
"327",969
"328",970
"329",973
"330",974
"331",977
"332",980
"333",982
"334",985
"335",987
"336",988
"337",990
"338",991
"339",992
"340",994
"341",995
"342",996
"343",997
"344",1001
"345",1003
"346",1005
"347",1006
"348",1007
"349",1009
"350",1010
"351",1011
"352",1013
"353",1014
"354",1015
"355",1018
"356",1024
"357",1025
"358",1028
"359",1029
"360",1031
"361",1032
"362",1033
"363",1036
"364",1038
"365",1041
"366",1043
"367",1044
"368",1045
"369",1048
"370",1049
"371",1054
"372",1056
"373",1057
"374",1059
"375",1060
"376",1061
"377",1062
"378",1063
"379",1064
"380",1069
"381",1071
"382",1075
"383",1077
"384",1082
"385",1086
"386",1087
"387",1089
"388",1090
"389",1094
"390",1095
"391",1100
"392",1109
"393",1121
"394",1124
"395",1136
"396",1162
"397",1163
"398",1164
"399",1165
"400",1166
"401",1169
"402",1170
"403",1173
"404",1195
"405",1198
"406",1205
"407",1207
"408",1209
"409",1210
"410",1211
"411",1213
"412",1218
"413",1220
"414",1224
"415",1225
"416",1227
"417",1228
"418",1230
"419",1232
"420",1234
"421",1236
"422",1237
"423",1238
"424",1239
"425",1250
"426",1251
"427",1257
"428",1262
"429",1264
"430",1266
"431",1268
"432",1274
"433",1275
"434",1277
"435",1279
"436",1280
"437",1282
"438",1284
"439",1286
"440",1292
"441",1297
"442",1301
"443",1307
"444",1308
"445",1311
"446",1312
"447",1313
"448",1314
"449",1318
"450",1324
"451",1335
"452",1343
"453",1345
"454",1348
"455",1353
"456",1357
"457",1361
"458",1366
"459",1367
"460",1369
"461",1374
"462",1380
"463",1398
"464",1405
"465",1409
"466",1411
"467",1412
"468",1414
"469",1419
"470",1420
"471",1421
"472",1422
"473",1424
"474",1426
"475",1429
"476",1430
"477",1431
"478",1432
"479",1436
"480",1442
"481",1444
"482",1445
"483",1446
"484",1448
"485",1450
"486",1451
"487",1452
"488",1456
"489",1457
"490",1458
"491",1464
"492",1466
"493",1467
"494",1468
"495",1471
"496",1473
"497",1475
"498",1477
"499",1483
"500",1488
"501",1490
"502",1492
"503",1495
"504",1502
"505",1508
"506",1509
"507",1510
"508",1527
"509",1532
