ID	t	A0	notFoundBySE
0	0.00000	0.435293	
0	3.00000	0.258312	
0	5.00000	0.272648	
0	7.00000	0.189553	
0	10.0000	0.264059	
1	0.00000	0.424767	
1	1.00000	0.426797	
1	3.00000	0.375563	
1	5.00000	0.322207	
1	7.00000	0.331941	
1	10.0000	0.257008	
2	0.00000	0.226428	
2	1.00000	0.313640	
2	3.00000	0.251699	
2	5.00000	0.233168	
2	7.00000	0.238621	
3	0.00000	0.351977	
3	1.00000	0.418070	
3	3.00000	0.396405	
3	7.00000	0.320677	
4	0.00000	0.188083	
4	1.00000	0.732179	
4	3.00000	0.669469	
4	5.00000	0.513142	
4	7.00000	0.345057	
5	0.00000	0.401665	
5	1.00000	0.400463	
5	3.00000	0.373515	
5	5.00000	0.350075	
5	7.00000	0.333914	
5	10.0000	0.325359	
5	14.0000	0.269062	
6	0.00000	0.165725	
6	1.00000	0.377429	
6	3.00000	0.420874	
6	5.00000	0.132573	
6	7.00000	0.130798	
7	0.00000	0.237921	
7	1.00000	0.184979	
7	3.00000	0.214188	
7	5.00000	0.152982	
7	7.00000	0.124910	
7	10.0000	0.149036	
7	14.0000	0.0990091	
8	0.00000	0.227418	
8	1.00000	0.215065	
8	3.00000	0.194733	
8	5.00000	0.147535	
8	7.00000	0.198504	
8	10.0000	0.146113	
8	14.0000	0.128647	
9	3.00000	0.387927	
9	5.00000	0.348453	
9	7.00000	0.258008	
9	10.0000	0.271414	
9	14.0000	0.238769	
10	0.00000	0.488340	
10	3.00000	0.336978	
10	5.00000	0.384791	
10	7.00000	0.342702	
10	10.0000	0.318165	
10	14.0000	0.337143	
11	0.00000	0.509467	
11	1.00000	0.508306	
11	3.00000	0.457055	
11	10.0000	0.344288	
12	1.00000	0.325267	
12	3.00000	0.241502	
12	5.00000	0.243708	
12	14.0000	0.183928	
13	0.00000	0.496973	
13	3.00000	0.265863	
13	5.00000	0.422120	
13	14.0000	0.0974643	
14	1.00000	0.244961	
14	3.00000	0.306904	
14	5.00000	0.281042	
14	14.0000	0.250677	
15	0.00000	0.302082	
15	1.00000	0.432432	
15	3.00000	0.366510	
15	5.00000	0.303522	
15	7.00000	0.283402	
15	10.0000	0.232146	
15	14.0000	0.185483	
16	1.00000	0.957377	
16	3.00000	0.571024	
16	5.00000	0.233456	
16	7.00000	0.469442	
16	10.0000	0.370183	
17	0.00000	0.493206	
17	1.00000	0.482813	
17	3.00000	0.468888	
17	5.00000	0.401943	
17	7.00000	0.433527	
17	10.0000	0.410047	
17	14.0000	0.373429	
18	0.00000	0.373848	
18	1.00000	0.145373	
18	3.00000	0.571024	
18	5.00000	0.538196	
