"","d0","d1","d3","d5","d7","d10","d14"
"1",0.237921,0.400463,0.468888,0.278734,0.333914,0.149036,0.269062
"2",0.237921,0.400463,0.468888,0.278734,0.12491,0.149036,0.269062
"3",0.227418,0.400463,0.468888,0.278734,0.198504,0.146113,0.269062
"4",0.302082,0.400463,0.468888,0.278734,0.283402,0.232146,0.269062
"5",0.493206,0.400463,0.468888,0.278734,0.333914,0.149036,0.373429
"6",0.237921,0.145373,0.468888,0.278734,0.469442,0.664704,0.269062
"7",0.525339,0.400463,0.484243,0.278734,0.389793,0.149036,0.269062
"8",0.237921,0.400463,0.468888,0.278734,0.455566,0.431137,0.248656
"9",0.237921,0.434025,0.468888,0.278734,0.333914,0.149036,0.196391
"10",0.237921,0.316944,0.468888,0.278734,0.333914,0.202064,0.17245
"11",0.560796,0.539389,0.468888,0.278734,0.493772,0.149036,0.269062
"12",0.237921,0.400463,0.468888,0.278734,0.238527,0.201155,0.182172
"13",0.237921,0.997027,0.468888,0.443481,0.333914,0.149036,0.383435
"14",0.237921,0.47831,0.430127,0.278734,0.384607,0.149036,0.269062
"15",0.237921,0.440698,0.468888,0.385676,0.333914,0.376407,0.269062
"16",0.425699,0.387442,0.468888,0.320689,0.333914,0.149036,0.269062
"17",0.653827,0.644118,0.468888,0.278734,0.333914,0.497028,0.269062
"18",0.237921,0.400463,0.468888,0.35608,0.333914,0.293943,0.253541
"19",0.314752,0.400463,0.253958,0.278734,0.333914,0.149036,0.147888
"20",0.237921,0.40775,0.468888,0.278734,0.394457,0.293963,0.269062
"21",0.322986,0.400463,0.254993,0.278734,0.333914,0.186558,0.269062
"22",0.193168,0.400463,0.178625,0.278734,0.113688,0.149036,0.269062
"23",0.237921,0.400463,0.318416,0.296832,0.29382,0.149036,0.269062
"24",0.237921,0.400463,0.468888,0.278734,0.529759,0.497142,0.473706
"25",0.237921,0.387062,0.468888,0.301872,0.333914,0.244517,0.269062
"26",0.471618,0.400463,0.468888,0.278734,0.333914,0.326845,0.372387
"27",0.237921,0.40742,0.468888,0.337613,0.333914,0.149036,0.242175
"28",0.237921,0.400463,0.468888,0.278734,0.126381,0.140543,0.0952887
"29",0.379185,0.400463,0.468888,0.278734,0.333914,0.120082,0.105204
"30",0.481486,0.400463,0.468888,0.215216,0.333914,0.149036,0.122543
"31",0.383451,0.400463,0.468888,0.278734,0.333914,0.109112,0.0764891
"32",0.237921,0.400463,0.161988,0.123469,0.333914,0.226127,0.269062
"33",0.384143,0.400463,0.468888,0.223292,0.250779,0.149036,0.269062
"34",0.237921,0.306714,0.0820385,0.278734,0.333914,0.149036,0.281657
"35",0.569023,0.400463,0.468888,0.278734,0.312565,0.273268,0.269062
"36",0.237921,0.400463,0.23051,0.155744,0.333914,0.12487,0.269062
"37",0.237921,0.400463,0.468888,0.179725,0.15396,0.265542,0.269062
"38",0.237921,0.400463,0.468888,0.167073,0.176129,0.159759,0.269062
"39",0.459932,0.374888,0.238641,0.278734,0.333914,0.149036,0.269062
"40",0.237921,0.558433,0.468888,0.710697,0.716585,0.149036,0.269062
"41",0.237921,0.487372,0.468888,0.278734,0.279513,0.149036,0.230138
"42",0.237921,0.400463,0.479262,0.278734,0.0805657,0.0793026,0.269062
"43",0.237921,0.400463,0.423799,0.278734,0.270203,0.282845,0.269062
"44",0.237921,0.290788,0.468888,0.180782,0.333914,0.149036,0.0746527
"45",0.237921,0.400463,0.14671,0.13027,0.125952,0.149036,0.269062
"46",0.470698,0.400463,0.468888,0.258828,0.239933,0.149036,0.269062
"47",0.541409,0.45377,0.468888,0.278734,0.333914,0.149036,0.154208
"48",0.303006,0.400463,0.235106,0.244492,0.333914,0.149036,0.269062
"49",0.635954,0.639826,0.638633,0.278734,0.333914,0.149036,0.269062
"50",0.237921,0.299928,0.224282,0.186031,0.333914,0.149036,0.269062
"51",0.486708,0.400463,0.468888,0.00845095,0.333914,0.385333,0.269062
"52",0.237921,0.574804,0.468888,0.510015,0.333914,0.149036,0.423375
"53",0.279864,0.267331,0.468888,0.216599,0.333914,0.149036,0.269062
"54",0.237921,0.360692,0.468888,0.344902,0.285564,0.149036,0.269062
"55",0.237921,0.314967,0.258295,0.278734,0.333914,0.254097,0.269062
"56",0.449581,0.517111,0.468888,0.278734,0.754015,0.149036,0.269062
"57",0.710013,0.583453,0.468888,0.278734,0.559293,0.149036,0.269062
"58",0.237921,0.400463,0.464257,0.431517,0.333914,0.391086,0.269062
"59",0.237921,0.239981,0.468888,0.210888,0.333914,0.149036,0.319597
"60",0.396724,0.400463,0.340617,0.278734,0.333914,0.149036,0.26045
"61",0.237921,0.400463,0.468888,0.278734,0.300212,0.259944,0.246464
"62",0.237921,0.434398,0.388529,0.278734,0.333914,0.340214,0.269062
"63",0.451362,0.400463,0.393352,0.278734,0.333914,0.149036,0.288591
"64",0.237921,0.400463,0.468888,0.533194,0.52006,0.149036,0.442744
"65",0.237921,0.400463,0.468888,0.278734,0.537496,0.489295,0.455824
"66",0.572181,0.400463,0.53787,0.278734,0.333914,0.149036,0.440536
"67",0.237921,0.400463,0.4416,0.278734,0.333914,0.228081,0.250212
"68",0.237921,0.400463,0.668497,0.278734,0.958284,0.149036,0.102584
"69",0.297451,0.263878,0.468888,0.193957,0.333914,0.149036,0.269062
"70",0.237921,0.376215,0.468888,0.309919,0.307477,0.149036,0.269062
"71",0.237921,0.295164,0.232437,0.278734,0.333914,0.149036,0.175978
"72",0.237921,0.358143,0.468888,0.285643,0.333914,0.149036,0.21629
"73",0.237921,0.526307,0.468888,0.278734,0.470809,0.149036,0.408991
"74",0.237921,0.400463,0.237698,0.278734,0.400314,0.272989,0.269062
"75",0.573089,0.497779,0.468888,0.278734,0.387444,0.149036,0.269062
"76",0.237921,0.400463,0.474842,0.445751,0.462895,0.149036,0.269062
"77",0.237921,0.612304,0.468888,0.278734,0.546238,0.149036,0.5152
"78",0.237921,0.42009,0.468888,0.244432,0.333914,0.215452,0.269062
"79",0.492945,0.400463,0.468888,0.149279,0.333914,0.149036,0.1407
"80",0.237921,0.358317,0.974431,0.278734,0.333914,0.236971,0.269062
"81",0.487587,0.400463,0.468888,0.423947,0.409662,0.374529,0.348184
"82",0.237921,0.400463,0.468888,0.278734,0.247346,0.24535,0.217631
"83",0.59321,0.400463,0.376804,0.278734,0.345595,0.149036,0.269062
"84",0.237921,0.400463,0.158577,0.178247,0.333914,0.206337,0.269062
"85",0.237921,0.172826,0.468888,0.278734,0.0810311,0.149036,0.052101
"86",0.237921,0.471801,0.468888,0.203691,0.101036,0.149036,0.269062
"87",0.660936,0.400463,0.468888,0.278734,0.333914,0.483782,0.254013
"88",0.237921,0.400463,0.298698,0.178626,0.333914,0.13727,0.269062
"89",0.443238,0.400463,0.468888,0.278734,0.365948,0.149036,0.299255
"90",0.237921,0.555171,0.527575,0.278734,0.333914,0.149036,0.443947
"91",0.237921,0.400463,0.468888,0.316142,0.349182,0.149036,0.243479
"92",0.237921,0.400463,0.330814,0.278734,0.333914,0.276643,0.230377
"93",0.237921,0.400463,0.441826,0.999988,0.333914,0.149036,0.382668
"94",0.237921,0.400463,0.319584,0.312432,0.391844,0.149036,0.269062
"95",0.237921,0.400463,0.468888,0.368387,0.347334,0.370979,0.269062
"96",0.237921,0.400463,0.251817,0.267509,0.333914,0.221713,0.269062
"97",0.410592,0.434348,0.468888,0.387011,0.333914,0.149036,0.269062
"98",0.237921,0.400463,0.286974,0.226832,0.24183,0.149036,0.269062
"99",0.510293,0.400463,0.468888,0.278734,0.47792,0.481891,0.269062
"100",0.237921,0.400463,0.468888,0.115077,0.474614,0.448674,0.269062
"101",0.577504,0.400463,0.468888,0.278734,0.513622,0.4799,0.269062
