"","x"
"1",24
"2",26
"3",27
"4",30
"5",34
"6",41
"7",43
"8",44
"9",48
"10",52
"11",53
"12",56
"13",70
"14",75
"15",81
"16",83
"17",84
"18",87
"19",92
"20",95
"21",96
"22",100
"23",102
"24",103
"25",106
"26",107
"27",121
"28",123
"29",124
"30",125
"31",127
"32",128
"33",129
"34",130
"35",132
"36",133
"37",134
"38",138
"39",140
"40",141
"41",142
"42",146
"43",148
"44",149
"45",153
"46",158
"47",162
"48",166
"49",169
"50",171
"51",172
"52",174
"53",175
"54",180
"55",181
"56",182
"57",186
"58",190
"59",192
"60",194
"61",195
"62",199
"63",200
"64",206
"65",207
"66",208
"67",209
"68",210
"69",211
"70",213
"71",215
"72",216
"73",221
"74",223
"75",226
"76",227
"77",228
"78",234
"79",236
"80",237
"81",238
"82",241
"83",242
"84",245
"85",246
"86",247
"87",248
"88",250
"89",253
"90",257
"91",258
"92",260
"93",261
"94",262
"95",265
"96",268
"97",269
"98",273
"99",276
"100",280
"101",285
"102",289
"103",296
"104",300
"105",303
"106",304
"107",308
"108",309
"109",312
"110",314
"111",317
"112",318
"113",320
"114",323
"115",324
"116",325
"117",327
"118",329
"119",331
"120",334
"121",337
"122",341
"123",345
"124",359
"125",363
"126",364
"127",367
"128",368
"129",372
"130",373
"131",374
"132",376
"133",377
"134",378
"135",380
"136",381
"137",383
"138",384
"139",385
"140",386
"141",387
"142",390
"143",391
"144",392
"145",393
"146",394
"147",395
"148",396
"149",397
"150",399
"151",400
"152",403
"153",409
"154",413
"155",416
"156",417
"157",418
"158",422
"159",423
"160",425
"161",426
"162",428
"163",429
"164",430
"165",431
"166",434
"167",436
"168",437
"169",445
"170",448
"171",449
"172",451
"173",455
"174",458
"175",459
"176",460
"177",462
"178",463
"179",464
"180",465
"181",466
"182",468
"183",470
"184",471
"185",472
"186",473
"187",474
"188",476
"189",477
"190",478
"191",480
"192",483
"193",486
"194",487
"195",488
"196",490
"197",491
"198",492
"199",498
"200",501
"201",504
"202",506
"203",508
"204",509
"205",510
"206",511
"207",513
"208",515
"209",517
"210",523
"211",524
"212",527
"213",530
"214",534
"215",537
"216",538
"217",539
"218",540
"219",542
"220",546
"221",549
"222",552
"223",562
"224",563
"225",564
"226",565
"227",567
"228",568
"229",569
"230",570
"231",573
"232",575
"233",576
"234",577
"235",602
"236",603
"237",604
"238",605
"239",608
"240",609
"241",612
"242",616
"243",617
"244",618
"245",621
"246",622
"247",623
"248",624
"249",626
"250",628
"251",631
"252",632
"253",635
"254",637
"255",638
"256",640
"257",641
"258",642
"259",645
"260",651
"261",653
"262",655
"263",663
"264",664
"265",673
"266",678
"267",681
"268",689
"269",690
"270",696
"271",697
"272",701
"273",704
"274",713
"275",719
"276",725
"277",729
"278",731
"279",737
"280",742
"281",749
"282",754
"283",755
"284",759
"285",760
"286",763
"287",765
"288",766
"289",767
"290",768
"291",770
"292",771
"293",772
"294",773
"295",781
"296",783
"297",789
"298",793
"299",796
"300",803
"301",804
"302",808
"303",813
"304",819
"305",826
"306",833
"307",834
"308",835
"309",838
"310",842
"311",844
"312",846
"313",852
"314",853
"315",855
"316",856
"317",859
"318",861
"319",866
"320",870
"321",872
"322",874
"323",876
"324",882
"325",885
"326",886
"327",889
"328",890
"329",891
"330",892
"331",893
"332",897
"333",898
"334",901
"335",902
"336",910
"337",918
"338",924
"339",928
"340",929
"341",930
"342",931
"343",933
"344",938
"345",939
"346",942
"347",943
"348",944
"349",947
"350",948
"351",951
"352",952
"353",953
"354",954
"355",956
"356",957
"357",958
"358",959
"359",964
"360",966
"361",971
"362",977
"363",982
"364",985
"365",987
"366",989
"367",998
"368",1003
"369",1013
"370",1017
"371",1018
"372",1022
"373",1024
"374",1028
"375",1029
"376",1032
"377",1034
"378",1039
"379",1042
"380",1043
"381",1045
"382",1058
"383",1061
"384",1063
"385",1073
"386",1074
"387",1076
"388",1080
"389",1082
"390",1088
"391",1089
"392",1096
"393",1102
"394",1103
"395",1108
"396",1116
"397",1117
"398",1121
"399",1126
"400",1127
"401",1128
"402",1132
"403",1135
"404",1136
"405",1139
"406",1140
"407",1141
"408",1142
"409",1143
"410",1147
"411",1149
"412",1150
"413",1151
"414",1152
"415",1153
"416",1158
"417",1161
"418",1163
"419",1166
"420",1168
"421",1170
"422",1171
"423",1172
"424",1174
"425",1176
"426",1177
"427",1179
"428",1181
"429",1182
"430",1188
"431",1190
"432",1199
"433",1201
"434",1208
"435",1210
"436",1214
"437",1216
"438",1222
"439",1224
"440",1226
"441",1228
"442",1230
"443",1231
"444",1233
"445",1234
"446",1235
"447",1243
"448",1244
"449",1245
"450",1248
"451",1250
"452",1254
