ID	t	A0	notFoundBySE
0	1.00000	0.322962	
0	3.00000	0.338080	
0	5.00000	0.258324	
0	7.00000	0.269753	
0	10.0000	0.222376	
0	14.0000	0.218368	
1	3.00000	0.269115	
1	5.00000	0.263467	
1	7.00000	0.253999	
1	10.0000	0.223702	
1	14.0000	0.204466	
2	1.00000	0.371268	
2	3.00000	0.266686	
2	7.00000	0.299339	
2	10.0000	0.302828	
2	14.0000	0.223258	
3	1.00000	0.529332	
3	3.00000	0.340795	
3	5.00000	0.316049	
3	7.00000	0.364606	
3	10.0000	0.254229	
4	0.00000	0.433811	
4	1.00000	0.317377	
4	7.00000	0.266118	
4	10.0000	0.196388	
5	1.00000	0.357022	
5	3.00000	0.195114	
5	5.00000	0.190407	
5	7.00000	0.154166	
5	10.0000	0.310709	
5	14.0000	0.102533	
6	0.00000	0.686261	
6	1.00000	0.505479	
6	3.00000	0.557402	
6	5.00000	0.534486	
6	14.0000	0.418094	
7	1.00000	0.119245	
7	3.00000	0.131378	
7	5.00000	0.150620	
7	10.0000	0.115534	
8	0.00000	0.543006	
8	1.00000	0.435059	
8	3.00000	0.266136	
8	5.00000	0.181616	
8	7.00000	0.216730	
9	0.00000	0.311418	
9	1.00000	0.343966	
9	3.00000	0.228024	
9	5.00000	0.0896723	
9	7.00000	0.0893922	
9	14.0000	0.112584	
10	0.00000	0.425283	
10	1.00000	0.380307	
10	3.00000	0.294584	
10	10.0000	0.190574	
11	0.00000	0.468029	
11	3.00000	0.272978	
11	7.00000	0.283338	
11	14.0000	0.223195	
12	1.00000	0.445281	
12	3.00000	0.588080	
12	7.00000	0.261360	
12	10.0000	0.242458	
12	14.0000	0.514011	
13	0.00000	0.426285	
13	1.00000	0.398903	
13	3.00000	0.261572	
13	14.0000	0.290790	
14	0.00000	0.404893	
14	1.00000	0.446281	
14	7.00000	0.182949	
14	14.0000	0.0928271	
15	0.00000	0.398430	
15	1.00000	0.393069	
15	3.00000	0.260724	
15	5.00000	0.187203	
15	7.00000	0.152088	
15	14.0000	0.123627	
16	0.00000	0.403178	
16	1.00000	0.331262	
16	3.00000	0.197462	
16	5.00000	0.188195	
16	7.00000	0.171680	
16	14.0000	0.0920263	
17	0.00000	0.974399	
17	1.00000	0.457758	
17	3.00000	0.349542	
17	7.00000	0.389319	
17	10.0000	0.329254	
17	14.0000	0.232569	
18	0.00000	0.391590	
18	1.00000	0.288867	
18	3.00000	0.180412	
18	7.00000	0.0987790	
18	14.0000	0.0900786	
19	0.00000	0.251697	
19	1.00000	0.433883	
19	3.00000	0.419193	
19	5.00000	0.323170	
20	0.00000	0.504200	
20	1.00000	0.408193	
20	3.00000	0.752893	
20	7.00000	0.269561	
20	14.0000	0.193275	
21	0.00000	0.595229	
21	1.00000	0.514181	
21	3.00000	0.428625	
21	7.00000	0.364230	
21	14.0000	0.271073	
22	0.00000	0.528067	
22	3.00000	0.173014	
22	5.00000	0.207045	
22	7.00000	0.231935	
22	14.0000	0.146344	
23	0.00000	0.435293	
23	1.00000	0.329730	
23	5.00000	0.243693	
23	10.0000	0.394938	
23	14.0000	0.208945	
24	0.00000	0.424767	
24	1.00000	0.433672	
24	3.00000	0.292550	
24	5.00000	0.382496	
24	7.00000	0.315804	
24	10.0000	0.334936	
24	14.0000	0.214985	
25	1.00000	0.352955	
25	3.00000	0.267448	
25	5.00000	0.285756	
25	7.00000	0.228488	
25	10.0000	0.224193	
25	14.0000	0.229029	
26	0.00000	0.226428	
26	1.00000	0.354404	
26	3.00000	0.569928	
26	5.00000	0.276034	
26	7.00000	0.192357	
26	10.0000	0.232965	
26	14.0000	0.185534	
27	0.00000	0.478240	
27	1.00000	0.409025	
27	3.00000	0.370422	
27	5.00000	0.360634	
27	7.00000	0.355321	
27	10.0000	0.378901	
27	14.0000	0.251558	
28	0.00000	0.351977	
28	1.00000	0.428592	
28	3.00000	0.460949	
28	7.00000	0.295263	
28	10.0000	0.153749	
28	14.0000	0.267423	
29	0.00000	0.188083	
29	3.00000	0.666599	
29	7.00000	0.244878	
29	14.0000	0.603110	
30	0.00000	0.401665	
30	1.00000	0.404865	
30	3.00000	0.373486	
30	5.00000	0.325100	
30	7.00000	0.344767	
30	10.0000	0.225228	
30	14.0000	0.255352	
31	1.00000	0.221246	
31	5.00000	0.167408	
31	7.00000	0.182603	
31	10.0000	0.114351	
31	14.0000	0.142355	
32	0.00000	0.165725	
32	1.00000	0.219666	
32	3.00000	0.158797	
32	7.00000	0.177303	
32	10.0000	0.0974504	
32	14.0000	0.214344	
33	0.00000	0.237921	
33	1.00000	0.967718	
33	3.00000	0.145158	
33	5.00000	0.157505	
33	7.00000	0.160664	
33	10.0000	0.132418	
34	0.00000	0.227418	
34	1.00000	0.255715	
34	3.00000	0.196661	
34	5.00000	0.213758	
34	7.00000	0.179591	
34	10.0000	0.146418	
34	14.0000	0.127532	
35	1.00000	0.459371	
