ID,t,A0,notFoundBySE
24,0.0,0.424767,
24,1.0,0.433672,
24,3.0,,
24,5.0,,
24,7.0,0.315804,
24,10.0,0.334936,
24,14.0,,
26,0.0,,
26,1.0,,
26,3.0,0.569928,
26,5.0,,
26,7.0,0.192357,
26,10.0,0.232965,
26,14.0,0.185534,
27,0.0,0.47824,
27,1.0,,
27,3.0,,
27,5.0,0.360634,
27,7.0,0.355321,
27,10.0,,
27,14.0,0.251558,
30,0.0,0.401665,
30,1.0,0.404865,
30,3.0,,
30,5.0,0.3251,
30,7.0,,
30,10.0,,
30,14.0,0.255352,
34,0.0,,
34,1.0,,
34,3.0,,
34,5.0,0.213758,
34,7.0,0.179591,
34,10.0,0.146418,
34,14.0,0.127532,
41,0.0,,
41,1.0,,
41,3.0,,
41,5.0,0.289771,
41,7.0,0.30038,
41,10.0,0.216792,
41,14.0,0.185324,
43,0.0,0.493206,
43,1.0,,
43,3.0,,
43,5.0,0.449437,
43,7.0,0.446387,
43,10.0,0.378307,
43,14.0,,
44,0.0,,
44,1.0,0.495054,
44,3.0,0.198429,
44,5.0,0.376771,
44,7.0,,
44,10.0,0.292079,
44,14.0,,
48,0.0,,
48,1.0,,
48,3.0,0.566111,
48,5.0,0.248457,
48,7.0,0.518351,
48,10.0,,
48,14.0,0.457794,
52,0.0,0.417707,
52,1.0,0.421697,
52,3.0,0.380331,
52,5.0,,
52,7.0,,
52,10.0,0.326131,
52,14.0,,
53,0.0,0.417347,
53,1.0,,
53,3.0,0.340827,
53,5.0,,
53,7.0,0.379943,
53,10.0,0.331916,
53,14.0,,
56,0.0,,
56,1.0,0.304617,
56,3.0,,
56,5.0,0.156511,
56,7.0,0.302994,
56,10.0,0.121932,
56,14.0,,
70,0.0,0.426323,
70,1.0,0.272354,
70,3.0,,
70,5.0,0.119913,
70,7.0,0.222744,
70,10.0,,
70,14.0,,
75,0.0,0.403124,
75,1.0,0.307706,
75,3.0,0.322814,
75,5.0,,
75,7.0,,
75,10.0,,
75,14.0,0.234183,
81,0.0,,
81,1.0,0.296378,
81,3.0,,
81,5.0,0.174583,
81,7.0,,
81,10.0,0.133505,
81,14.0,0.137427,
83,0.0,,
83,1.0,,
83,3.0,0.270162,
83,5.0,,
83,7.0,0.294617,
83,10.0,0.247158,
83,14.0,0.169018,
84,0.0,0.524295,
84,1.0,0.667129,
84,3.0,,
84,5.0,0.552174,
84,7.0,0.32534,
84,10.0,,
84,14.0,,
87,0.0,0.314183,
87,1.0,,
87,3.0,,
87,5.0,0.176642,
87,7.0,,
87,10.0,0.134741,
87,14.0,0.129838,
92,0.0,,
92,1.0,,
92,3.0,0.276059,
92,5.0,,
92,7.0,0.242474,
92,10.0,0.176937,
92,14.0,0.15092,
95,0.0,,
95,1.0,,
95,3.0,,
95,5.0,0.562791,
95,7.0,0.339703,
95,10.0,0.246603,
95,14.0,0.456166,
96,0.0,,
96,1.0,0.462716,
96,3.0,,
96,5.0,0.311387,
96,7.0,0.305844,
96,10.0,,
96,14.0,0.222465,
100,0.0,,
100,1.0,0.471204,
100,3.0,,
100,5.0,,
100,7.0,0.258646,
100,10.0,0.173441,
100,14.0,0.151885,
102,0.0,,
102,1.0,0.322186,
102,3.0,0.232819,
102,5.0,,
102,7.0,0.176224,
102,10.0,,
102,14.0,0.0996006,
103,0.0,0.504122,
103,1.0,,
103,3.0,0.313941,
103,5.0,,
103,7.0,0.294768,
103,10.0,0.608224,
103,14.0,,
106,0.0,,
106,1.0,0.293853,
106,3.0,,
106,5.0,0.182242,
106,7.0,0.222405,
106,10.0,0.0946307,
106,14.0,,
107,0.0,,
107,1.0,0.382607,
107,3.0,,
107,5.0,0.203121,
107,7.0,0.219713,
107,10.0,,
107,14.0,0.167885,
121,0.0,,
121,1.0,,
121,3.0,0.441686,
121,5.0,0.385594,
121,7.0,,
121,10.0,0.989235,
121,14.0,0.33212,
123,0.0,0.375981,
123,1.0,,
123,3.0,0.338339,
123,5.0,0.311443,
123,7.0,,
123,10.0,0.229532,
123,14.0,,
124,0.0,0.42334,
124,1.0,,
124,3.0,0.362862,
124,5.0,,
124,7.0,0.128875,
124,10.0,0.25561,
124,14.0,,
125,0.0,0.443238,
125,1.0,0.471472,
125,3.0,,
125,5.0,,
125,7.0,0.409507,
125,10.0,0.302527,
125,14.0,,
127,0.0,,
127,1.0,,
127,3.0,0.355251,
127,5.0,0.406128,
127,7.0,0.321212,
127,10.0,0.304578,
127,14.0,,
128,0.0,,
128,1.0,0.399911,
128,3.0,0.344845,
128,5.0,,
