ID,t,A0,notFoundBySE
24,0.0,,
24,1.0,,
24,3.0,,
24,5.0,0.382496,
24,7.0,,
24,10.0,,
24,14.0,,
26,0.0,0.226428,
26,1.0,,
26,3.0,,
26,5.0,,
26,7.0,,
26,10.0,,
26,14.0,,
27,0.0,,
27,1.0,,
27,3.0,,
27,5.0,,
27,7.0,,
27,10.0,0.378901,
27,14.0,,
30,0.0,,
30,1.0,0.404865,
30,3.0,,
30,5.0,,
30,7.0,,
30,10.0,,
30,14.0,,
34,0.0,,
34,1.0,0.255715,
34,3.0,,
34,5.0,,
34,7.0,,
34,10.0,,
34,14.0,,
41,0.0,,
41,1.0,,
41,3.0,,
41,5.0,,
41,7.0,0.30038,
41,10.0,,
41,14.0,,
43,0.0,,
43,1.0,,
43,3.0,,
43,5.0,,
43,7.0,,
43,10.0,0.378307,
43,14.0,,
44,0.0,,
44,1.0,,
44,3.0,,
44,5.0,,
44,7.0,0.505951,
44,10.0,,
44,14.0,,
48,0.0,,
48,1.0,,
48,3.0,,
48,5.0,0.248457,
48,7.0,,
48,10.0,,
48,14.0,,
52,0.0,,
52,1.0,,
52,3.0,,
52,5.0,0.37169,
52,7.0,,
52,10.0,,
52,14.0,,
53,0.0,,
53,1.0,,
53,3.0,,
53,5.0,,
53,7.0,,
53,10.0,0.331916,
53,14.0,,
56,0.0,,
56,1.0,,
56,3.0,0.198845,
56,5.0,,
56,7.0,,
56,10.0,,
56,14.0,,
70,0.0,,
70,1.0,,
70,3.0,,
70,5.0,,
70,7.0,,
70,10.0,0.153968,
70,14.0,,
75,0.0,0.403124,
75,1.0,,
75,3.0,,
75,5.0,,
75,7.0,,
75,10.0,,
75,14.0,,
81,0.0,,
81,1.0,,
81,3.0,,
81,5.0,0.174583,
81,7.0,,
81,10.0,,
81,14.0,,
83,0.0,,
83,1.0,,
83,3.0,,
83,5.0,,
83,7.0,,
83,10.0,,
83,14.0,0.169018,
84,0.0,,
84,1.0,,
84,3.0,0.603154,
84,5.0,,
84,7.0,,
84,10.0,,
84,14.0,,
87,0.0,,
87,1.0,,
87,3.0,0.204181,
87,5.0,,
87,7.0,,
87,10.0,,
87,14.0,,
92,0.0,,
92,1.0,,
92,3.0,,
92,5.0,,
92,7.0,,
92,10.0,0.176937,
92,14.0,,
95,0.0,,
95,1.0,0.492514,
95,3.0,,
95,5.0,,
95,7.0,,
95,10.0,,
95,14.0,,
96,0.0,,
96,1.0,,
96,3.0,0.312222,
96,5.0,,
96,7.0,,
96,10.0,,
96,14.0,,
100,0.0,,
100,1.0,,
100,3.0,,
100,5.0,0.173186,
100,7.0,,
100,10.0,,
100,14.0,,
102,0.0,0.375786,
102,1.0,,
102,3.0,,
102,5.0,,
102,7.0,,
102,10.0,,
102,14.0,,
103,0.0,,
103,1.0,,
103,3.0,0.313941,
103,5.0,,
103,7.0,,
103,10.0,,
103,14.0,,
106,0.0,,
106,1.0,,
106,3.0,,
106,5.0,,
106,7.0,,
106,10.0,,
106,14.0,0.103543,
107,0.0,,
107,1.0,,
107,3.0,0.240195,
107,5.0,,
107,7.0,,
107,10.0,,
107,14.0,,
121,0.0,,
121,1.0,,
121,3.0,,
121,5.0,0.385594,
121,7.0,,
121,10.0,,
121,14.0,,
123,0.0,,
123,1.0,,
123,3.0,,
123,5.0,,
123,7.0,,
123,10.0,,
123,14.0,0.197073,
124,0.0,,
124,1.0,,
124,3.0,,
124,5.0,,
124,7.0,,
124,10.0,0.25561,
124,14.0,,
125,0.0,,
125,1.0,,
125,3.0,0.399429,
125,5.0,,
125,7.0,,
125,10.0,,
125,14.0,,
127,0.0,,
127,1.0,0.410497,
127,3.0,,
127,5.0,,
127,7.0,,
127,10.0,,
127,14.0,,
128,0.0,,
128,1.0,,
128,3.0,,
128,5.0,,
128,7.0,,
128,10.0,0.27028,
128,14.0,,
129,0.0,,
129,1.0,,
129,3.0,,
129,5.0,0.47312,
129,7.0,,
129,10.0,,
129,14.0,,
130,0.0,,
130,1.0,0.356805,
130,3.0,,
130,5.0,,
130,7.0,,
130,10.0,,
130,14.0,,
132,0.0,,
132,1.0,,
132,3.0,,
132,5.0,0.537391,
132,7.0,,
132,10.0,,
132,14.0,,
133,0.0,,
133,1.0,,
133,3.0,0.396904,
133,5.0,,
133,7.0,,
133,10.0,,
133,14.0,,
134,0.0,0.266827,
134,1.0,,
134,3.0,,
134,5.0,,
134,7.0,,
134,10.0,,
134,14.0,,
138,0.0,,
138,1.0,0.44019,
138,3.0,,
138,5.0,,
138,7.0,,
138,10.0,,
138,14.0,,
140,0.0,,
140,1.0,,
140,3.0,,
140,5.0,0.272131,
140,7.0,,
140,10.0,,
140,14.0,,
141,0.0,,
141,1.0,,
141,3.0,0.277005,
141,5.0,,
141,7.0,,
141,10.0,,
141,14.0,,
142,0.0,,
142,1.0,,
142,3.0,,
142,5.0,,
142,7.0,0.479064,
142,10.0,,
142,14.0,,
146,0.0,,
146,1.0,,
146,3.0,0.630578,
146,5.0,,
146,7.0,,
146,10.0,,
146,14.0,,
148,0.0,,
148,1.0,,
148,3.0,0.537635,
148,5.0,,
148,7.0,,
148,10.0,,
148,14.0,,
149,0.0,,
149,1.0,,
149,3.0,,
149,5.0,0.260992,
149,7.0,,
149,10.0,,
149,14.0,,
153,0.0,,
153,1.0,,
153,3.0,,
153,5.0,,
153,7.0,0.233786,
153,10.0,,
153,14.0,,
158,0.0,,
158,1.0,,
158,3.0,,
158,5.0,,
158,7.0,,
158,10.0,,
158,14.0,0.205122,
162,0.0,0.674641,
162,1.0,,
162,3.0,,
162,5.0,,
162,7.0,,
162,10.0,,
162,14.0,,
166,0.0,,
166,1.0,,
166,3.0,0.290525,
166,5.0,,
166,7.0,,
166,10.0,,
166,14.0,,
169,0.0,,
169,1.0,0.2596,
169,3.0,,
169,5.0,,
169,7.0,,
169,10.0,,
169,14.0,,
171,0.0,,
171,1.0,0.344418,
171,3.0,,
171,5.0,,
171,7.0,,
171,10.0,,
171,14.0,,
172,0.0,,
172,1.0,0.405924,
172,3.0,,
172,5.0,,
172,7.0,,
172,10.0,,
172,14.0,,
174,0.0,,
174,1.0,,
174,3.0,,
174,5.0,,
174,7.0,,
174,10.0,,
174,14.0,0.113351,
175,0.0,,
175,1.0,0.290181,
175,3.0,,
175,5.0,,
175,7.0,,
175,10.0,,
175,14.0,,
180,0.0,,
180,1.0,,
180,3.0,0.43102,
180,5.0,,
180,7.0,,
180,10.0,,
180,14.0,,
181,0.0,,
181,1.0,,
181,3.0,,
181,5.0,,
181,7.0,,
181,10.0,0.289231,
181,14.0,,
182,0.0,,
182,1.0,,
182,3.0,,
182,5.0,,
182,7.0,0.246053,
182,10.0,,
182,14.0,,
186,0.0,0.528647,
186,1.0,,
186,3.0,,
186,5.0,,
186,7.0,,
186,10.0,,
186,14.0,,
190,0.0,,
190,1.0,,
190,3.0,,
190,5.0,,
190,7.0,,
190,10.0,0.216489,
190,14.0,,
192,0.0,,
192,1.0,0.56529,
192,3.0,,
192,5.0,,
192,7.0,,
192,10.0,,
192,14.0,,
194,0.0,0.506002,
194,1.0,,
194,3.0,,
194,5.0,,
194,7.0,,
194,10.0,,
194,14.0,,
195,0.0,,
195,1.0,,
195,3.0,,
195,5.0,,
195,7.0,0.311899,
195,10.0,,
195,14.0,,
199,0.0,0.814236,
199,1.0,,
199,3.0,,
199,5.0,,
199,7.0,,
199,10.0,,
199,14.0,,
200,0.0,,
200,1.0,,
200,3.0,0.453576,
200,5.0,,
200,7.0,,
200,10.0,,
200,14.0,,
206,0.0,,
206,1.0,,
206,3.0,0.308242,
206,5.0,,
206,7.0,,
206,10.0,,
206,14.0,,
207,0.0,,
207,1.0,0.0582864,
207,3.0,,
207,5.0,,
207,7.0,,
207,10.0,,
