"","d0","d1","d3","d5","d7","d10","d14"
"1",0.424767,0.409025,0.373486,0.3251,0.315804,0.334936,0.185534
"2",0.226428,0.409025,0.373486,0.3251,0.315804,0.232965,0.185534
"3",0.47824,0.409025,0.373486,0.3251,0.315804,0.334936,0.251558
"4",0.424767,0.409025,0.373486,0.3251,0.315804,0.225228,0.185534
"5",0.227418,0.255715,0.373486,0.3251,0.179591,0.334936,0.185534
"6",0.424767,0.409025,0.373486,0.289771,0.315804,0.216792,0.185324
"7",0.493206,0.409025,0.165853,0.3251,0.315804,0.378307,0.185534
"8",0.424767,0.495054,0.373486,0.376771,0.315804,0.334936,0.551162
"9",0.424767,0.549548,0.373486,0.3251,0.518351,0.334936,0.457794
"10",0.417707,0.409025,0.373486,0.3251,0.351575,0.326131,0.185534
"11",0.417347,0.409025,0.340827,0.34352,0.315804,0.334936,0.185534
"12",0.424767,0.409025,0.373486,0.156511,0.302994,0.121932,0.185534
"13",0.426323,0.272354,0.373486,0.3251,0.315804,0.334936,0.113251
"14",0.424767,0.409025,0.322814,0.247799,0.315804,0.181776,0.185534
"15",0.424767,0.409025,0.237571,0.3251,0.160701,0.133505,0.185534
"16",0.424767,0.409025,0.373486,0.290899,0.294617,0.334936,0.169018
"17",0.424767,0.667129,0.373486,0.3251,0.32534,0.334936,0.475897
"18",0.424767,0.409025,0.204181,0.3251,0.194193,0.334936,0.129838
"19",0.424767,0.409025,0.276059,0.244566,0.242474,0.334936,0.185534
"20",0.492136,0.409025,0.354847,0.562791,0.315804,0.334936,0.185534
"21",0.424767,0.462716,0.373486,0.3251,0.315804,0.240009,0.222465
"22",0.424767,0.409025,0.373486,0.173186,0.315804,0.173441,0.151885
"23",0.375786,0.322186,0.232819,0.3251,0.315804,0.334936,0.185534
"24",0.504122,0.409025,0.373486,0.3251,0.315804,0.608224,0.214658
"25",0.336558,0.293853,0.373486,0.3251,0.315804,0.0946307,0.185534
"26",0.424767,0.409025,0.240195,0.3251,0.219713,0.152963,0.185534
"27",0.472941,0.409025,0.373486,0.385594,0.315804,0.334936,0.33212
"28",0.424767,0.350546,0.373486,0.311443,0.315804,0.334936,0.197073
"29",0.42334,0.409025,0.373486,0.3251,0.128875,0.25561,0.185534
"30",0.424767,0.409025,0.399429,0.428906,0.315804,0.334936,0.290503
"31",0.408292,0.409025,0.355251,0.3251,0.315804,0.304578,0.185534
"32",0.409762,0.409025,0.373486,0.333471,0.315804,0.27028,0.185534
"33",0.424767,0.452418,0.444281,0.3251,0.315804,0.420575,0.185534
"34",0.38152,0.409025,0.331164,0.3251,0.325896,0.334936,0.185534
"35",0.424767,0.622035,0.373486,0.3251,0.469143,0.208192,0.185534
"36",0.424767,0.409025,0.396904,0.171884,0.390342,0.334936,0.185534
"37",0.266827,0.186478,0.222858,0.3251,0.315804,0.334936,0.185534
"38",0.410592,0.409025,0.373486,0.3251,0.370091,0.334936,0.291466
"39",0.424767,0.409025,0.373486,0.272131,0.315804,0.257419,0.199689
"40",0.345325,0.409025,0.277005,0.3251,0.295619,0.334936,0.185534
"41",0.510293,0.409025,0.430969,0.3251,0.315804,0.445268,0.185534
"42",0.424767,0.409025,0.630578,0.3251,0.315804,0.460662,0.450589
"43",0.577504,0.571052,0.537635,0.3251,0.315804,0.334936,0.185534
"44",0.424767,0.409025,0.373486,0.260992,0.259926,0.220453,0.185534
"45",0.464526,0.409025,0.287833,0.3251,0.315804,0.202112,0.185534
"46",0.424767,0.409025,0.232587,0.3251,0.315804,0.182888,0.205122
"47",0.424767,0.409025,0.373486,0.323906,0.34993,0.334936,0.496304
"48",0.424767,0.406959,0.373486,0.3251,0.300564,0.334936,0.204094
"49",0.424767,0.409025,0.373486,0.19813,0.315804,0.150236,0.144456
"50",0.424767,0.409025,0.286808,0.3251,0.315804,0.191132,0.158455
"51",0.450588,0.409025,0.329181,0.3251,0.315804,0.203859,0.185534
"52",0.424767,0.409025,0.249583,0.222592,0.315804,0.334936,0.113351
"53",0.424767,0.409025,0.373486,0.230466,0.203361,0.172812,0.185534
"54",0.424767,0.480579,0.373486,0.3251,0.315804,0.306541,0.253148
"55",0.424767,0.409025,0.388173,0.3251,0.275832,0.334936,0.223898
"56",0.424767,0.409025,0.298853,0.272227,0.246053,0.334936,0.185534
"57",0.528647,0.409025,0.373486,0.28765,0.315804,0.334936,0.179648
"58",0.358908,0.409025,0.373486,0.3251,0.264919,0.216489,0.185534
"59",0.424767,0.409025,0.373486,0.3251,0.507904,0.454451,0.42265
"60",0.506002,0.409025,0.484628,0.3251,0.42171,0.334936,0.185534
"61",0.424767,0.409025,0.373756,0.3251,0.311899,0.239826,0.185534
"62",0.424767,0.51546,0.373486,0.394746,0.315804,0.315744,0.185534
"63",0.518512,0.409025,0.373486,0.3251,0.315804,0.359902,0.319544
"64",0.362938,0.34688,0.373486,0.3251,0.315804,0.334936,0.214505
"65",0.424767,0.0582864,0.313646,0.159573,0.315804,0.334936,0.185534
"66",0.412008,0.384629,0.373486,0.3251,0.315804,0.242622,0.185534
"67",0.400047,0.390614,0.373486,0.3251,0.315804,0.334936,0.215553
"68",0.345319,0.559851,0.373486,0.281943,0.315804,0.334936,0.185534
"69",0.320445,0.409025,0.197817,0.3251,0.315804,0.334936,0.277084
"70",0.448709,0.446411,0.373486,0.367451,0.315804,0.334936,0.185534
"71",0.424767,0.409025,0.373486,0.494641,0.499365,0.450002,0.185534
"72",0.424767,0.409025,0.385956,0.366333,0.315804,0.30191,0.185534
"73",0.424767,0.409235,0.453043,0.3251,0.315804,0.363446,0.185534
"74",0.424767,0.409025,0.373486,0.538293,0.494935,0.334936,0.419356
"75",0.424767,0.409025,0.180557,0.3251,0.171437,0.142692,0.185534
"76",0.282533,0.409025,0.229901,0.207726,0.315804,0.334936,0.185534
"77",0.362602,0.409025,0.373486,0.511864,0.33598,0.334936,0.185534
"78",0.424767,0.409025,0.373486,0.362385,0.354171,0.302624,0.185534
"79",0.319003,0.409025,0.288543,0.3251,0.259723,0.334936,0.185534
"80",0.424767,0.409025,0.373486,0.252661,0.245389,0.334936,0.249619
"81",0.375976,0.259706,0.373486,0.3251,0.315804,0.334936,0.137131
"82",0.370004,0.409025,0.373486,0.279233,0.271264,0.334936,0.185534
"83",0.387239,0.409025,0.135434,0.3251,0.777234,0.334936,0.185534
"84",0.349255,0.409025,0.373486,0.253293,0.315804,0.334936,0.168008
"85",0.999103,0.440261,0.373486,0.3251,0.345259,0.334936,0.185534
"86",0.675135,0.479014,0.373486,0.459719,0.315804,0.334936,0.185534
"87",0.424767,0.51901,0.373486,0.3251,0.427666,0.334936,0.299868
"88",0.530489,0.409025,0.502993,0.453691,0.315804,0.334936,0.185534
"89",0.353395,0.409025,0.373486,0.3251,0.315804,0.326256,0.196496
"90",0.424767,0.502825,0.412049,0.388532,0.315804,0.334936,0.185534
"91",0.424767,0.409025,0.526677,0.376577,0.39103,0.334936,0.185534
"92",0.424767,0.458623,0.23192,0.3251,0.315804,0.334936,0.222469
"93",0.424767,0.409025,0.31842,0.284326,0.315804,0.334936,0.164254
"94",0.596233,0.5977,0.373486,0.591063,0.315804,0.334936,0.185534
"95",0.343707,0.325134,0.373486,0.3251,0.315804,0.171729,0.185534
"96",0.597837,0.601841,0.373486,0.3251,0.503901,0.334936,0.185534
"97",0.424767,0.409025,0.364516,0.212861,0.315804,0.212437,0.185534
"98",0.274211,0.409025,0.373486,0.3251,0.174605,0.334936,0.102912
"99",0.626431,0.56525,0.472031,0.3251,0.315804,0.334936,0.185534
"100",0.447569,0.409025,0.373486,0.393819,0.315804,0.334936,0.267136
"101",0.424767,0.409025,0.530011,0.3251,0.506279,0.334936,0.373126
"102",0.445135,0.409025,0.373486,0.525902,0.315804,0.419488,0.185534
"103",0.424767,0.409025,0.373486,0.212139,0.315804,0.144702,0.156045
"104",0.519989,0.438254,0.250956,0.3251,0.315804,0.334936,0.185534
"105",0.424767,0.223908,0.38734,0.3251,0.315804,0.334936,0.2652
"106",0.998557,0.409025,0.373486,0.406886,0.315804,0.368965,0.185534
"107",0.455874,0.409025,0.373486,0.330366,0.315804,0.171506,0.185534
"108",0.424767,0.409025,0.662617,0.245634,0.680112,0.334936,0.185534
"109",0.464422,0.409025,0.378459,0.3251,0.315804,0.324357,0.185534
"110",0.530446,0.409025,0.373486,0.387224,0.394954,0.334936,0.185534
"111",0.392828,0.409025,0.331019,0.255307,0.315804,0.334936,0.185534
"112",0.424767,0.409025,0.373486,0.313813,0.318583,0.250902,0.185534
"113",0.590701,0.566607,0.373486,0.3251,0.315804,0.334936,0.382848
"114",0.541091,0.409025,0.373486,0.3251,0.425368,0.361493,0.185534
"115",0.424767,0.52026,0.370453,0.3251,0.315804,0.334936,0.260529
"116",0.424767,0.298201,0.373486,0.133403,0.315804,0.334936,0.118436
"117",0.424767,0.475461,0.373486,0.297227,0.315804,0.231425,0.185534
"118",0.424767,0.30498,0.373486,0.393502,0.315804,0.271807,0.185534
"119",0.424767,0.624829,0.603408,0.3251,0.315804,0.334936,0.412305
"120",0.424767,0.458817,0.373486,0.392215,0.377095,0.334936,0.185534
"121",0.424767,0.609819,0.464448,0.458431,0.315804,0.334936,0.185534
"122",0.53907,0.409025,0.395237,0.3251,0.403643,0.334936,0.185534
"123",0.424767,0.409025,0.489179,0.3251,0.315804,0.389159,0.352083
"124",0.424767,0.535825,0.373486,0.3251,0.315804,0.516838,0.429289
"125",0.424767,0.518667,0.373486,0.476813,0.471189,0.334936,0.185534
"126",0.445434,0.433051,0.158587,0.3251,0.315804,0.333776,0.13129
"127",0.424767,0.409025,0.373486,0.341279,0.327314,0.275578,0.185534
"128",0.76982,0.409025,0.521233,0.3251,0.315804,0.334936,0.417466
"129",0.424767,0.470395,0.450933,0.462514,0.315804,0.334936,0.185534
"130",0.424767,0.409025,0.373486,0.204083,0.19203,0.158191,0.185534
"131",0.259584,0.409025,0.222063,0.3251,0.315804,0.156339,0.185534
"132",0.424767,0.409025,0.30461,0.231198,0.211159,0.334936,0.185534
"133",0.424767,0.409025,0.536086,0.505338,0.446405,0.448961,0.185534
"134",0.620146,0.628047,0.373486,0.580255,0.315804,0.334936,0.185534
"135",0.424767,0.409025,0.373486,0.476008,0.58015,0.334936,0.526796
"136",0.424767,0.409025,0.347751,0.342695,0.315804,0.334936,0.237645
"137",0.424767,0.473771,0.152882,0.419151,0.315804,0.334936,0.185534
"138",0.424767,0.298561,0.373486,0.3251,0.315804,0.199417,0.169912
"139",0.424767,0.409025,0.373486,0.51736,0.48907,0.334936,0.441626
"140",0.424767,0.409025,0.373486,0.252225,0.262996,0.334936,0.181505
"141",0.300504,0.409025,0.373486,0.242444,0.315804,0.193837,0.185534
"142",0.424767,0.300923,0.256163,0.3251,0.315804,0.195879,0.185534
"143",0.414632,0.409025,0.388526,0.3251,0.315804,0.334936,0.292205
"144",0.424767,0.409025,0.271465,0.3251,0.243655,0.334936,0.146588
"145",0.424767,0.42141,1.01152,0.3251,0.404163,0.334936,0.185534
"146",0.424767,0.144971,0.199665,0.3251,0.315804,0.148052,0.185534
"147",0.305102,0.409025,0.247721,0.3251,0.216077,0.334936,0.185534
"148",0.990883,0.409025,0.532192,0.208277,1,0.334936,0.0492413
"149",0.424767,0.582685,0.235146,0.3251,0.315804,0.334936,0.41828
"150",0.605554,0.409025,0.589571,0.3251,0.563828,0.334936,0.185534
"151",0.618993,0.409025,0.373486,0.3251,0.315804,0.535759,0.483117
"152",0.424767,0.492687,0.373486,0.428999,0.315804,0.334936,0.33393
"153",0.521325,0.514024,0.373486,0.416039,0.315804,0.334936,0.185534
"154",0.424767,0.435156,0.215841,0.420525,0.315804,0.334936,0.185534
"155",0.424767,0.300436,0.373486,0.3251,0.245242,0.334936,0.182099
"156",0.417367,0.393337,0.373486,0.3251,0.315804,0.334936,0.226415
"157",0.313105,0.409025,0.373486,0.250022,0.315804,0.197665,0.185534
"158",0.440394,0.418706,0.373486,0.388798,0.315804,0.334936,0.185534
"159",0.402016,0.409025,0.373486,0.328353,0.315804,0.265249,0.185534
"160",0.424767,0.409025,0.525074,0.199883,0.315804,0.445307,0.185534
"161",0.424767,0.191408,0.373486,0.402839,0.315804,0.349672,0.185534
"162",0.424767,0.409025,0.373486,0.470302,0.462798,0.40574,0.185534
"163",0.457495,0.409025,0.373486,0.3251,0.380162,0.334936,0.311983
"164",0.424767,0.453967,0.373486,0.24169,0.315804,0.334936,0.293767
"165",0.680991,0.409025,0.373486,0.3251,0.363114,0.334936,0.269956
"166",0.424767,0.409025,0.373486,0.3251,0.298849,0.293875,0.196308
"167",0.424767,0.409025,0.805516,0.27833,0.315804,0.334936,0.288517
"168",0.424767,0.393164,0.349384,0.3251,0.315804,0.215438,0.185534
"169",0.416179,0.293248,0.347184,1,0.299241,0.252649,0.13209
"170",0.603611,0.606633,0.373486,0.3251,0.551606,0.334936,0.185534
"171",0.587014,0.409025,0.557702,0.3251,0.520935,0.334936,0.185534
"172",0.424767,0.409025,0.279385,0.439782,0.315804,0.415407,0.185534
"173",0.424767,0.409025,0.479082,0.472417,0.315804,0.334936,0.437786
"174",0.424767,0.409025,0.508833,0.3251,0.483827,0.392764,0.185534
"175",0.424767,0.409025,0.450966,0.451976,0.315804,0.334936,0.416284
"176",0.424767,0.409025,0.373486,0.3169,0.315804,0.269495,0.248249
"177",0.357786,0.409025,0.373486,0.311461,0.315804,0.334936,0.253949
"178",0.424767,0.381985,0.373486,0.3251,0.315804,0.29866,0.234781
"179",0.424767,0.361846,0.373486,0.3251,0.315804,0.288859,0.258235
"180",0.422839,0.409025,0.368514,0.3251,0.315804,0.334936,0.309995
"181",0.504107,0.502002,0.373486,0.3251,0.315804,0.334936,0.419165
"182",0.424767,0.510688,0.373486,0.472216,0.315804,0.334936,0.410795
"183",0.424767,0.409025,0.501511,0.3251,0.501269,0.500791,0.185534
"184",0.424767,0.409025,0.373486,0.407023,0.400976,0.394289,0.185534
"185",0.424767,0.609191,0.587581,0.3251,0.56266,0.334936,0.185534
"186",0.424767,0.409025,0.373486,0.549756,0.315804,0.494383,0.469278
"187",0.424767,0.762791,0.373486,0.494267,0.315804,0.326108,0.185534
"188",0.659958,0.409025,0.574947,0.552034,0.315804,0.334936,0.185534
"189",0.424767,0.409025,0.373486,0.447688,0.443693,0.334936,0.406325
"190",0.469247,0.409025,0.445195,0.43344,0.315804,0.334936,0.185534
"191",0.567469,0.409025,0.373486,0.3251,0.501917,0.334936,0.433027
"192",0.44911,0.447238,0.425704,0.3251,0.315804,0.334936,0.185534
"193",0.424767,0.607825,0.579331,0.3251,0.315804,0.571612,0.185534
"194",0.424767,0.568216,0.549802,0.3251,0.315804,0.334936,0.483945
"195",0.210874,0.409025,0.373486,0.3251,0.485527,0.463364,0.185534
"196",0.424767,0.409025,0.338608,0.320112,0.315804,0.334936,0.190088
"197",0.424767,0.40618,0.388321,0.341765,0.315804,0.334936,0.185534
"198",0.424767,0.485399,0.554768,0.434858,0.315804,0.334936,0.185534
"199",0.424767,0.409025,0.422467,0.3251,0.399154,0.35926,0.185534
"200",0.424767,0.409025,0.373486,0.3251,0.191901,0.171503,0.144301
"201",0.424767,0.409025,0.575446,0.410092,0.315804,0.289359,0.284166
"202",0.424767,0.409025,0.539906,0.53379,0.315804,0.46533,0.185534
"203",0.240199,0.409025,0.373486,0.154859,0.315804,0.334936,0.146555
"204",0.619986,0.409025,0.373486,0.3251,0.559549,0.334936,0.500231
"205",0.28315,0.409025,0.373486,0.139459,0.315804,0.334936,0.168815
"206",0.424767,0.571568,0.373486,0.504676,0.315804,0.334936,0.422751
"207",0.5408,0.409025,0.373486,0.480022,0.315804,0.43633,0.185534
"208",0.424767,0.409025,0.279938,0.234448,0.315804,0.205367,0.185534
"209",0.424767,0.614546,0.609735,0.3251,0.315804,0.334936,0.472785
"210",0.424767,0.409025,0.570284,0.535883,0.315804,0.487092,0.185534
"211",0.428264,0.438004,0.316833,0.3251,0.315804,0.334936,0.185534
"212",0.436161,0.409025,0.373486,0.256796,0.277337,0.334936,0.185534
"213",0.452838,0.409025,0.373486,0.393938,0.387771,0.334936,0.185534
"214",0.122783,0.409025,0.105578,0.3251,0.0971993,0.334936,0.185534
"215",0.424767,0.409025,0.55879,0.3251,0.538041,0.501833,0.185534
"216",0.424767,0.409025,0.381583,0.3251,0.366005,0.334936,0.311456
"217",0.546045,0.409025,0.373486,0.3251,0.508518,0.39718,0.185534
"218",0.424767,0.409025,0.373486,0.384854,0.315804,0.346599,0.304914
"219",0.424767,0.409025,0.51209,0.3251,0.498698,0.467205,0.185534
"220",0.424767,0.409025,0.373486,0.368281,0.355301,0.312772,0.185534
"221",0.424767,0.409025,0.390866,0.177561,0.428812,0.334936,0.185534
"222",0.424767,0.409025,0.373486,0.400942,0.38635,0.391889,0.185534
"223",0.424767,0.409025,0.353248,0.316488,0.315804,0.223697,0.185534
"224",0.424767,0.409025,0.373486,0.301902,0.474701,0.334936,0.325301
"225",0.424767,0.389093,0.826674,0.368477,0.315804,0.334936,0.185534
"226",0.38982,0.409025,0.363439,0.3251,0.315804,0.206417,0.185534
