"","d0","d1","d3","d5","d7","d10","d14"
"1",0.226428,0.404865,0.29255,0.360634,0.179591,0.334936,0.185324
"2",0.226428,0.404865,0.29255,0.360634,0.179591,0.232965,0.185324
"3",0.226428,0.404865,0.370422,0.360634,0.179591,0.334936,0.185324
"4",0.226428,0.404865,0.29255,0.360634,0.179591,0.225228,0.185324
"5",0.227418,0.404865,0.29255,0.360634,0.179591,0.334936,0.185324
"6",0.226428,0.404865,0.365229,0.360634,0.179591,0.334936,0.185324
"7",0.226428,0.479507,0.29255,0.360634,0.446387,0.334936,0.185324
"8",0.226428,0.404865,0.29255,0.360634,0.179591,0.292079,0.551162
"9",0.545629,0.549548,0.29255,0.360634,0.179591,0.334936,0.185324
"10",0.417707,0.404865,0.29255,0.37169,0.179591,0.334936,0.185324
"11",0.417347,0.617563,0.29255,0.360634,0.179591,0.334936,0.185324
"12",0.226428,0.404865,0.29255,0.360634,0.302994,0.334936,0.128278
"13",0.226428,0.404865,0.29255,0.360634,0.222744,0.334936,0.113251
"14",0.226428,0.404865,0.322814,0.360634,0.307521,0.334936,0.185324
"15",0.226428,0.404865,0.29255,0.174583,0.179591,0.133505,0.185324
"16",0.226428,0.404865,0.29255,0.290899,0.294617,0.334936,0.185324
"17",0.226428,0.667129,0.29255,0.552174,0.179591,0.334936,0.185324
"18",0.226428,0.404865,0.204181,0.360634,0.194193,0.334936,0.185324
"19",0.226428,0.404865,0.276059,0.244566,0.179591,0.334936,0.185324
"20",0.226428,0.492514,0.354847,0.360634,0.179591,0.334936,0.185324
"21",0.226428,0.404865,0.29255,0.360634,0.179591,0.240009,0.222465
"22",0.226428,0.471204,0.29255,0.360634,0.179591,0.173441,0.185324
"23",0.375786,0.404865,0.29255,0.360634,0.179591,0.334936,0.0996006
"24",0.504122,0.404865,0.313941,0.360634,0.179591,0.334936,0.185324
"25",0.336558,0.404865,0.29255,0.360634,0.179591,0.334936,0.103543
"26",0.226428,0.382607,0.29255,0.360634,0.179591,0.334936,0.167885
"27",0.226428,0.544722,0.441686,0.360634,0.179591,0.334936,0.185324
"28",0.226428,0.350546,0.338339,0.360634,0.179591,0.334936,0.185324
"29",0.226428,0.404865,0.29255,0.360634,0.179591,0.25561,0.250003
"30",0.226428,0.471472,0.399429,0.360634,0.179591,0.334936,0.185324
"31",0.226428,0.404865,0.355251,0.360634,0.179591,0.334936,0.239682
"32",0.226428,0.399911,0.29255,0.333471,0.179591,0.334936,0.185324
"33",0.459086,0.452418,0.29255,0.360634,0.179591,0.334936,0.185324
"34",0.38152,0.229346,0.29255,0.360634,0.179591,0.334936,0.262377
"35",0.226428,0.404865,0.29255,0.360634,0.469143,0.334936,0.488792
"36",0.430884,0.404865,0.29255,0.171884,0.179591,0.334936,0.185324
"37",0.226428,0.186478,0.29255,0.360634,0.246101,0.334936,0.185324
"38",0.226428,0.44019,0.29255,0.360634,0.179591,0.334936,0.291466
"39",0.314958,0.404865,0.280526,0.360634,0.179591,0.334936,0.185324
"40",0.226428,0.404865,0.29255,0.250756,0.179591,0.334936,0.241029
"41",0.226428,0.404865,0.430969,0.360634,0.179591,0.334936,0.442937
"42",0.226428,0.493229,0.29255,0.360634,0.179591,0.460662,0.185324
"43",0.226428,0.404865,0.29255,0.360634,0.52293,0.482778,0.185324
"44",0.226428,0.404865,0.29255,0.360634,0.259926,0.334936,0.176692
"45",0.226428,0.404865,0.29255,0.312244,0.233786,0.334936,0.185324
"46",0.412851,0.335403,0.29255,0.360634,0.179591,0.334936,0.185324
"47",0.226428,0.404865,0.29255,0.360634,0.34993,0.241527,0.185324
"48",0.290597,0.404865,0.29255,0.360634,0.179591,0.334936,0.204094
"49",0.338346,0.404865,0.29255,0.360634,0.213782,0.45683,0.185324
"50",0.36412,0.404865,0.286808,0.360634,0.179591,0.334936,0.185324
"51",0.226428,0.404865,0.329181,0.304822,0.179591,0.334936,0.185324
"52",0.331852,0.404865,0.249583,0.360634,0.179591,0.334936,0.185324
"53",0.366813,0.404865,0.29255,0.360634,0.179591,0.172812,0.185324
"54",0.226428,0.480579,0.43102,0.360634,0.179591,0.334936,0.185324
"55",0.226428,0.371497,0.29255,0.318824,0.179591,0.334936,0.185324
"56",0.226428,0.376763,0.29255,0.360634,0.246053,0.334936,0.185324
"57",0.226428,0.404865,0.29255,0.360634,0.242992,0.334936,0.179648
"58",0.226428,0.404865,0.29255,0.360634,0.179591,0.216489,0.166755
"59",0.226428,0.56529,0.559899,0.360634,0.179591,0.334936,0.185324
"60",0.226428,0.404865,0.484628,0.360634,0.42171,0.334936,0.185324
"61",0.467696,0.429547,0.29255,0.360634,0.179591,0.334936,0.185324
"62",0.226428,0.404865,0.749654,0.394746,0.179591,0.334936,0.185324
"63",0.226428,0.504063,0.453576,0.360634,0.179591,0.334936,0.185324
"64",0.226428,0.34688,0.29255,0.360634,0.179591,0.249289,0.185324
"65",0.226428,0.404865,0.29255,0.159573,0.179591,0.334936,0.212463
"66",0.226428,0.384629,0.487724,0.360634,0.179591,0.334936,0.185324
"67",0.226428,0.404865,0.29255,0.316594,0.331499,0.334936,0.185324
"68",0.226428,0.404865,0.29255,0.360634,0.129877,0.334936,0.198913
"69",0.226428,0.400039,0.197817,0.206643,0.179591,0.334936,0.185324
"70",0.448709,0.404865,0.29255,0.360634,0.358415,0.334936,0.185324
"71",0.226428,0.404865,0.473851,0.494641,0.179591,0.334936,0.185324
"72",0.26912,0.404865,0.29255,0.360634,0.179591,0.30191,0.185324
"73",0.226428,0.404865,0.29255,0.406507,0.395274,0.334936,0.185324
"74",0.226428,0.553687,0.29255,0.538293,0.179591,0.334936,0.185324
"75",0.226428,0.404865,0.180557,0.360634,0.179591,0.142692,0.185324
"76",0.282533,0.404865,0.29255,0.207726,0.179591,0.334936,0.185324
"77",0.362602,0.404865,0.29255,0.511864,0.179591,0.334936,0.185324
"78",0.226428,0.404865,0.29255,0.362385,0.179591,0.302624,0.185324
"79",0.226428,0.404865,0.29255,0.360634,0.259723,0.334936,0.176447
"80",0.226428,0.404865,0.29255,0.360634,0.179591,0.214381,0.249619
"81",0.226428,0.400039,0.197817,0.206643,0.179591,0.334936,0.185324
"82",0.226428,0.351503,0.29255,0.360634,0.179591,0.223946,0.185324
"83",0.226428,0.404865,0.29255,0.300474,0.179591,0.257944,0.185324
