,Complex,Assembly,Interactors,GO Cellular Component,GO Molecular Function,GO Biological Process,imp,AvgTurnover,SEM,Interactor_ID
9,CPX-1054,heterodimer,P52293,"cellular component, GO:0005829, cytosol; cellular component, GO:0005654, nucleoplasm; cellular component, GO:0042564, NLS-dependent protein nuclear import complex","molecular function, GO:0061608, nuclear import signal receptor activity","biological process, GO:0006606, protein import into nucleus",after,0.4565079736696351,0.24045627212434106,1
10,CPX-1054,heterodimer,P52293,"cellular component, GO:0005829, cytosol; cellular component, GO:0005654, nucleoplasm; cellular component, GO:0042564, NLS-dependent protein nuclear import complex","molecular function, GO:0061608, nuclear import signal receptor activity","biological process, GO:0006606, protein import into nucleus",before,0.8518360343587432,0.04852329433759961,2
11,CPX-1054,heterodimer,P70168,"cellular component, GO:0005829, cytosol; cellular component, GO:0005654, nucleoplasm; cellular component, GO:0042564, NLS-dependent protein nuclear import complex","molecular function, GO:0061608, nuclear import signal receptor activity","biological process, GO:0006606, protein import into nucleus",after,-2.5130016633100705,0.09124555449123586,3
12,CPX-1054,heterodimer,P70168,"cellular component, GO:0005829, cytosol; cellular component, GO:0005654, nucleoplasm; cellular component, GO:0042564, NLS-dependent protein nuclear import complex","molecular function, GO:0061608, nuclear import signal receptor activity","biological process, GO:0006606, protein import into nucleus",before,-2.5259480098025517,0.06578394324886284,4
166,CPX-127,heterotrimer,O70548,"cellular component, GO:1990733, Titin-Telethonin complex","molecular function, GO:0051373, FATZ binding; molecular function, GO:0044325, ion channel binding; molecular function, GO:0042805, actinin binding; molecular function, GO:0008307, structural constituent of muscle","biological process, GO:0003009, skeletal muscle contraction; biological process, GO:0030049, muscle filament sliding; biological process, GO:0060048, cardiac muscle contraction; biological process, GO:0045214, sarcomere organization; biological process, GO:0055003, cardiac myofibril assembly",after,-0.25941032115299917,0.4354963813878553,1
167,CPX-127,heterotrimer,O70548,"cellular component, GO:1990733, Titin-Telethonin complex","molecular function, GO:0051373, FATZ binding; molecular function, GO:0044325, ion channel binding; molecular function, GO:0042805, actinin binding; molecular function, GO:0008307, structural constituent of muscle","biological process, GO:0003009, skeletal muscle contraction; biological process, GO:0030049, muscle filament sliding; biological process, GO:0060048, cardiac muscle contraction; biological process, GO:0045214, sarcomere organization; biological process, GO:0055003, cardiac myofibril assembly",before,-0.13238984219822272,0.4431329883948279,2
168,CPX-127,heterotrimer,A2ASS6,"cellular component, GO:1990733, Titin-Telethonin complex","molecular function, GO:0051373, FATZ binding; molecular function, GO:0044325, ion channel binding; molecular function, GO:0042805, actinin binding; molecular function, GO:0008307, structural constituent of muscle","biological process, GO:0003009, skeletal muscle contraction; biological process, GO:0030049, muscle filament sliding; biological process, GO:0060048, cardiac muscle contraction; biological process, GO:0045214, sarcomere organization; biological process, GO:0055003, cardiac myofibril assembly",after,-3.8389728356566177,0.03757084269818472,3
169,CPX-127,heterotrimer,A2ASS6,"cellular component, GO:1990733, Titin-Telethonin complex","molecular function, GO:0051373, FATZ binding; molecular function, GO:0044325, ion channel binding; molecular function, GO:0042805, actinin binding; molecular function, GO:0008307, structural constituent of muscle","biological process, GO:0003009, skeletal muscle contraction; biological process, GO:0030049, muscle filament sliding; biological process, GO:0060048, cardiac muscle contraction; biological process, GO:0045214, sarcomere organization; biological process, GO:0055003, cardiac myofibril assembly",before,-3.8671407587659807,0.03772924026215874,4
106,CPX-133,heterotrimer,Q9D1H7,"cellular component, GO:0005829, cytosol; cellular component, GO:0071818, BAT3 complex","molecular function, GO:0043022, ribosome binding; molecular function, GO:0140597, protein carrier activity","biological process, GO:0006620, posttranslational protein targeting to endoplasmic reticulum membrane; biological process, GO:0031647, regulation of protein stability; biological process, GO:0006511, ubiquitin-dependent protein catabolic process",after,-2.312753945698898,0.22127459672527114,1
107,CPX-133,heterotrimer,Q9D1H7,"cellular component, GO:0005829, cytosol; cellular component, GO:0071818, BAT3 complex","molecular function, GO:0043022, ribosome binding; molecular function, GO:0140597, protein carrier activity","biological process, GO:0006620, posttranslational protein targeting to endoplasmic reticulum membrane; biological process, GO:0031647, regulation of protein stability; biological process, GO:0006511, ubiquitin-dependent protein catabolic process",before,-1.6127925780502421,0.201116051930037,2
108,CPX-133,heterotrimer,P21126,"cellular component, GO:0005829, cytosol; cellular component, GO:0071818, BAT3 complex","molecular function, GO:0043022, ribosome binding; molecular function, GO:0140597, protein carrier activity","biological process, GO:0006620, posttranslational protein targeting to endoplasmic reticulum membrane; biological process, GO:0031647, regulation of protein stability; biological process, GO:0006511, ubiquitin-dependent protein catabolic process",after,-0.806779346536053,0.19671626119688512,3
109,CPX-133,heterotrimer,P21126,"cellular component, GO:0005829, cytosol; cellular component, GO:0071818, BAT3 complex","molecular function, GO:0043022, ribosome binding; molecular function, GO:0140597, protein carrier activity","biological process, GO:0006620, posttranslational protein targeting to endoplasmic reticulum membrane; biological process, GO:0031647, regulation of protein stability; biological process, GO:0006511, ubiquitin-dependent protein catabolic process",before,-0.9743502093600732,0.1356425747020265,4
110,CPX-133,heterotrimer,Q9Z1R2,"cellular component, GO:0005829, cytosol; cellular component, GO:0071818, BAT3 complex","molecular function, GO:0043022, ribosome binding; molecular function, GO:0140597, protein carrier activity","biological process, GO:0006620, posttranslational protein targeting to endoplasmic reticulum membrane; biological process, GO:0031647, regulation of protein stability; biological process, GO:0006511, ubiquitin-dependent protein catabolic process",after,-1.3612120580191311,0.16744328846065457,5
111,CPX-133,heterotrimer,Q9Z1R2,"cellular component, GO:0005829, cytosol; cellular component, GO:0071818, BAT3 complex","molecular function, GO:0043022, ribosome binding; molecular function, GO:0140597, protein carrier activity","biological process, GO:0006620, posttranslational protein targeting to endoplasmic reticulum membrane; biological process, GO:0031647, regulation of protein stability; biological process, GO:0006511, ubiquitin-dependent protein catabolic process",before,-1.2890661482394608,0.1777852925918885,6
53,CPX-136,heterooctomer,P60670,"cellular component, GO:0034098, VCP-NPL4-UFD1 AAA ATPase complex","molecular function, GO:0032553, ribonucleotide binding; molecular function, GO:0031593, polyubiquitin binding","biological process, GO:0030970, retrograde protein transport, ER to cytosol; biological process, GO:0036503, ERAD pathway",after,-2.048923397579326,0.22987111957474463,1
54,CPX-136,heterooctomer,P60670,"cellular component, GO:0034098, VCP-NPL4-UFD1 AAA ATPase complex","molecular function, GO:0032553, ribonucleotide binding; molecular function, GO:0031593, polyubiquitin binding","biological process, GO:0030970, retrograde protein transport, ER to cytosol; biological process, GO:0036503, ERAD pathway",before,-2.3144533695779383,0.14270472851484947,2
55,CPX-136,heterooctomer,P70362,"cellular component, GO:0034098, VCP-NPL4-UFD1 AAA ATPase complex","molecular function, GO:0032553, ribonucleotide binding; molecular function, GO:0031593, polyubiquitin binding","biological process, GO:0030970, retrograde protein transport, ER to cytosol; biological process, GO:0036503, ERAD pathway",after,-2.0357522140386037,0.23906122998119428,3
56,CPX-136,heterooctomer,P70362,"cellular component, GO:0034098, VCP-NPL4-UFD1 AAA ATPase complex","molecular function, GO:0032553, ribonucleotide binding; molecular function, GO:0031593, polyubiquitin binding","biological process, GO:0030970, retrograde protein transport, ER to cytosol; biological process, GO:0036503, ERAD pathway",before,-2.2368460251494295,0.4239516872894724,4
57,CPX-136,heterooctomer,Q01853,"cellular component, GO:0034098, VCP-NPL4-UFD1 AAA ATPase complex","molecular function, GO:0032553, ribonucleotide binding; molecular function, GO:0031593, polyubiquitin binding","biological process, GO:0030970, retrograde protein transport, ER to cytosol; biological process, GO:0036503, ERAD pathway",after,-2.1905790287204767,0.04970308716972995,5
58,CPX-136,heterooctomer,Q01853,"cellular component, GO:0034098, VCP-NPL4-UFD1 AAA ATPase complex","molecular function, GO:0032553, ribonucleotide binding; molecular function, GO:0031593, polyubiquitin binding","biological process, GO:0030970, retrograde protein transport, ER to cytosol; biological process, GO:0036503, ERAD pathway",before,-2.1490503367123304,0.043915533000004635,6
156,CPX-16,heterotrimer,P19123,"cellular component, GO:0030017, sarcomere","molecular function, GO:0005509, calcium ion binding; molecular function, GO:0005523, tropomyosin binding","biological process, GO:0060048, cardiac muscle contraction; biological process, GO:0032780, negative regulation of ATPase activity; biological process, GO:0030049, muscle filament sliding",after,-3.332943092929868,0.10978948895951227,1
157,CPX-16,heterotrimer,P19123,"cellular component, GO:0030017, sarcomere","molecular function, GO:0005509, calcium ion binding; molecular function, GO:0005523, tropomyosin binding","biological process, GO:0060048, cardiac muscle contraction; biological process, GO:0032780, negative regulation of ATPase activity; biological process, GO:0030049, muscle filament sliding",before,-3.3236647542761255,0.11002318053847313,2
158,CPX-16,heterotrimer,P48787,"cellular component, GO:0030017, sarcomere","molecular function, GO:0005509, calcium ion binding; molecular function, GO:0005523, tropomyosin binding","biological process, GO:0060048, cardiac muscle contraction; biological process, GO:0032780, negative regulation of ATPase activity; biological process, GO:0030049, muscle filament sliding",after,-2.9968270734761617,0.062259652019833134,3
159,CPX-16,heterotrimer,P48787,"cellular component, GO:0030017, sarcomere","molecular function, GO:0005509, calcium ion binding; molecular function, GO:0005523, tropomyosin binding","biological process, GO:0060048, cardiac muscle contraction; biological process, GO:0032780, negative regulation of ATPase activity; biological process, GO:0030049, muscle filament sliding",before,-3.0373200395954267,0.07035015722577148,4
160,CPX-16,heterotrimer,P50752,"cellular component, GO:0030017, sarcomere","molecular function, GO:0005509, calcium ion binding; molecular function, GO:0005523, tropomyosin binding","biological process, GO:0060048, cardiac muscle contraction; biological process, GO:0032780, negative regulation of ATPase activity; biological process, GO:0030049, muscle filament sliding",after,-2.997805660142625,0.08582295447281313,5
161,CPX-16,heterotrimer,P50752,"cellular component, GO:0030017, sarcomere","molecular function, GO:0005509, calcium ion binding; molecular function, GO:0005523, tropomyosin binding","biological process, GO:0060048, cardiac muscle contraction; biological process, GO:0032780, negative regulation of ATPase activity; biological process, GO:0030049, muscle filament sliding",before,-2.9828126625153684,0.10594946855820071,6
30,CPX-2055,heterotetramer,P12382,"cellular component, GO:0005945, 6-phosphofructokinase complex","molecular function, GO:0003872, 6-phosphofructokinase activity","biological process, GO:0006096, glycolysis",after,-2.502096569136556,0.0654722781697019,1
31,CPX-2055,heterotetramer,P12382,"cellular component, GO:0005945, 6-phosphofructokinase complex","molecular function, GO:0003872, 6-phosphofructokinase activity","biological process, GO:0006096, glycolysis",before,-2.504495434741596,0.08394559035664823,2
